"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier.2","OrganizationFormalName","MonitoringLocationIdentifier.2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName.2","sampletime"
50459,"USGS-AZ","nwisaz.01.00000691","Sample-Routine","Water","Groundwater","2000-08-09 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-334953109084601","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",1,"µg/L","NWIS",7275,"USGS-AZ","USGS Arizona Water Science Center","AZ014-334953109084601","A-05-30 14ABD","Well","NULL",33.83144105,-109.1467434,"Interpolated from MAP.","NAD83","8045","feet","Interpolated from topographic map.","US",4,1,"NULL","268","feet","268","feet","NWIS",2000-08-09
50521,"USGS-AZ","nwisaz.01.00000690","Sample-Routine","Water","Groundwater","2000-08-09 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-335146109083101","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved",0,"µg/L","NWIS",7330,"USGS-AZ","USGS Arizona Water Science Center","AZ014-335146109083101","A-05-30 02AAA","Well","NULL",33.8628296,-109.1425773,"Interpolated from MAP.","NAD83","8293","feet","Interpolated from topographic map.","US",4,1,"NULL","150","feet","150","feet","NWIS",2000-08-09
50009,"USGS-AZ","nwisaz.01.00000694","Sample-Routine","Water","Groundwater","2000-08-08 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-335703109122801","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",1,"µg/L","NWIS",7479,"USGS-AZ","USGS Arizona Water Science Center","AZ014-335703109122801","A-07-30 31CCD","Well","NULL",33.9508838,-109.2084144,"Interpolated from MAP.","NAD83","7685","feet","Interpolated from topographic map.","US",4,1,"NULL","NULL","NULL","NULL","NULL","NWIS",2000-08-08
49925,"USGS-AZ","nwisaz.01.00000693","Sample-Routine","Water","Groundwater","2000-08-07 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-340018109274801","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved",0,"µg/L","NWIS",7510,"USGS-AZ","USGS Arizona Water Science Center","AZ014-340018109274801","A-07-27 14BDA2","Spring","NULL",34.00504779,-109.4639792,"Interpolated from MAP.","NAD83","8450","feet","Interpolated from topographic map.","US",4,1,"NULL","NULL","NULL","NULL","NULL","NWIS",2000-08-07
56356,"USGS-AZ","nwisaz.01.00800238","Sample-Routine","Water","Groundwater","2008-06-17 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-340613109182201","A-1790242 krblack@aswater.gov   Phone: 602-771-1507 L-1790242 X = No date and time on FCC,matched by STA. ID and name","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",0.41,"µg/L","NWIS",7532,"USGS-AZ","USGS Arizona Water Science Center","AZ014-340613109182201","A-08-29 08ACC","Well","NULL",34.1035748,-109.3066699,"Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","7102","feet","Interpolated from topographic map.","US",4,1,"NULL","485","feet","540","feet","NWIS",2008-06-17
43195,"USGS-AZ","nwisaz.01.98900488","Sample-Routine","Water","Groundwater","1989-06-15 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-340623109181601","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",3,"µg/L","NWIS",7533,"USGS-AZ","USGS Arizona Water Science Center","AZ014-340623109181601","A-08-29 08ACA2","Well","NULL",34.10643587,-109.3050865,"Interpolated from MAP.","NAD83","7105","feet","Interpolated from topographic map.","US",4,1,"NULL","NULL","NULL","NULL","NULL","NWIS",1989-06-15
56092,"USGS-AZ","nwisaz.01.00700081","Sample-Routine","Water","Groundwater","2007-05-22 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-340624109181601","A-1500171 krblack@azwater.gov   Phone 602-771-1507,paalex will send report.","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",0.87,"µg/L","NWIS",7535,"USGS-AZ","USGS Arizona Water Science Center","AZ014-340624109181601","A-08-29 08ACA1","Well","NULL",34.10671365,-109.3050865,"Interpolated from MAP.","NAD83","7108","feet","Interpolated from topographic map.","US",4,1,"NULL","220","feet","220","feet","NWIS",2007-05-22
24467,"USGS-AZ","nwisaz.01.99200891","Sample-Routine","Water","Groundwater","1992-08-06 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-341219110005301","UPDATE DUE TO INSTRUMENT PROBLEM","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",2,"µg/L","NWIS",7559,"USGS-AZ","USGS Arizona Water Science Center","AZ014-341219110005301","A-09-22 04DBB","Well","NULL",34.20532035,-110.015387,"Interpolated from MAP.","NAD83","6620","feet","Interpolated from topographic map.","US",4,17,"NULL","750","feet","750","feet","NWIS",1992-08-06
56025,"USGS-AZ","nwisaz.01.00700083","Sample-Routine","Water","Groundwater","2007-05-22 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-341516109412401","A-1500172 krblack@azwater.gov   Phone 602-771-1507,paalex will send report.","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",0.69,"µg/L","NWIS",7572,"USGS-AZ","USGS Arizona Water Science Center","AZ014-341516109412401","A-10-25 22BBD2","Well","NULL",34.25448739,-109.6906556,"Interpolated from MAP.","NAD83","6930","feet","Interpolated from topographic map.","US",4,1,"NULL","340","feet","340","feet","NWIS",2007-05-22
37831,"USGS-AZ","nwisaz.01.00000649","Sample-Routine","Water","Groundwater","2000-08-15 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-342413109560401","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",8,"µg/L","NWIS",7630,"USGS-AZ","USGS Arizona Water Science Center","AZ014-342413109560401","A-12-23 29CCC","Well","NULL",34.4036502,-109.9351104,"Interpolated from MAP.","NAD83","6090","feet","Interpolated from topographic map.","US",4,17,"NULL","360","feet","360","feet","NWIS",2000-08-15
46996,"USGS-AZ","nwisaz.01.99200896","Sample-Routine","Water","Groundwater","1992-08-13 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-342823109362901","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",5,"µg/L","NWIS",7678,"USGS-AZ","USGS Arizona Water Science Center","AZ014-342823109362901","A-12-26 05ADA","Well","NULL",34.47309107,-109.6087181,"Interpolated from MAP.","NAD83","5965","feet","Interpolated from topographic map.","US",4,1,"NULL","300","feet","300","feet","NWIS",1992-08-13
49109,"USGS-AZ","nwisaz.01.98800646","Sample-Routine","Water","Groundwater","1988-07-06 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-343022114213401","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",1,"µg/L","NWIS",7680,"USGS-AZ","USGS Arizona Water Science Center","AZ014-343022114213401","B-14-20 33DCB1","Well","NULL",34.5053839,-114.3600673,"Differentially corrected Global Positioning System.","NAD83","483.8","feet","Differentially corrected Global Positioning System.","US",4,15,"NULL","509","feet","509","feet","NWIS",1988-07-06
26230,"USGS-AZ","nwisaz.01.99200901","Sample-Routine","Water","Groundwater","1992-08-11 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-343313109584301","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",2,"µg/L","NWIS",7728,"USGS-AZ","USGS Arizona Water Science Center","AZ014-343313109584301","A-13-22 01ABC","Well","NULL",34.5536469,-109.9792803,"Interpolated from MAP.","NAD83","5750","feet","Interpolated from topographic map.","US",4,17,"NULL","400","feet","400","feet","NWIS",1992-08-11
102636,"USGS-AZ","nwisaz.01.00800230","Sample-Routine","Water","Groundwater","2008-03-25 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-343425113593701","NULL","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",1.9,"µg/L","NWIS",7741,"USGS-AZ","USGS Arizona Water Science Center","AZ014-343425113593701","B-14-17 12BAA","Well","NULL",34.57401215,-113.993945,"Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","2077","feet","Interpolated from topographic map.","US",4,15,"NULL","807","feet","807","feet","NWIS",2008-03-25
45936,"USGS-AZ","nwisaz.01.99200914","Sample-Routine","Water","Groundwater","1992-08-06 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-343457109433901","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",5,"µg/L","NWIS",7745,"USGS-AZ","USGS Arizona Water Science Center","AZ014-343457109433901","A-14-25 29CAA  UNSURV","Well","NULL",34.5825354,-109.7281645,"Interpolated from MAP.","NAD83","5535","feet","Interpolated from topographic map.","US",4,1,"NULL","425","feet","425","feet","NWIS",1992-08-06
103064,"USGS-AZ","nwisaz.01.00800237","Sample-Routine","Water","Groundwater","2008-05-19 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-343540114033601","L-1578702 RUR is the btl type for LC1043,paa  X = OK login warm per Margot,PWG Chilled containers received warm at 24.2  Degrees C","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",0.29,"µg/L","NWIS",7750,"USGS-AZ","USGS Arizona Water Science Center","AZ014-343540114033601","B-15-17 32DBD","Well","NULL",34.59442808,-114.0600862,"Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","1973","feet","Interpolated from topographic map.","US",4,15,"NULL","748","feet","748","feet","NWIS",2008-05-19
