"","OID_","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","SiteID","y_pred","C1","C2","C3"
"4",1518,"As","Dissolved",1,259546,"C1",0.963563024997711,0.0176572185009718,0.0187797378748655
"7",1165,"As","Dissolved",1,52090,"C1",0.949155211448669,0.0155222769826651,0.0353225544095039
"19",1229,"As","Dissolved",1,270136,"C1",0.975571632385254,0.0121592553332448,0.0122690396383405
"21",855,"As","Dissolved",0,268809,"C1",0.971920371055603,0.012498963624239,0.0155806951224804
"28",1378,"As","Dissolved",2,246987,"C1",0.986206233501434,0.00681982655078173,0.00697400094941258
"36",1524,"As","Dissolved",0,247191,"C1",0.990274667739868,0.00522675784304738,0.00449856836348772
"40",1243,"As","Dissolved",0,270192,"C1",0.979415535926819,0.00961381383240223,0.0109706595540047
"44",1666,"As","Dissolved",0,247384,"C1",0.973731935024261,0.00782828684896231,0.0184397734701633
"59",1888,"As","Dissolved",26.7,152467,"C1",0.488790839910507,0.0958164185285568,0.415392726659775
"61",1452,"As","Dissolved",9.4,264584,"C2",0.0852105095982552,0.495416015386581,0.419373452663422
"64",539,"As","Dissolved",9.4,8183,"C2",0.103504501283169,0.857819020748138,0.038676455616951
"92",1580,"As","Dissolved",31.1,264843,"C3",0.401616543531418,0.127907752990723,0.47047570347786
"94",2003,"As","Dissolved",7,151389,"C1",0.494884431362152,0.467081725597382,0.0380338989198208
"98",982,"As","Dissolved",3,51268,"C1",0.788162112236023,0.0241236817091703,0.187714174389839
"101",600,"As","Dissolved",25.7,154839,"C3",0.130365043878555,0.081100158393383,0.788534760475159
"102",1873,"As","Dissolved",2.5,152958,"C1",0.580395221710205,0.112796671688557,0.306808114051819
"103",1837,"As","Dissolved",0.09,255939,"C1",0.812761723995209,0.0495954044163227,0.13764289021492
"111",788,"As","Dissolved",5.9,8360,"C1",0.786033451557159,0.114768698811531,0.0991978868842125
"117",1363,"As","Dissolved",1,246936,"C1",0.98301237821579,0.00794942118227482,0.00903816893696785
"122",1855,"As","Dissolved",0,153390,"C1",0.968101918697357,0.0144249368458986,0.0174730941653252
"124",1964,"As","Dissolved",1,150668,"C1",0.852570533752441,0.110454313457012,0.0369750931859016
"125",838,"As","Dissolved",0,268764,"C1",0.966964900493622,0.0105005893856287,0.0225345324724913
"138",1681,"As","Dissolved",16,261623,"C2",0.429770022630692,0.454589635133743,0.115640386939049
"139",43,"As","Dissolved",2,7559,"C1",0.837210834026337,0.0475475452840328,0.115241654217243
"143",1999,"As","Dissolved",0,151309,"C1",0.906015872955322,0.0717960223555565,0.0221880711615086
"149",1448,"As","Dissolved",0,247091,"C1",0.846873164176941,0.0338309444487095,0.11929589509964
"157",407,"As","Dissolved",5,54059,"C1",0.499261230230331,0.448099613189697,0.0526391118764877
"181",1079,"As","Dissolved",2,269639,"C1",0.942673563957214,0.0300424303859472,0.0272839404642582
"183",1737,"As","Dissolved",0.45,257769,"C1",0.966116070747375,0.0201044641435146,0.0137794334441423
"185",1709,"As","Dissolved",0.09,261931,"C1",0.921295762062073,0.0401247851550579,0.0385794341564178
"199",459,"As","Dissolved",28,48972,"C1",0.830564975738525,0.13532343506813,0.0341116227209568
"207",62,"As","Dissolved",2,41336,"C1",0.648774206638336,0.0304961707442999,0.320729583501816
"208",234,"As","Dissolved",2,7933,"C1",0.787217199802399,0.182768702507019,0.0300140883773565
"215",725,"As","Dissolved",5,50258,"C2",0.241428017616272,0.658588588237762,0.099983386695385
"216",415,"As","Dissolved",6.5,48737,"C2",0.44797220826149,0.521309494972229,0.0307183098047972
"229",1725,"As","Dissolved",93.1,257423,"C3",0.118879556655884,0.0485790967941284,0.832541286945343
"232",1711,"As","Dissolved",4.3,257167,"C1",0.919369220733643,0.0330701544880867,0.0475606620311737
"239",1444,"As","Dissolved",0,247075,"C1",0.986753284931183,0.00666998280212283,0.0065766959451139
"240",143,"As","Dissolved",0,43352,"C1",0.469113975763321,0.45165166258812,0.0792343243956566
"251",546,"As","Dissolved",2,49281,"C1",0.959995865821838,0.0267796274274588,0.0132245328277349
"271",331,"As","Dissolved",0,47222,"C1",0.96867710351944,0.0148747423663735,0.0164481569081545
"275",1143,"As","Dissolved",13.5,51960,"C1",0.92475825548172,0.0400572158396244,0.0351844877004623
"283",561,"As","Dissolved",3.4,8194,"C1",0.963502466678619,0.0170144606381655,0.0194830428808928
"291",1829,"As","Dissolved",20,253133,"C1",0.754855811595917,0.0340408757328987,0.211103245615959
"293",364,"As","Dissolved",1.1,271608,"C1",0.967306196689606,0.0132412547245622,0.0194525104016066
"295",584,"As","Dissolved",1.3,270977,"C1",0.928816080093384,0.0137826893478632,0.057401180267334
