Predictor_name,Description,Category_levels,Categorical_observation_amounts,Data_type,Units,Missing_values,Time_period,Source,Mean,25%_Quartile,75%_Quartile,Standard_Deviation,Max,Min
rt_carb,"Generalized lithology classified as CARB: sediments and sedimentary rocks. Carbonate rocks such as limestone and dolostone. Generally, any rock including any minor carbonate lithology is included in this group. Some special cases exist where carbonates are also identified based on LITH62MINO field in Schweitzer, Peter N., 2011, Combined geologic map data for the conterminous US derived from the USGS state geologic map compilation.",1 (present) ; 0 (absent),0 = 17306 1 = 3144,binary,NA,"""NA""",NA,Anning and Ator (2017),0.1537,0.0000000,0.0000000,0.3607090,1,0
rt_clast_c,"Generalized lithology classified as CLAST_C: sediments and sedimentary rocks. Clastic sediments/rocks primarily made of sands, gravels, cobbles, or larger clasts.",1 (present) ; 0 (absent),0 = 15343  1 = 5107,binary,NA,"""NA""",NA,Anning and Ator (2017),0.2497,0.0000000,0.0000000,0.4328679,1,0
rt_clast_f,"Generalized lithology classified as CLAST_F: sediments and sedimentary rocks. Clastic sediments/rocks primarily made of fine-grained materials such as shale, siltstone, claystone, mudstone, etc.",1 (present) ; 0 (absent),0 = 16422  1 = 4028,binary,NA,"""NA""",NA,Anning and Ator (2017),0.197,0.0000000,0.0000000,0.3977178,1,0
rt_clast_u,Generalized lithology classified as CLAST_U: sediments and sedimentary rocks. Clastic sediments/rocks of unknown or highly variable clast sizes.,1 (present) ; 0 (absent),0 = 16287 1 = 4163,binary,NA,"""NA""",NA,Anning and Ator (2017),0.2036,0.0000000,0.0000000,0.4026624,1,0
rt_meta,Generalized lithology classified as META: Metamorphic rocks.,1 (present) ; 0 (absent),0 = 18520 1 = 1930,binary,NA,"""NA""",NA,Anning and Ator (2017),0.09438,0.0000000,0.0000000,0.2923590,1,0
rt_plut_qtz,"Generalized lithology classified as PLUT_QTZ: Igneous, generally felsic, quartz-rich plutonic rocks such as granitoids, granite, granodacite. Lithology of plutonics and volcanics are split out based on quartz content using the IUGS classification presented in Hyndman's 'Petrology of Igneous and Metamorphic Rocks' second edition, 1985, page 33, fields 1-5.",1 (present) ; 0 (absent),0 = 19475  1 = 975,binary,NA,"""NA""",NA,Anning and Ator (2017),0.04768,0.0000000,0.0000000,0.2130877,1,0
D3,"Devonian; stratified sequence, mainly marine, most complete sequences; Upper Devonian",1 (present) ; 0 (absent),0 = 20117  1 = 333,binary,NA,"""NA""",NA,Schruben and others (1997),0.01628,0.0000000,0.0000000,0.1265672,1,0
De,Devonian eugeosynclinal deposits,1 (present) ; 0 (absent),0 = 20251 1 = 199,binary,NA,"""NA""",NA,Schruben and others (1997),0.009731,0.0000000,0.0000000,0.09816735,1,0
DSe,New England; Devonian and Silurian eugeosynclinal deposits,1 (present) ; 0 (absent),0 = 20003  1 = 447,binary,NA,"""NA""",NA,Schruben and others (1997),0.02186,0.0000000,0.0000000,0.1462240,1,0
Kg,Plutonic and intrusive rocks; Cretaceous granitic rocks; Western United States,1 (present) ; 0 (absent),0 = 20301  1 = 149,binary,NA,"""NA""",NA,Schruben and others (1997),0.007286,0.0000000,0.0000000,0.08504899,1,0
O2,"Ordovician; stratified sequence, mainly marine, most complete sequences; Middle Ordovician (Mohawkian), Upper Ordovician included in places; Eastern United States",1 (present) ; 0 (absent),0 = 20116  1 = 334,binary,NA,"""NA""",NA,Schruben and others (1997),0.01633,0.0000000,0.0000000,0.1267539,1,0
Oe,"Ordovician, eugeosynclinal",1 (present) ; 0 (absent),0 = 20232  1 = 218,binary,NA,"""NA""",NA,Schruben and others (1997),0.01066,0.0000000,0.0000000,0.1026987,1,0
PP4,"Upper Pennsylvanian; stratified sequence mainly marine, most complete sequences; Virgilian Series (= Monongahela Group); Central interior region, from Appalachians to Kansas and central Texas",1 (present) ; 0 (absent),0 = 20167  1 = 283,binary,NA,"""NA""",NA,Schruben and others (1997),0.01384,0.0000000,0.0000000,0.1168238,1,0
