"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier-2","OrganizationFormalName","MonitoringLocationIdentifier-2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName-2"
"3714360","USGS-CO","nwisco.01.99704626","Sample-Routine","Water","Groundwater","1997-09-17 00:00:00","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-381804107061000",NULL,"Stable, normal stage","Routine sample","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump",NULL,"U","Dissolved","1.04","ug/l","NWIS","150013","USGS-CO","USGS Colorado Water Science Center","USGS-381804107061000","SC04500225DBA","Well",NULL,"38.124125","-107.0372306","Differentially corrected Global Positioning System.","NAD83","8740","feet","Interpolated from topographic map.","US","8","53",NULL,"18","feet","18","feet","NWIS"
"3714468","USGS-CO","nwisco.01.99704173","Sample-Routine","Water","Groundwater","1997-08-27 00:00:00","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-380244107181700",NULL,"Stable, normal stage","Routine sample","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump","Not Detected","U","Dissolved",NULL,NULL,"NWIS","150005","USGS-CO","USGS Colorado Water Science Center","USGS-380244107181700","NB04400422DDB00","Well",NULL,"38.0455861","-107.3056611","Differentially corrected Global Positioning System.","NAD83","8640","feet","Interpolated from Digital Elevation Model","US","8","53",NULL,"25","feet","25","feet","NWIS"
"3714534","USGS-CO","nwisco.01.99704174","Sample-Routine","Water","Groundwater","1997-08-27 00:00:00","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-380307107181400",NULL,"Stable, normal stage","Routine sample","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump",NULL,"U","Dissolved","6.59","ug/l","NWIS","150006","USGS-CO","USGS Colorado Water Science Center","USGS-380307107181400","NB04400422ADB00","Well",NULL,"38.0516861","-107.3054722","Differentially corrected Global Positioning System.","NAD83","8757","feet","Interpolated from topographic map.","US","8","53",NULL,"247","feet","247","feet","NWIS"
"3714605","USGS-CO","nwisco.01.99703763","Sample-Routine","Water","Groundwater","1997-08-05 00:00:00","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-380032107180600",NULL,"Stable, normal stage","Routine sample","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump","Not Detected","U","Dissolved",NULL,NULL,"NWIS","149994","USGS-CO","USGS Colorado Water Science Center","USGS-380032107180600","NB04300404DDB00","Well",NULL,"38.0089861","-107.3053417","Differentially corrected Global Positioning System.","NAD83","8963","feet","Level or other surveyed method.","US","8","53",NULL,"60","feet","60","feet","NWIS"
"3714804","USGS-CO","nwisco.01.99705560","Sample-Routine","Water","Groundwater","1997-08-27 00:00:00","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-375920107173000",NULL,"Stable, normal stage","Routine sample","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump","Not Detected","U","Dissolved",NULL,NULL,"NWIS","149987","USGS-CO","USGS Colorado Water Science Center","USGS-375920107173000","NB00404315CDA00","Well",NULL,"37.983175","-107.2906389","Differentially corrected Global Positioning System.","NAD83","8982","feet","Level or other surveyed method.","US","8","53",NULL,"34","feet","34","feet","NWIS"
"3716525","USGS-CO","nwisco.01.99103914","Sample-Routine","Water","Groundwater","1991-09-03 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-391057108484301",NULL,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",NULL,"U","Total","30.0","ug/l","NWIS","151251","USGS-CO","USGS Colorado Water Science Center","USGS-391057108484301","UB00100303CCB-130L3","Well",NULL,"39.18248076","-108.8126024","Interpolated from MAP.","NAD83","4516","feet","Interpolated from topographic map.","US","8","77","1977","27.85","feet","30","feet","NWIS"
"3716533","USGS-CO","nwisco.01.99103914","Sample-Routine","Water","Groundwater","1991-09-03 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-391057108484301",NULL,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",NULL,"U","Total","9.5","ug/l","NWIS","151251","USGS-CO","USGS Colorado Water Science Center","USGS-391057108484301","UB00100303CCB-130L3","Well",NULL,"39.18248076","-108.8126024","Interpolated from MAP.","NAD83","4516","feet","Interpolated from topographic map.","US","8","77","1977","27.85","feet","30","feet","NWIS"
"3716612","USGS-CO","nwisco.01.99103877","Sample-Routine","Water","Groundwater","1991-08-28 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-391208108473801",NULL,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",NULL,"U","Total","8.0","ug/l","NWIS","151304","USGS-CO","USGS Colorado Water Science Center","USGS-391208108473801","UB00200334ADD03-RW3","Well",NULL,"39.2022026","-108.7945462","Interpolated from MAP.","NAD83","4510","feet","Interpolated from topographic map.","US","8","77","1991","20","feet","20","feet","NWIS"
"3716620","USGS-CO","nwisco.01.99103877","Sample-Routine","Water","Groundwater","1991-08-28 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-391208108473801",NULL,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",NULL,"U","Total","2.5","ug/l","NWIS","151304","USGS-CO","USGS Colorado Water Science Center","USGS-391208108473801","UB00200334ADD03-RW3","Well",NULL,"39.2022026","-108.7945462","Interpolated from MAP.","NAD83","4510","feet","Interpolated from topographic map.","US","8","77","1991","20","feet","20","feet","NWIS"
"3716661","USGS-CO","nwisco.01.99101804","Sample-Routine","Water","Groundwater","1991-03-29 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-391559108540001","CATIONS & ANIONS DUP'D BTLS OK","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",NULL,"U","Total","18.0","ug/l","NWIS","151372","USGS-CO","USGS Colorado Water Science Center","USGS-391559108540001","SC00910321BBB-080Q9","Well",NULL,"39.26636865","-108.9006614","Interpolated from MAP.","NAD83","4572","feet","Interpolated from topographic map.","US","8","77","1977","35","feet","35","feet","NWIS"
