"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier.2","OrganizationFormalName","MonitoringLocationIdentifier.2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName.2"
3714360,"USGS-CO","nwisco.01.99704626","Sample-Routine","Water","Groundwater","1997-09-17 00:00:00","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-381804107061000","NULL","Stable, normal stage","Routine sample","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump","NULL","U","Dissolved",1.04,"ug/L","NWIS",150013,"USGS-CO","USGS Colorado Water Science Center","USGS-381804107061000","SC04500225DBA","Well","NULL",38.124125,-107.0372306,"Differentially corrected Global Positioning System.","NAD83","8740","feet","Interpolated from topographic map.","US",8,53,"NULL","18","feet","18","feet","NWIS"
3714468,"USGS-CO","nwisco.01.99704173","Sample-Routine","Water","Groundwater","1997-08-27 00:00:00","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-380244107181700","NULL","Stable, normal stage","Routine sample","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump","Not Detected","U","Dissolved",0.01,"ug/L","NWIS",150005,"USGS-CO","USGS Colorado Water Science Center","USGS-380244107181700","NB04400422DDB00","Well","NULL",38.0455861,-107.3056611,"Differentially corrected Global Positioning System.","NAD83","8640","feet","Interpolated from Digital Elevation Model","US",8,53,"NULL","25","feet","25","feet","NWIS"
3714534,"USGS-CO","nwisco.01.99704174","Sample-Routine","Water","Groundwater","1997-08-27 00:00:00","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-380307107181400","NULL","Stable, normal stage","Routine sample","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump","NULL","U","Dissolved",6.59,"ug/L","NWIS",150006,"USGS-CO","USGS Colorado Water Science Center","USGS-380307107181400","NB04400422ADB00","Well","NULL",38.0516861,-107.3054722,"Differentially corrected Global Positioning System.","NAD83","8757","feet","Interpolated from topographic map.","US",8,53,"NULL","247","feet","247","feet","NWIS"
3714605,"USGS-CO","nwisco.01.99703763","Sample-Routine","Water","Groundwater","1997-08-05 00:00:00","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-380032107180600","NULL","Stable, normal stage","Routine sample","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump","Not Detected","U","Dissolved",0.01,"ug/L","NWIS",149994,"USGS-CO","USGS Colorado Water Science Center","USGS-380032107180600","NB04300404DDB00","Well","NULL",38.0089861,-107.3053417,"Differentially corrected Global Positioning System.","NAD83","8963","feet","Level or other surveyed method.","US",8,53,"NULL","60","feet","60","feet","NWIS"
3714804,"USGS-CO","nwisco.01.99705560","Sample-Routine","Water","Groundwater","1997-08-27 00:00:00","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-375920107173000","NULL","Stable, normal stage","Routine sample","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump","Not Detected","U","Dissolved",0.01,"ug/L","NWIS",149987,"USGS-CO","USGS Colorado Water Science Center","USGS-375920107173000","NB00404315CDA00","Well","NULL",37.983175,-107.2906389,"Differentially corrected Global Positioning System.","NAD83","8982","feet","Level or other surveyed method.","US",8,53,"NULL","34","feet","34","feet","NWIS"
3718520,"USGS-CO","nwisco.01.99800688","Sample-Routine","Water","Groundwater","1997-12-10 00:00:00","NULL","U.S. Geological Survey-Water Resources Discipline","USGS-390623108385302","NULL","Stable, normal stage","Routine sample","4080","USGS parameter code 82398","Peristaltic pump","Peristaltic pump","NULL","U","Dissolved",80,"ug/L","NWIS",151101,"USGS-CO","USGS Colorado Water Science Center","USGS-390623108385302","NORTH POND SEEPAGE TEST SITE NP4 (GW)","Well: Hyporheic-zone well","NULL",39.1047035,-108.6487076,"Interpolated from MAP.","NAD83","4510","feet","Interpolated from topographic map.","US",8,77,"NULL","NULL","NULL","NULL","NULL","NWIS"
3718955,"USGS-CO","nwisco.01.99703563","Sample-Routine","Water","Groundwater","1997-08-20 00:00:00","NULL","U.S. Geological Survey-Water Resources Discipline","USGS-390621108385002","NO2+NO3 RR = 42.6","Stable, normal stage","Routine sample","4080","USGS parameter code 82398","Peristaltic pump","Other","NULL","U","Dissolved",52,"ug/L","NWIS",151083,"USGS-CO","USGS Colorado Water Science Center","USGS-390621108385002","NORTH POND SEEPAGE TEST SITE NP1 (GW)","Spring","NULL",39.1038702,-108.6478743,"Interpolated from MAP.","NAD83","4510","feet","Interpolated from topographic map.","US",8,77,"NULL","NULL","NULL","NULL","NULL","NWIS"
3719158,"USGS-CO","nwisco.01.99800465","Sample-Routine","Water","Groundwater","1997-11-05 00:00:00","NULL","U.S. Geological Survey-Water Resources Discipline","USGS-390625108390401","NULL","Stable, normal stage","Routine sample","4080","USGS parameter code 82398","Peristaltic pump","Other","NULL","U","Dissolved",57,"ug/L","NWIS",151109,"USGS-CO","USGS Colorado Water Science Center","USGS-390625108390401","WALKER STATE WILDLIFE AREA, WELL 13","Well","NULL",39.10553685,-108.6517633,"Interpolated from MAP.","NAD83","4510.67","feet","Level or other surveyed method.","US",8,77,"NULL","NULL","NULL","9","feet","NWIS"
3719287,"USGS-CO","nwisco.01.99800453","Sample-Routine","Water","Groundwater","1997-11-04 00:00:00","NULL","U.S. Geological Survey-Water Resources Discipline","USGS-390628108390901","BTLS OK; RR ALK, CL, SO4 & DUP'ED","Stable, normal stage","Routine sample","4080","USGS parameter code 82398","Peristaltic pump","Other","NULL","U","Dissolved",23,"ug/L","NWIS",151120,"USGS-CO","USGS Colorado Water Science Center","USGS-390628108390901","WALKER STATE WILDLIFE AREA, WELL 14","Well","NULL",39.1060924,-108.6531522,"Interpolated from MAP.","NAD83","4509.83","feet","Level or other surveyed method.","US",8,77,"NULL","NULL","NULL","7","feet","NWIS"
3719818,"USGS-CO","nwisco.01.99800686","Sample-Routine","Water","Groundwater","1997-12-10 00:00:00","NULL","U.S. Geological Survey-Water Resources Discipline","USGS-390622108385102","RR NO2+NO3 = 44","Stable, normal stage","Routine sample","4080","USGS parameter code 82398","Peristaltic pump","Other","NULL","U","Dissolved",77,"ug/L","NWIS",151093,"USGS-CO","USGS Colorado Water Science Center","USGS-390622108385102","NORTH POND SEEPAGE TEST SITE NP2 (GW)","Well: Hyporheic-zone well","NULL",39.10414797,-108.648152,"Interpolated from MAP.","NAD83","4510","feet","Interpolated from topographic map.","US",8,77,"1997","NULL","NULL","NULL","NULL","NWIS"
