"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier-2","OrganizationFormalName","MonitoringLocationIdentifier-2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName-2"
"187571","USGS-AZ","nwisaz.01.00900356","Quality Control Sample-Field Replicate","Water","Groundwater","2009-08-20 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-363123111503101",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","16.0","ug/l","NWIS","51999","USGS-AZ","USGS Arizona Water Science Center","USGS-363123111503101","A-36-05 15ACD1 [FENCE SPRING]","Spring",NULL,"36.5199","-111.846775","Interpolated from Digital MAP.","NAD83","2890","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187618","USGS-AZ","nwisaz.01.00900369","Sample-Routine","Water","Groundwater","2009-08-27 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-363922112334501",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","1.6","ug/l","NWIS","52143","USGS-AZ","USGS Arizona Water Science Center","USGS-363922112334501","B-38-03 36ABB1 [SLIDE SPRING]","Spring",NULL,"36.6567972","-112.5636222","Interpolated from Digital MAP.","NAD83","4590","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187691","USGS-AZ","nwisaz.01.00900179","Sample-Routine","Water","Groundwater","2009-08-22 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-362837111504201","A-2458707 Uranium Study.  Samples must be processed ASAP.  Uranium Study. Samples must be processed ASAP. L-2458707 X = FA sample missing date & time","Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","2.3","ug/l","NWIS","51935","USGS-AZ","USGS Arizona Water Science Center","USGS-362837111504201","A-36-05 34DBA1 UNSURV","Spring",NULL,"36.4740695","-111.8456093","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","2885","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"188399","USGS-AZ","nwisaz.01.00900174","Quality Control Sample-Field Replicate","Water","Groundwater","2009-08-26 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-362802112374601","A-2458715 Uranium Study.  Samples must be processed ASAP.  Uranium Study. Samples must be processed ASAP.","Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","1.8","ug/l","NWIS","51921","USGS-AZ","USGS Arizona Water Science Center","USGS-362802112374601","B-35-03 05AAD [KANAB SPRING]","Spring",NULL,"36.46720574","-112.6301906","Interpolated from MAP.","NAD83","2760","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"188626","USGS-AZ","nwisaz.01.00900200","Sample-Routine","Water","Groundwater","2009-09-18 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-355308112054101","A-2668704 Samples sent to National Ocean Sciences - Woods Hole,MA    Uranium Study.  Samples must be processed ASAP.  Uranium Study. Samples must be processed ASAP.   Sent to Eberline Services.  Uranium Study.  Samples must be processed ASAP.","Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","0.16","ug/l","NWIS","50991","USGS-AZ","USGS Arizona Water Science Center","USGS-355308112054101","A-29-03 20BCD1[PINYON PLAIN MINE REGIONAL GW WELL]","Well",NULL,"35.8837","-112.0973889","Interpolated from Digital MAP.","NAD83","6535","feet","Interpolated from topographic map.","US","4","5",NULL,"3086","feet","3086","feet","NWIS"
"188708","USGS-AZ","nwisaz.01.00900142","Sample-Routine","Water","Groundwater","2009-06-03 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-361021111115901","L-1578501 Received June 06, 2009","Stable, normal stage","Not applicable","50","USGS parameter code 82398","Point sample","Grab sample",NULL,"As","Dissolved","1.9","ug/l","NWIS","51536","USGS-AZ","USGS Arizona Water Science Center","USGS-361021111115901","03 077-11.14X05.34","Spring",NULL,"36.17249246","-111.2004189","Interpolated from MAP.","NAD83","5100","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"188747","USGS-AZ","nwisaz.01.00900373","Sample-Routine","Water","Groundwater","2009-09-01 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-363115112342601",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","1.9","ug/l","NWIS","51991","USGS-AZ","USGS Arizona Water Science Center","USGS-363115112342601","B-36-03 13BCA1 [MOUNTAIN SHEEP SPRING]","Spring",NULL,"36.52304167","-112.5715917","Interpolated from Digital MAP.","NAD83","3640","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"188823","USGS-AZ","nwisaz.01.00900182","Sample-Routine","Water","Groundwater","2009-08-26 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-362723112382801","A-2458713 URANIUM STUDY SAMPLE    PLEASE SAMPLE ASAP  URANIUM STUDY SAMPLE; PLEASE PROCESS ASAP.  Uranium Study. Samples must be processed ASAP.","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","1.2","ug/l","NWIS","51912","USGS-AZ","USGS Arizona Water Science Center","USGS-362723112382801","B-35-03 05CCD [SHOWERBATH SPRING]","Spring",NULL,"36.4563723","-112.6418577","Interpolated from MAP.","NAD83","2880","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"189485","USGS-AZ","nwisaz.01.01000119","Sample-Routine","Water","Groundwater","2010-05-11 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-360718111130001","A-1388704 Delete lab codes 3117,1975 and 3118 from schedule 1151 only L-1388704 Received May 15,2010. Added in LC 1975, 3117, and 3118 per Beisner, 05/24/10 dld.","Not applicable","Not applicable","8010","USGS parameter code 82398","Other","Other",NULL,"As","Dissolved","4.1","ug/l","NWIS","51409","USGS-AZ","USGS Arizona Water Science Center","USGS-360718111130001","A-32-11 28DCA3","Well",NULL,"36.1216611","-111.21665","Differentially corrected Global Positioning System.","NAD83","4850","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"189643","USGS-AZ","nwisaz.01.01000117","Sample-Routine","Water","Groundwater","2010-05-05 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-360718111130401","A-1388707 Delete lab codes 3117,1975 and 3118 from schedule 1151 only L-1388707 Received May 08,2010. Added in LC 1975, 3117, and 3118 per Beisner, 05/24/10 dld.","Not applicable","Not applicable","4040","USGS parameter code 82398","Submersible pump","Submersible positive-pressure pump",NULL,"As","Dissolved","2.1","ug/l","NWIS","51410","USGS-AZ","USGS Arizona Water Science Center","USGS-360718111130401","A-32-11 28DCA","Well",NULL,"36.1216597","-111.217918","Differentially corrected Global Positioning System.","NAD83","4847","feet","Differentially corrected Global Positioning System.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
