"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier.2","OrganizationFormalName","MonitoringLocationIdentifier.2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName.2"
3582312,"USGS-CO","nwisco.01.97303692","Sample-Routine","Water","Groundwater","1973-08-06 00:00:00","NULL","NULL","USGS-370110106480200","NULL","Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Total","NULL","NULL","NWIS",246343,"USGS-CO","USGS Colorado Water Science Center","USGS-370110106480200","NA03200112CCC","Well","NULL",37.01945566,-106.8011473,"Interpolated from MAP.","NAD83","7680","feet","Interpolated from topographic map.","US",8,7,"1951","1720","feet","NULL","NULL","NWIS"
3582991,"USGS-CO","nwisco.01.97501836","Sample-Routine","Water","Groundwater","1975-08-21 00:00:00","NULL","Organization other than U.S. Geological Survey","USGS-370214107115200","NULL","Not determined","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved","2.0","ug/l","NWIS",246367,"USGS-CO","USGS Colorado Water Science Center","USGS-370214107115200","NB03200308ABC","Well","NULL",37.03722847,-107.1983753,"Interpolated from MAP.","NAD83","6263","feet","Interpolated from topographic map.","US",8,7,"1974","95","feet","NULL","NULL","NWIS"
3583018,"USGS-CO","nwisco.01.97602695","Sample-Routine","Water","Groundwater","1975-10-25 00:00:00","NULL","Organization other than U.S. Geological Survey","USGS-370342107051800","NULL","Not determined","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved","2.0","ug/l","NWIS",246378,"USGS-CO","USGS Colorado Water Science Center","USGS-370342107051800","NB03300232ACD","Well","NULL",37.06167415,-107.0889284,"Interpolated from MAP.","NAD83","6440","feet","Interpolated from topographic map.","US",8,7,"1971","26","feet","NULL","NULL","NWIS"
3583049,"USGS-CO","nwisco.01.97501845","Sample-Routine","Water","Groundwater","1975-03-19 00:00:00","NULL","Organization other than U.S. Geological Survey","USGS-370357107242900","NULL","Not determined","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved","1.0","ug/l","NWIS",246382,"USGS-CO","USGS Colorado Water Science Center","USGS-370357107242900","NB03300532AAD","Well","NULL",37.06583814,-107.4086595,"Interpolated from MAP.","NAD83","6105","feet","Interpolated from topographic map.","US",8,7,"1960","36","feet","NULL","NULL","NWIS"
3583078,"USGS-CO","nwisco.01.97501823","Sample-Routine","Water","Groundwater","1975-08-22 00:00:00","NULL","Organization other than U.S. Geological Survey","USGS-370122107083600","NULL","Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved","NULL","NULL","NWIS",246352,"USGS-CO","USGS Colorado Water Science Center","USGS-370122107083600","NB03200314ABC","Well","NULL",37.022785,-107.1439294,"Interpolated from MAP.","NAD83","6360","feet","Interpolated from topographic map.","US",8,7,"1950","9","feet","NULL","NULL","NWIS"
3583107,"USGS-CO","nwisco.01.97602707","Sample-Routine","Water","Groundwater","1975-10-22 00:00:00","NULL","Organization other than U.S. Geological Survey","USGS-370520107030600","NULL","Not determined","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved","1.0","ug/l","NWIS",246388,"USGS-CO","USGS Colorado Water Science Center","USGS-370520107030600","NB03300222DBA","Well","NULL",37.08889648,-107.052261,"Interpolated from MAP.","NAD83","6555","feet","Interpolated from topographic map.","US",8,7,"1967","12","feet","NULL","NULL","NWIS"
3583138,"USGS-CO","nwisco.01.97602698","Sample-Routine","Water","Groundwater","1975-10-25 00:00:00","NULL","Organization other than U.S. Geological Survey","USGS-370352107050800","NULL","Not determined","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved","1.0","ug/l","NWIS",246381,"USGS-CO","USGS Colorado Water Science Center","USGS-370352107050800","NB03300232AAC","Well","NULL",37.0644519,-107.0861506,"Interpolated from MAP.","NAD83","6450","feet","Interpolated from topographic map.","US",8,7,"1971","35","feet","NULL","NULL","NWIS"
3583172,"USGS-CO","nwisco.01.97501817","Sample-Routine","Water","Groundwater","1975-06-09 00:00:00","NULL","Organization other than U.S. Geological Survey","USGS-370033107244300","NULL","Not determined","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved","1.0","ug/l","NWIS",246337,"USGS-CO","USGS Colorado Water Science Center","USGS-370033107244300","NB03200520ABA2","Well","NULL",37.0091719,-107.4125479,"Interpolated from MAP.","NAD83","6120","feet","Interpolated from topographic map.","US",8,7,"1968","230","feet","NULL","NULL","NWIS"
3583201,"USGS-CO","nwisco.01.97501860","Sample-Routine","Water","Groundwater","1975-05-13 00:00:00","NULL","Organization other than U.S. Geological Survey","USGS-370744107214000","NULL","Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved","NULL","NULL","NWIS",246399,"USGS-CO","USGS Colorado Water Science Center","USGS-370744107214000","NB03300502CDA","Well","NULL",37.1288932,-107.3617143,"Interpolated from MAP.","NAD83","6275","feet","Interpolated from topographic map.","US",8,7,"1900","21","feet","NULL","NULL","NWIS"
3583231,"USGS-CO","nwisco.01.97501876","Sample-Routine","Water","Groundwater","1975-05-06 00:00:00","NULL","Organization other than U.S. Geological Survey","USGS-370835107210600","NULL","Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved","NULL","NULL","NWIS",246406,"USGS-CO","USGS Colorado Water Science Center","USGS-370835107210600","NB03400536CCB","Well","NULL",37.1430597,-107.3522697,"Interpolated from MAP.","NAD83","6315","feet","Interpolated from topographic map.","US",8,7,"1971","80","feet","NULL","NULL","NWIS"
3583260,"USGS-CO","nwisco.01.97501829","Sample-Routine","Water","Groundwater","1975-08-22 00:00:00","NULL","Organization other than U.S. Geological Survey","USGS-370148107122700","NULL","Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved","NULL","NULL","NWIS",246359,"USGS-CO","USGS Colorado Water Science Center","USGS-370148107122700","NB03200307DAD1","Well","NULL",37.0300062,-107.2080977,"Interpolated from MAP.","NAD83","6220","feet","Interpolated from topographic map.","US",8,7,"1947","28","feet","NULL","NULL","NWIS"
