"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier-2","OrganizationFormalName","MonitoringLocationIdentifier-2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName-2"
"3570929","USGS-NM","nwisnm.01.97801752","Sample-Routine","Water","Groundwater","1978-08-31 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-344205107591101",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","1.0","ug/l","NWIS","271188","USGS-NM","USGS New Mexico Water Science Center","USGS-344205107591101","06N.11W.34.322","Well",NULL,"34.7014375","-107.987003","Interpolated from MAP.","NAD83","7082","feet","Interpolated from Digital Elevation Model","US","35","6","1939","143","feet",NULL,NULL,"NWIS"
"3465072","USGS-NM","nwisnm.01.97402231","Sample-Routine","Water","Groundwater","1974-03-26 00:00:00",NULL,NULL,"USGS-353534108355201",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Present Above Quantification Limit","As","Dissolved",NULL,NULL,"NWIS","268564","USGS-NM","USGS New Mexico Water Science Center","USGS-353534108355201","16N.17W.25.1132","Well",NULL,"35.59279914","-108.5984142","Interpolated from MAP.","NAD83","6688","feet","Interpolated from Digital Elevation Model","US","35","31",NULL,NULL,NULL,NULL,NULL,"NWIS"
"3466660","USGS-NM","nwisnm.01.97402228","Sample-Routine","Water","Groundwater","1974-03-20 00:00:00",NULL,NULL,"USGS-353125108124001",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","12.0","ug/l","NWIS","268435","USGS-NM","USGS New Mexico Water Science Center","USGS-353125108124001","15N.13W.22.1111","Well",NULL,"35.52311944","-108.2126","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","7525","feet","Interpolated from Digital Elevation Model","US","35","31","1963","1275","feet",NULL,NULL,"NWIS"
"3466846","USGS-NM","nwisnm.01.97603262","Sample-Routine","Water","Groundwater","1975-12-27 00:00:00",NULL,NULL,"USGS-355532107285702",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","1.0","ug/l","NWIS","269003","USGS-NM","USGS New Mexico Water Science Center","USGS-355532107285702","20N.06W.34.1143B","Well",NULL,"35.92525","-107.4668611","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","6650","feet","Interpolated from topographic map.","US","35","31",NULL,"180","feet",NULL,NULL,"NWIS"
"3466847","USGS-NM","nwisnm.01.97603262","Sample-Routine","Water","Groundwater","1975-12-27 00:00:00",NULL,NULL,"USGS-355532107285702",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Suspended",NULL,NULL,"NWIS","269003","USGS-NM","USGS New Mexico Water Science Center","USGS-355532107285702","20N.06W.34.1143B","Well",NULL,"35.92525","-107.4668611","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","6650","feet","Interpolated from topographic map.","US","35","31",NULL,"180","feet",NULL,NULL,"NWIS"
"3466848","USGS-NM","nwisnm.01.97603262","Sample-Routine","Water","Groundwater","1975-12-27 00:00:00",NULL,NULL,"USGS-355532107285702",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NULL,"As","Total","1.0","ug/l","NWIS","269003","USGS-NM","USGS New Mexico Water Science Center","USGS-355532107285702","20N.06W.34.1143B","Well",NULL,"35.92525","-107.4668611","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","6650","feet","Interpolated from topographic map.","US","35","31",NULL,"180","feet",NULL,NULL,"NWIS"
"3466931","USGS-NM","nwisnm.01.97603263","Sample-Routine","Water","Groundwater","1975-12-28 00:00:00",NULL,NULL,"USGS-355722107312601",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved",NULL,NULL,"NWIS","269026","USGS-NM","USGS New Mexico Water Science Center","USGS-355722107312601","20N.07W.24.2223","Well",NULL,"35.95612935","-107.5244945","Interpolated from MAP.","NAD83","6680","feet","Interpolated from topographic map.","US","35","31","1968","825","feet","825","feet","NWIS"
"3466932","USGS-NM","nwisnm.01.97603263","Sample-Routine","Water","Groundwater","1975-12-28 00:00:00",NULL,NULL,"USGS-355722107312601",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Suspended",NULL,NULL,"NWIS","269026","USGS-NM","USGS New Mexico Water Science Center","USGS-355722107312601","20N.07W.24.2223","Well",NULL,"35.95612935","-107.5244945","Interpolated from MAP.","NAD83","6680","feet","Interpolated from topographic map.","US","35","31","1968","825","feet","825","feet","NWIS"
"3466933","USGS-NM","nwisnm.01.97603263","Sample-Routine","Water","Groundwater","1975-12-28 00:00:00",NULL,NULL,"USGS-355722107312601",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Total",NULL,NULL,"NWIS","269026","USGS-NM","USGS New Mexico Water Science Center","USGS-355722107312601","20N.07W.24.2223","Well",NULL,"35.95612935","-107.5244945","Interpolated from MAP.","NAD83","6680","feet","Interpolated from topographic map.","US","35","31","1968","825","feet","825","feet","NWIS"
"3467282","USGS-NM","nwisnm.01.97603260","Sample-Routine","Water","Groundwater","1975-12-28 00:00:00",NULL,NULL,"USGS-355358107273701",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Total",NULL,NULL,"NWIS","268973","USGS-NM","USGS New Mexico Water Science Center","USGS-355358107273701","19N.06W.10.1222","Well",NULL,"35.8994637","-107.4608819","Interpolated from MAP.","NAD83","6660","feet","Interpolated from topographic map.","US","35","31",NULL,"400","feet",NULL,NULL,"NWIS"
"3467353","USGS-NM","nwisnm.01.97603013","Sample-Routine","Water","Groundwater","1975-12-27 00:00:00",NULL,NULL,"USGS-355720107340501",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","1.0","ug/l","NWIS","269025","USGS-NM","USGS New Mexico Water Science Center","USGS-355720107340501","20N.07W.22.1221,PUEBLO ALTO T.P. HOUSE WELL","Well",NULL,"35.95557374","-107.5686625","Interpolated from MAP.","NAD83",NULL,NULL,NULL,"US","35","31",NULL,NULL,NULL,NULL,NULL,"NWIS"
"3467354","USGS-NM","nwisnm.01.97603013","Sample-Routine","Water","Groundwater","1975-12-27 00:00:00",NULL,NULL,"USGS-355720107340501",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Suspended",NULL,NULL,"NWIS","269025","USGS-NM","USGS New Mexico Water Science Center","USGS-355720107340501","20N.07W.22.1221,PUEBLO ALTO T.P. HOUSE WELL","Well",NULL,"35.95557374","-107.5686625","Interpolated from MAP.","NAD83",NULL,NULL,NULL,"US","35","31",NULL,NULL,NULL,NULL,NULL,"NWIS"
