"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier.2","OrganizationFormalName","MonitoringLocationIdentifier.2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName.2"
385384,"AZDEQ_GW","AZDEQ_GW-GW-49868.CHEM","Sample-Routine","Water","Groundwater","2003-06-25 00:00:00","9673","ARIZONA DEPT OF ENVIRONMENTAL QUALITY","AZDEQ_GW-39838","EXCEEDED HOLDING TIME FOR NITRITE, PH & TURBIDITY. SAMPLE FILTERED IN LAB.--- SAMPLE TAKEN: Migrated","NULL","NULL","Unknown","AZDEQ_GW","Unknown","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",113943,"AZDEQ_GW","AZDEQ_GW","AZDEQ_GW-39838","16042","Well","Station Description: WELL IN SMALL WELLHOUSE ADJACENT TO MAINTENANCE BUILDING Station Name: WUPATKI WELL- NATL PRK SV",35.5195833,-111.3719861,"Unknown","UNKWN","NULL","NULL","NULL","US",4,5,"NULL","NULL","NULL","NULL","NULL","STORET"
385866,"AZDEQ_GW","AZDEQ_GW-GW-49863.CHEM","Sample-Routine","Water","Groundwater","2003-06-25 00:00:00","9673","ARIZONA DEPT OF ENVIRONMENTAL QUALITY","AZDEQ_GW-52394","EXCEEDED HOLDING TIME FOR NITRITE, PH, SPECIFIC CONDUCTIVITY & TURBIDITY. SAMPLE FILTERED IN LAB.--- SAMPLE TAKEN: Migrated","NULL","NULL","Unknown","AZDEQ_GW","Unknown","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",114954,"AZDEQ_GW","AZDEQ_GW","AZDEQ_GW-52394","62634","Well","Station Description:  Station Name: WALNUT CNYN NATL MONUMENT",35.1727778,-111.51,"Unknown","UNKWN","NULL","NULL","NULL","US",4,5,"NULL","NULL","NULL","NULL","NULL","STORET"
112006,"AZDEQ_GW","AZDEQ_GW-GW-1949.CHEM","Sample-Routine","Water","Groundwater","2001-11-05 00:00:00","9673","ARIZONA DEPT OF ENVIRONMENTAL QUALITY","AZDEQ_GW-49473","--- SAMPLE TAKEN: Migrated","NULL","NULL","Unknown","AZDEQ_GW","Unknown","Miscellaneous (Other)","NULL","As","Dissolved",3.2,"µg/L","STORET",114721,"AZDEQ_GW","AZDEQ_GW","AZDEQ_GW-49473","59402","Well","Station Description:  Station Name: ROGERS WELL",33.9906133,-109.2093889,"Unknown","UNKWN","NULL","NULL","NULL","US",4,1,"NULL","NULL","NULL","NULL","NULL","STORET"
112766,"AZDEQ_GW","AZDEQ_GW-GW-180.CHEM","Sample-Routine","Water","Groundwater","2001-11-06 00:00:00","9673","ARIZONA DEPT OF ENVIRONMENTAL QUALITY","AZDEQ_GW-49475","SAMPLE FILTERED IN FIELD.--- SAMPLE TAKEN: Migrated","NULL","NULL","Unknown","AZDEQ_GW","Unknown","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",114723,"AZDEQ_GW","AZDEQ_GW","AZDEQ_GW-49475","59404","Well","Station Description:  Station Name: COLONEL SPRINGS",33.7944433,-109.4072583,"Unknown","UNKWN","NULL","NULL","NULL","US",4,1,"NULL","NULL","NULL","NULL","NULL","STORET"
112960,"AZDEQ_GW","AZDEQ_GW-GW-2027.CHEM","Sample-Routine","Water","Groundwater","2001-11-06 00:00:00","9673","ARIZONA DEPT OF ENVIRONMENTAL QUALITY","AZDEQ_GW-49474","--- SAMPLE TAKEN: Migrated","NULL","NULL","Unknown","AZDEQ_GW","Unknown","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",114722,"AZDEQ_GW","AZDEQ_GW","AZDEQ_GW-49474","59403","Well","Station Description:  Station Name: NOBLE",33.8589842,-109.1767492,"Unknown","UNKWN","NULL","NULL","NULL","US",4,1,"NULL","NULL","NULL","NULL","NULL","STORET"
115106,"AZDEQ_GW","AZDEQ_GW-GW-43441.CHEM","Sample-Routine","Water","Groundwater","2001-11-05 00:00:00","9673","ARIZONA DEPT OF ENVIRONMENTAL QUALITY","AZDEQ_GW-49677","EXCEEDED HOLDING TIME FOR PH. SAMPLE FILTERED IN FIELD.--- SAMPLE TAKEN: Migrated","NULL","NULL","Unknown","AZDEQ_GW","Unknown","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",114771,"AZDEQ_GW","AZDEQ_GW","AZDEQ_GW-49677","59740","Well","Station Description: BACK YARD. Station Name: SHERWOOD",34.1458156,-109.2676036,"Unknown","UNKWN","NULL","NULL","NULL","US",4,1,"NULL","NULL","NULL","NULL","NULL","STORET"
117457,"AZDEQ_GW","AZDEQ_GW-GW-1948.CHEM","Sample-Routine","Water","Groundwater","2001-11-05 00:00:00","9673","ARIZONA DEPT OF ENVIRONMENTAL QUALITY","AZDEQ_GW-49473","SAMPLE FILTERED IN FIELD. EXCEEDED HOLDING TIME FOR PH.--- SAMPLE TAKEN: Migrated","NULL","NULL","Unknown","AZDEQ_GW","Unknown","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",114721,"AZDEQ_GW","AZDEQ_GW","AZDEQ_GW-49473","59402","Well","Station Description:  Station Name: ROGERS WELL",33.9906133,-109.2093889,"Unknown","UNKWN","NULL","NULL","NULL","US",4,1,"NULL","NULL","NULL","NULL","NULL","STORET"
117876,"AZDEQ_GW","AZDEQ_GW-GW-185.CHEM","Sample-Routine","Water","Groundwater","2001-11-06 00:00:00","9673","ARIZONA DEPT OF ENVIRONMENTAL QUALITY","AZDEQ_GW-49474","SAMPLE FILTERED IN FIELD.--- SAMPLE TAKEN: Migrated","NULL","NULL","Unknown","AZDEQ_GW","Unknown","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",114722,"AZDEQ_GW","AZDEQ_GW","AZDEQ_GW-49474","59403","Well","Station Description:  Station Name: NOBLE",33.8589842,-109.1767492,"Unknown","UNKWN","NULL","NULL","NULL","US",4,1,"NULL","NULL","NULL","NULL","NULL","STORET"
123546,"AZDEQ_GW","AZDEQ_GW-GW-45207.CHEM","Sample-Routine","Water","Groundwater","2002-05-22 00:00:00","9673","ARIZONA DEPT OF ENVIRONMENTAL QUALITY","AZDEQ_GW-49714","EXCEEDED HOLDING TIME FOR PH. SAMPLE FILTERED IN LAB.--- SAMPLE TAKEN: Migrated","NULL","NULL","Unknown","AZDEQ_GW","Unknown","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",114789,"AZDEQ_GW","AZDEQ_GW","AZDEQ_GW-49714","59780","Well","Station Description: IN WELL HOUSE NEXT TO HOUSE/RESTAURANT. Station Name: GARIGAN, DON",33.9343639,-109.1861408,"Unknown","UNKWN","NULL","NULL","NULL","US",4,1,"NULL","NULL","NULL","NULL","NULL","STORET"
187224,"AZDEQ_GW","AZDEQ_GW-GW-132384.CHEM","Sample-Routine","Water","Groundwater","2014-10-15 00:00:00","9673","ARIZONA DEPT OF ENVIRONMENTAL QUALITY","AZDEQ_GW-58885","H3-SAMPLE RECEIVED AND ANALYZED PAST HOLDING TIME. H5-THIS TEST IS SPECIFIED TO BE PERFORMED IN THE FIELD WITHIN 15 MINUTES OF SAMPLING; SAMPLE WAS RECEIVED AND ANALYZED PAST THE REGULATORY HOLDING TIME.. Approved status: MARIANNE GILBERT 09-MAR-15 12:00:00--- SAMPLE TAKEN: Migrated","NULL","NULL","Unknown","AZDEQ_GW","Unknown","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",115354,"AZDEQ_GW","AZDEQ_GW","AZDEQ_GW-58885","79523","Well","Station Description:  Station Name: O.D. SPRING",33.9271797,-109.3322539,"Unknown","UNKWN","NULL","NULL","NULL","US",4,1,"NULL","NULL","NULL","NULL","NULL","STORET"
