"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier.2","OrganizationFormalName","MonitoringLocationIdentifier.2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName.2"
3604845,"BPMWQX","BPMWQX-516131","Sample-Routine","Water","Groundwater","2021-09-29 00:00:00","2901","NULL","BPMWQX-5512-KM-MW09","Scribe Sample No: KM-MW09-GW-N-092921","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.12,"µg/L","STORET",251912,"BPMWQX","Bonita Peak Mining","BPMWQX-5512-KM-MW09","KM-MW09","CERCLA Superfund Site","NULL",37.85682,-107.57436,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3604882,"BPMWQX","BPMWQX-510677","Sample-Routine","Water","Groundwater","2021-09-10 00:00:00","2901","NULL","BPMWQX-5428-HW-TP05","Scribe Sample No: HW-TP05-GW-N-091021","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.56,"µg/L","STORET",251889,"BPMWQX","Bonita Peak Mining","BPMWQX-5428-HW-TP05","HW-TP05","CERCLA Superfund Site","NULL",37.84022271,-107.5936159,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3604891,"BPMWQX","BPMWQX-520796","Sample-Routine","Water","Groundwater","2021-09-28 00:00:00","2901","NULL","BPMWQX-5394-EK-MW03","Scribe Sample No: EK-MW03-GW-N-092821","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",251855,"BPMWQX","Bonita Peak Mining","BPMWQX-5394-EK-MW03","EK-MW03","CERCLA Superfund Site","NULL",37.86661,-107.56964,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3604949,"BPMWQX","BPMWQX-510924","Sample-Routine","Water","Groundwater","2021-09-14 00:00:00","2901","NULL","BPMWQX-5406-EK-TP05","Scribe Sample No: EK-TP05-GW-N-091421","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",4.4,"µg/L","STORET",251868,"BPMWQX","Bonita Peak Mining","BPMWQX-5406-EK-TP05","EK-TP05","CERCLA Superfund Site","NULL",37.86891486,-107.56885207,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605040,"BPMWQX","BPMWQX-520633","Sample-Routine","Water","Groundwater","2021-09-28 00:00:00","2901","NULL","BPMWQX-5507-EK-MW01","Scribe Sample No: EK-MW01-GW-D-092821","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",251907,"BPMWQX","Bonita Peak Mining","BPMWQX-5507-EK-MW01","EK-MW01","CERCLA Superfund Site","NULL",37.86496,-107.56957,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605167,"BPMWQX","BPMWQX-510655","Sample-Routine","Water","Groundwater","2021-09-10 00:00:00","2901","NULL","BPMWQX-5425-HW-TP02","Scribe Sample No: HW-TP02-GW-N-091021","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",1.2,"µg/L","STORET",251886,"BPMWQX","Bonita Peak Mining","BPMWQX-5425-HW-TP02","HW-TP02","CERCLA Superfund Site","NULL",37.84148494,-107.59258943,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605174,"BPMWQX","BPMWQX-520773","Sample-Routine","Water","Groundwater","2021-09-25 00:00:00","2901","NULL","BPMWQX-5421-HW-MW14","Scribe Sample No: HW-MW14-GW-N-092521","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.51,"µg/L","STORET",251882,"BPMWQX","Bonita Peak Mining","BPMWQX-5421-HW-MW14","HW-MW14","CERCLA Superfund Site","NULL",37.84017,-107.59251,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605184,"BPMWQX","BPMWQX-516197","Sample-Routine","Water","Groundwater","2021-09-29 00:00:00","2901","NULL","BPMWQX-5414-HW-MW06","Scribe Sample No: HW-MW06-GW-N-092921","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.1,"µg/L","STORET",251875,"BPMWQX","Bonita Peak Mining","BPMWQX-5414-HW-MW06","HW-MW06","CERCLA Superfund Site","NULL",37.83931,-107.59055,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605237,"BPMWQX","BPMWQX-529506","Sample-Routine","Water","Groundwater","2021-11-04 00:00:00","2901","NULL","BPMWQX-5550-HW-MW17","Scribe Sample No: HW-MW17-GW-N-110421","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.46,"µg/L","STORET",251932,"BPMWQX","Bonita Peak Mining","BPMWQX-5550-HW-MW17","HW-MW17","CERCLA Superfund Site","NULL",37.83809,-107.59673,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605242,"BPMWQX","BPMWQX-520750","Sample-Routine","Water","Groundwater","2021-09-24 00:00:00","2901","NULL","BPMWQX-5514-HW-MW13","Scribe Sample No: HW-MW13-GW-N-092421","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",251914,"BPMWQX","Bonita Peak Mining","BPMWQX-5514-HW-MW13","HW-MW13","CERCLA Superfund Site","NULL",37.83895,-107.59479,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605296,"BPMWQX","BPMWQX-510755","Sample-Routine","Water","Groundwater","2021-09-10 00:00:00","2901","NULL","BPMWQX-5427-HW-TP04","Scribe Sample No: HW-TP04-GW-N-091021","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",2.6,"µg/L","STORET",251888,"BPMWQX","Bonita Peak Mining","BPMWQX-5427-HW-TP04","HW-TP04","CERCLA Superfund Site","NULL",37.84070746,-107.5933926,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605299,"BPMWQX","BPMWQX-520855","Sample-Routine","Water","Groundwater","2021-09-27 00:00:00","2901","NULL","BPMWQX-1374-KMMW1","Scribe Sample No: KM-MW01-GW-D-092721","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250269,"BPMWQX","Bonita Peak Mining","BPMWQX-1374-KMMW1","KMMW1","CERCLA Superfund Site","NULL",37.858093805,-107.572115363,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605320,"BPMWQX","BPMWQX-520932","Sample-Routine","Water","Groundwater","2021-09-27 00:00:00","2901","NULL","BPMWQX-5226-KMMW7","Scribe Sample No: KM-MW07-GW-N-092721","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",251792,"BPMWQX","Bonita Peak Mining","BPMWQX-5226-KMMW7","KMMW7","CERCLA Superfund Site","Kittimac 7",37.857493,-107.572183,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
