"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier-2","OrganizationFormalName","MonitoringLocationIdentifier-2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName-2"
"3697202","USGS-UT","nwisut.01.00900846","Sample-Routine","Water","Groundwater","2009-04-30 00:00:00",NULL,"U.S. Geological Survey","USGS-370727113233001",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","9.6","ug/l","NWIS","264471","USGS-UT","USGS Utah Water Science Center","USGS-370727113233001","(C-42-14)23abc- 1   WD-5","Well",NULL,"37.12434365","-113.3936173","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","2993.9","feet","Global Positioning System.","US","49","53","1995","160","feet","160","feet","NWIS"
"3650813","USGS-UT","nwisut.01.00700604","Sample-Routine","Water","Groundwater","2007-08-20 00:00:00",NULL,"U.S. Geological Survey","USGS-375320112510003","L-2350329 X=station id different on samples 1003, all else matches","Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","2.4","ug/l","NWIS","258605","USGS-UT","USGS Utah Water Science Center","USGS-375320112510003","(C-33- 9)35acd- 3","Well",NULL,"37.88963889","-112.8343333","Interpolated from MAP.","NAD83","5770","feet","Interpolated from topographic map.","US","49","21","1992","880","feet","900","feet","NWIS"
"3650845","USGS-UT","nwisut.01.00700572","Sample-Routine","Water","Groundwater","2007-08-08 00:00:00",NULL,NULL,"USGS-373854113411501","A-2220241 Collected by H.K. Cristiansen & N.R. Whittier","Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","1.9","ug/l","NWIS","257300","USGS-UT","USGS Utah Water Science Center","USGS-373854113411501","(C-36-16)19abb- 1","Well",NULL,"37.64830715","-113.6882993","Interpolated from MAP.","NAD83","5226.34","feet","Level or other surveyed method.","US","49","21","1945","352","feet","352","feet","NWIS"
"3650877","USGS-UT","nwisut.01.00700605","Sample-Routine","Water","Groundwater","2007-08-20 00:00:00",NULL,"U.S. Geological Survey","USGS-374337113043701",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","0.57","ug/l","NWIS","257732","USGS-UT","USGS Utah Water Science Center","USGS-374337113043701","(C-35-11)27dbb- 1","Well",NULL,"37.72692097","-113.0777272","Interpolated from MAP.","NAD83","5560","feet","Interpolated from topographic map.","US","49","21","1960","156","feet","156","feet","NWIS"
"3650940","USGS-UT","nwisut.01.00700447","Sample-Routine","Water","Groundwater","2007-07-11 00:00:00",NULL,NULL,"USGS-374834113384301","A-1970120 Collected by H.K. Christiansen & R.L. Swenson L-1970120 Received July 14,2007    X= Improper Sample Container = RU","Not applicable","Routine sample","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","8.6","ug/l","NWIS","258283","USGS-UT","USGS Utah Water Science Center","USGS-374834113384301","(C-34-16)28dcc- 2","Well",NULL,"37.8094148","-113.6460774","Interpolated from MAP.","NAD83","5136","feet","Interpolated from topographic map.","US","49","21","1922","148","feet",NULL,NULL,"NWIS"
"3650971","USGS-UT","nwisut.01.00700609","Sample-Routine","Water","Groundwater","2007-08-21 00:00:00",NULL,"U.S. Geological Survey","USGS-374550113040601",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","2.0","ug/l","NWIS","257992","USGS-UT","USGS Utah Water Science Center","USGS-374550113040601","(C-35-11)11ccc- 1","Well",NULL,"37.7649761","-113.0691163","Interpolated from MAP.","NAD83","5495","feet","Interpolated from topographic map.","US","49","21","1950","450","feet","450","feet","NWIS"
"3651003","USGS-UT","nwisut.01.00700607","Sample-Routine","Water","Groundwater","2007-08-20 00:00:00",NULL,"U.S. Geological Survey","USGS-373407113100801",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","0.65","ug/l","NWIS","257127","USGS-UT","USGS Utah Water Science Center","USGS-373407113100801","(C-37-12)23acb- 1","Well",NULL,"37.56888889","-113.1691667","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","5512.93","feet","Level or other surveyed method.","US","49","21",NULL,"250","feet","300","feet","NWIS"
"3651035","USGS-UT","nwisut.01.00700603","Sample-Routine","Water","Groundwater","2007-08-20 00:00:00",NULL,"U.S. Geological Survey","USGS-375257112483501",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","4.0","ug/l","NWIS","258577","USGS-UT","USGS Utah Water Science Center","USGS-375257112483501","(C-33- 8)31ccc- 1","Well",NULL,"37.8825","-112.8105556","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","5800","feet","Interpolated from topographic map.","US","49","21","1959","466","feet","466","feet","NWIS"
"3651068","USGS-UT","nwisut.01.00800580","Sample-Routine","Water","Groundwater","2008-08-04 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-380218112424401",NULL,"Not applicable","Not applicable","8030","USGS parameter code 82398","Grab sample at water-supply tap","Line-shaft turbine pump",NULL,"As","Dissolved","2.4","ug/l","NWIS","258926","USGS-UT","USGS Utah Water Science Center","USGS-380218112424401","(C-32- 8)12bdb- 1","Well",NULL,"38.04","-112.7142778","Interpolated from MAP.","NAD83","5810","feet","Interpolated from topographic map.","US","49","21",NULL,NULL,NULL,NULL,NULL,"NWIS"
"3631057","USGS-UT","nwisut.01.97402131","Sample-Routine","Water","Groundwater","1974-03-07 00:00:00",NULL,"Organization other than U.S. Geological Survey","USGS-373931110485301",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NULL,"As","Dissolved","10.0","ug/l","NWIS","255513","USGS-UT","USGS Utah Water Science Center","USGS-373931110485301","(D-36-10)21dca- 1","Well",NULL,"37.65860108","-110.8154264","Interpolated from MAP.","NAD83","3929","feet","Level or other surveyed method.","US","49","17","1972","1000","feet","3079","feet","NWIS"
