"OID_","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","SiteID","Elevation","WellDepthMeasureValue","AM_A_Amorph_7_16","AM_A_Analcime_7_16","AM_A_Aragon_7_16","AM_A_C_Inorg_7_16","AM_A_C_Tot_7_16","AM_A_Ca_7_16","AM_A_Calcite_7_16","AM_A_Cd_7_16","AM_A_Ce_7_16","AM_A_Co_7_17","AM_A_Cr_7_17","AM_A_Cs_7_17","AM_A_Cu_7_17","AM_A_Dolomite_7_16","AM_A_Fe_7_17","AM_A_Ga_7_17","AM_A_Goethite_7_16","AM_A_Gypsum_7_16","AM_A_Hematite_7_16","AM_A_Heuland_7_16","AM_A_Hg_7_17","AM_A_Hornbl_7_16","AM_A_K_7_17","AM_A_Kaolinit_7_16","AM_A_La_7_17","AM_A_Li_7_17","AM_A_Mg_7_17","AM_A_Mn_7_17","AM_A_Mo_7_17","AM_A_Na_7_17","AM_A_Nb_7_17","AM_A_Ni_7_17","AM_A_Other_7_16","AM_A_P_7_17","AM_A_Pb_7_17","AM_A_Pyrite_7_16","AM_A_Pyroxene_7_16","AM_A_Quartz_7_16","AM_A_Rb_7_17","AM_A_S_7_17","AM_A_Sb_7_17","AM_A_Sc_7_17","AM_A_Se_7_18","AM_A_Serpent_7_16","AM_A_Sn_7_18","AM_A_Sr_7_18","AM_A_Talc_7_16","AM_A_Te_7_18","AM_A_Th_7_18","AM_A_Ti_7_18","AM_A_Tl_7_18","AM_A_Tot_10A_7_16","AM_A_Tot_14A_7_16","AM_A_Tot_Carb_7_16","AM_A_Tot_Clay_7_16","AM_A_Tot_Flds_7_16","AM_A_Tot_K_fs_7_16","AM_A_Tot_Plag_7_16","AM_A_Tot_Zeol_7_16","AM_A_U_7_18","AM_A_V_7_18","AM_A_W_7_18","AM_A_Y_7_18","AM_A_Zn_7_18","LM_C_Amorph_7_19","LM_C_Analcime_7_19","LM_C_aragon_7_19","LM_C_C_Inorg_7_19","LM_C_Ca_7_17","LM_C_Cd_7_17","LM_C_Ce_7_18","LM_C_Co_7_18","LM_C_Cr_7_18","LM_C_Cs_7_18","LM_C_CTot_7_15","LM_C_Cu_7_18","LM_C_Dolomite_7_19","LM_C_Fe_7_18","LM_C_Ga_7_18","LM_C_Gibbsite_7_19","LM_C_Hg_7_18","LM_C_K_7_18","LM_C_La_7_18","LM_C_Li_7_18","LM_C_Mg_7_18","LM_C_Mn_7_18","LM_C_Mo_7_18","LM_C_Na_7_18","LM_C_Nb_7_18","LM_C_Ni_7_18","LM_C_P_7_18","LM_C_Pb_7_18","LM_C_Rb_7_18","LM_C_S_7_18","LM_C_Sb_7_18","LM_C_Sc_7_18","LM_C_Se_7_18","LM_C_Sn_7_18","LM_C_Sr_7_18","LM_C_Te_7_18","LM_C_Th_7_18","LM_C_Ti_7_18","LM_C_Tl_7_18","LM_C_U_7_15","LM_C_V_7_18","LM_C_W_7_18","LM_C_Y_7_18","AN_C_Calcite_7_22","AN_C_Goethite_7_19","AN_C_Gypsum_7_22","AN_C_Hematite_7_22","AN_C_Heuland_7_19","AN_C_Hornbl_7_19","AN_C_Kaolinit_7_19","AN_C_Pyrite_7_19","AN_C_Pyroxene_7_19","AN_C_Quartz_7_19","AN_C_Talc_7_19","AN_C_Tot_10A_7_19","AN_C_Tot_14A_7_19","AN_C_Tot_Carb_7_19","AN_C_Tot_Flds_7_19","AN_C_Tot_K_fs_7_19","AN_Top5_Ag_7_17","AN_Top5_Al_7_17","AN_Top5_As_7_17","AN_Top5_Ba_7_17","AN_Top5_Be_7_17","AN_Top5_Bi_7_17","AN_Top5_Ca_7_17","AN_Top5_Cd_7_17","AN_Top5_Ce_7_17","AN_Top5_Co_7_17","AN_Top5_Cr_7_17","AN_Top5_Cs_7_17","AN_Top5_Cu_7_17","AN_Top5_Fe_7_17","AN_Top5_Ga_7_17","AN_Top5_Hg_7_17","AN_Top5_In_7_17","AN_Top5_K_7_17","AN_Top5_La_7_17","AN_Top5_Li_7_17","AN_Top5_Mg_7_17","AN_Top5_Mn_7_17","AN_Top5_Mo_7_18","AN_Top5_Na_7_18","AN_Top5_Nb_7_18","An_Top5_Ni_7_18","AN_Top5_P_7_18","AN_Top5_Pb_7_18","AN_Top5_Rb_7_18","AN_Top5_S_7_18","AN_Top5_Sb_7_18","AN_Top5_Sc_7_18","AN_Top5_Se_7_18","AN_Top5_Sn_7_18","AN_Top5_Sr_7_18","AN_Top5_Te_7_18","AN_Top5_Th_7_18","AN_Top5_Ti_7_18","AN_Top5_Tl_7_18","AN_Top5_U_7_18","AN_Top5_V_7_18","AN_Top5_W_7_18","AN_Top5_Y_7_18","AN_Top5_Zn_7_18","Best_Guess__ac_","PRISM_ppt_30yr_normal_800mM4_annual_bil","bfi48grd","GENERALIZE_Sedimentary_clastic","GENERALIZE_Igneous_volcanic","GENERALIZE_Unconsolidated_undifferentiated","GENERALIZE_Sedimentary_undifferentiated","GENERALIZE_Unconsolidated_and_Sedimentary_undifferentiated","GENERALIZE_Sedimentary_carbonate","GENERALIZE_Igneous_intrusive","GENERALIZE_Metamorphic_undifferentiated","GENERALIZE_Metamorphic_and_Sedimentary_undifferentiated","GENERALIZE_Water","UNIT_NAME_Residual_materials_developed_in_sedimentary_rocks_discontinuous","UNIT_NAME_Residual_materials_developed_in_fine.grained_sedimentary_rocks","UNIT_NAME_Basaltic_and_andesitic_volcanic_rocks","UNIT_NAME_Alluvial_sediments_thin","UNIT_NAME_Colluvial_sediments_thin","UNIT_NAME_Residual_materials_developed_in_carbonate_rocks_discontinuous","UNIT_NAME_Alluvial_sediments_thick","UNIT_NAME_Eolian_sediments_mostly_dune_sand_thin","UNIT_NAME_Residual_materials_developed_in_igneous_and_metamorphic_rocks","UNIT_NAME_Rhyolitic_volcanic_rocks","UNIT_NAME_Water","UNIT_NAME_Eolian_sediments_mostly_loess_thin","US_L3NAME_Arizona.New_Mexico_Mountains","US_L3NAME_Arizona.New_Mexico_Plateau","US_L3NAME_Sonoran_Basin_and_Range","US_L3NAME_Southern_Rockies","US_L3NAME_Mojave_Basin_and_Range","US_L3NAME_Colorado_Plateaus","US_L3NAME_Central_Basin_and_Range","US_L3NAME_Wasatch_and_Uinta_Mountains","bas1","bas5","bas10","spl3cat","spl5","U3Cat"
183,"U","Dissolved",0.028,154619,8700,"NULL",23.5695,0,0.0392662,0.750304,3.8744769,3.3777108,5.0202513,0.1881575,63.8878517,6.3663521,24.0744457,5.9941597,22.7085056,1.1638178,1.7939759,14.5208092,0,1.6304358,0.061155,0,0.0225814,0,2.044131,1.5727414,32.1405258,28.615715,0.6266081,732.1251221,1.9800154,1.3501154,31.8457336,12.2681274,0,462.4666138,18.6211224,0,0,33.9047813,90.9640732,0.2552866,0.5902295,5.1855049,0.2783256,0,2.0719802,148.8352661,0,0.1,9.3539581,0.2376969,0.4385975,6.321013,1.10203,6.1275129,8.31812,29.3155804,8.9448071,18.8897629,0,2.3577549,41.1052437,1.7381964,20.2853165,87.1373215,21.0968571,0,0,1.0677613,3.2830446,0.1618037,76.9876709,6.1913548,23.4620152,6.5709205,2.0380664,11.6073093,1.262009,2.0143962,20.1534328,0,0.0229602,2.2447357,32.97089,31.6605949,0.6297913,675.3991699,2.2928231,1.6437446,66.2859955,11.642024,390.5849304,22.4110146,122.3426132,0.1077829,0.6721728,5.3111186,0.2834176,2.3901811,140.5737457,0.1,15.3619194,0.2129462,0.6366924,3.5119109,42.2835884,2.6353621,27.3161774,6.8708348,0,0.8419832,0.1196976,0,0,1.7598562,0,0,38.8060341,0,6.8511381,1.9294716,8.8096504,23.7209682,6.3528528,1,5.5246954,5.3010554,494.3046875,2.4802101,0.1816558,3.0910223,0.1423543,64.0540771,6.5974684,24.3830223,5.9399772,14.1079655,1.7965502,15.6908751,0.0207234,0.0409529,2.0227208,34.5400925,27.7859383,0.5475987,813.7233276,2.0243304,1.4144005,31.8710403,12.0603046,451.9883423,20.2061291,84.037262,0.2380659,0.5779923,5.1531839,0.2610399,1.9108142,151.0330811,0.1,9.4781599,0.2356616,0.4573928,2.4114149,39.8375282,1.3990133,18.6502686,61.8135681,0,583.9769897,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,FALSE,"C1"
228,"U","Dissolved",0.3,155702,6920,"148",18.7281094,0,0.039905,0.4594921,2.6897998,2.273953,2.1271405,0.1698389,61.4061394,6.5358291,28.2185726,5.3399682,19.5865498,1.5137911,1.7830982,12.4505711,0,1.8466578,0.2021125,0,0.0198771,0,1.768947,2.2074444,28.7262955,26.2227383,0.6293004,428.926239,1.03417,0.8055599,18.1379128,14.0691528,0,433.7911987,16.8811741,0,0,47.2288818,93.5681458,0.3136085,0.6625803,5.7525368,0.2969512,0,1.6787512,118.2328873,0,0.1,8.8862906,0.2493867,0.4409594,6.3665195,0.8145661,3.6462495,9.7003136,18.249321,7.5272541,11.0214977,0,2.1417234,44.566967,1.2420175,17.9545078,61.4977646,18.8724041,0,0,0.7840022,2.6807046,0.1513757,57.3482361,6.9290061,28.3780823,5.799962,1.3189274,14.3086462,2.0573907,1.9937401,14.6175756,0,0.0223363,1.7548327,28.8677979,29.022089,0.7435724,291.158905,1.1728444,0.7518959,17.1918736,14.3432951,393.1599426,16.5627499,96.7554321,0.1235485,0.680584,6.3167963,0.3046848,1.7749007,124.9754715,0.1,9.7938318,0.2288254,0.51634,2.5557621,49.0479012,1.4451085,18.5807323,3.9996688,0,0.865459,0.2273018,0,0,2.6263449,0,0,45.3395576,0,6.9542375,2.3653331,6.3547912,14.5318775,5.9224577,1,4.7901497,5.7483602,402.4755554,1.8160436,0.1478289,1.9911461,0.1818379,51.4897804,5.9542513,26.8486671,5.260839,17.1597176,1.7816664,11.7893019,0.0229873,0.0331445,1.7284758,26.4863014,25.5335941,0.5996565,423.0119934,0.9423617,0.7991893,16.88414,13.133853,437.009613,16.6369915,81.8830643,0.2577131,0.6269997,5.9397016,0.2772436,1.5437489,119.1865005,0.1,8.0299387,0.2312705,0.4335429,2.0365605,43.2602768,1.0281774,15.4095116,57.756218,0,344.2189941,51,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE,"C1"
401,"U","Dissolved",1.9,270192,5230,"450",14.5075245,0,0,0.2428614,0.9747834,1.2248617,1.5906152,0.1955774,51.2782898,6.427424,13.1423588,5.0564408,12.5200167,0.3689806,1.6168574,11.5936499,0,0,0,0,0.018656,0,1.9404485,2.2773807,26.2320328,18.6747589,0.4478889,268.3256531,0.86731,0.8707982,8.3799725,9.4388142,0,342.0371094,16.0428829,0,0.047966,51.2281723,82.5458145,0.0287129,0.6633744,5.0121789,0.2062684,0,1.1547256,135.6700897,0,0.1,7.5261917,0.1956535,0.4895371,5.7845988,0.5195317,2.0094097,9.240736,19.3949623,9.914197,9.7986574,0,1.9576812,38.9149666,0.7512344,15.8230581,43.2339134,16.2143288,0,0,0.3290166,1.5988665,0.1193061,45.9915009,4.6898203,15.337039,5.3313608,0.8335053,9.80235,0.4829895,1.5772812,11.851491,0,0.0157588,1.7975903,24.4510021,20.3933392,0.4524485,200.7897186,0.9255736,0.866977,7.2121129,7.7909956,279.683075,14.4645166,78.145752,0.0744174,0.6353522,4.6706109,0.2403369,1.0196884,148.4902344,0.1,7.5910797,0.1917492,0.4935192,1.951628,40.3385658,0.8585436,13.5154953,2.1848276,0,0,0.0508856,0,0,3.9270542,0,0,53.9445953,0,5.1719003,2.0010383,2.7937071,18.6091595,9.3047647,1,3.2463348,6.2482696,454.8259583,1.394171,0.1249962,0.7388992,0.173143,51.9211845,5.813437,11.9893198,5.0613551,7.0219202,1.1747539,10.651041,0.0216326,0.027433,1.4932215,26.7049828,15.5773058,0.3558671,161.9090118,0.7715459,0.4775177,7.7704043,6.4910192,269.198822,14.9458704,82.5164948,0.0204435,0.5908314,4.5400286,0.2,1.0544389,102.0682144,0.1,7.1382093,0.1661675,0.4611985,1.8118029,28.7491493,0.7371926,14.8456793,24.5978928,0,191.3849945,49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,FALSE,FALSE,"C1"
454,"U","Dissolved",8.82,52018,4075,"NULL",15.4330826,0,0,1.1213846,2.3772957,3.6239967,4.1408062,0.2188312,45.2997208,6.4671636,32.8212509,5.6380496,13.783329,4.7296486,1.625677,8.5762949,0,0,0.1459171,0,0.0200967,0.0855052,1.4448392,1.373383,25.8549995,21.9925842,1.1362674,435.9042664,0.8399948,0.2926025,7.5893645,13.4181376,0,1158.631958,15.2924128,0,0,58.1598282,63.7876358,0.0284604,0.6178325,4.9054341,0.3011839,0,1.1735791,162.4760284,0,0.1,8.1818771,0.1754951,0.3925762,6.8614659,0.5057557,8.8601122,8.8912554,9.055666,5.1224298,3.8855999,0,2.2574999,34.5414276,0.9240798,18.029295,43.0701065,18.002512,0,0.0724307,1.9062902,6.0096731,0.1469201,39.2032928,6.2094078,34.3727379,5.1683373,2.888859,15.349967,5.1039276,1.48584,7.6199756,0,0.0220544,1.2846287,23.4728374,23.9169121,1.2681539,340.3837585,0.7497022,0.2251354,4.7758727,14.8043671,1313.5925293,11.3237019,58.1674576,0.1118477,0.4404286,4.9737716,0.3245525,1.0904374,213.3018036,0.1,6.696475,0.1728304,0.3481018,2.0065334,39.3861923,5.0050788,17.0105267,9.9687538,0,0.3376179,0.0229346,0,0.023546,1.9372351,0,0.1257629,52.314167,0,6.7578259,0.4839344,15.4620523,5.0724301,2.7705758,1,3.0972929,6.1176791,354.9408875,0.9296106,0.1627497,3.2879956,0.2223976,39.9895058,5.9530911,32.3531609,5.2392831,13.2466602,1.5578637,7.2791967,0.0177439,0.028929,1.4461231,22.5497704,19.9498901,1.0788603,430.508606,0.7059106,0.288535,6.0839577,13.1488247,1111.7224121,14.1784286,57.4250679,0.0284609,0.5064991,4.5976205,0.2716653,1.0147578,155.0772247,0.1,7.3014183,0.1699062,0.3534745,2.0044312,31.7572002,0.8274131,15.364666,42.2388916,0,301.5379944,77,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,TRUE,TRUE,"C1"
310,"U","Dissolved",5.6,269693,5320,"9",10.4998875,0,0,0.1803896,0.5103827,1.0342605,0.9705121,0.1685944,42.3607712,4.6119695,9.9249191,5.0674572,7.2489538,0.4612648,1.2858588,9.0290451,0,0,0,0,0.0149723,0,1.8014082,1.4497471,22.4150257,17.0853882,0.4369001,179.4992523,0.6658506,0.6370553,7.093595,7.3780198,0,315.5626831,14.4475946,0,0.0561251,67.524437,73.0879135,0.0257031,0.6891396,4.3966088,0.2063618,0,0.9839092,115.1559677,0,0.1,6.6751733,0.1607753,0.444658,4.0406795,0.8376275,1.4232395,6.5022984,18.8567142,10.8692465,7.8957462,0,1.7864354,32.9653015,0.6575955,12.8979177,35.0924301,14.6844931,0,0,0.5888128,2.2931137,0.119681,43.6619225,5.3787065,14.280695,5.2581668,0.9342414,9.2543688,0.8801671,1.554877,10.6424894,0,0.01555,1.7611183,23.9851952,18.3925381,0.5174146,258.4822083,0.7712147,0.5693308,7.455555,8.185174,297.2322388,13.7319622,76.1986694,0.0538397,0.6712878,4.4043422,0.2427978,1.017151,153.7613068,0.1,7.5946202,0.173612,0.461715,1.9303757,37.3159943,0.8289425,14.114316,3.7865913,0,0,0.0393283,0,0,1.77873,0,0,56.4105415,0,5.3473072,1.4802742,4.7860055,13.3350468,7.7415376,1,3.5524154,5.1426883,590.9263306,1.0458417,0.1104625,0.760345,0.1284721,44.9788017,4.023869,11.0644445,5.1302485,6.3595405,1.1962801,8.1648169,0.0121868,0.0231213,1.7030151,24.2994843,15.5224667,0.3875043,175.2937012,0.6113051,0.5611126,6.8244786,6.6786661,303.1943054,14.2586794,77.90625,0.0216769,0.6212307,3.8677936,0.2,0.9145016,111.3513184,0.1,6.1507053,0.1552409,0.4562185,1.6557536,29.1864281,0.6805576,12.5758171,31.0467796,0,163.7189941,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,TRUE,TRUE,"C1"
181,"U","Dissolved",8.7,45828,1803,"1004",14.2749395,0,0.0325411,0.3501272,0.4766704,2.2365978,2.837281,0.1377748,102.8311234,9.2266722,35.7082176,6.1085529,14.1163673,0.0564228,3.5158606,18.8084564,0,0,0.0270651,0,0.0378092,1.4982095,2.481396,0.0883803,47.9710083,21.191824,0.737196,516.8082275,0.7453748,1.5679845,20.210619,16.2985744,0,607.489563,22.7758083,0.01297,0.1025797,38.8143845,111.6098938,0.0132087,0.4884387,9.5880957,0.2,0,3.7047577,184.1971741,0,0.1,22.0340919,0.383701,0.6421947,7.2895718,1.1385002,2.7757087,8.7838535,37.6684303,15.4315271,22.4172192,0,3.1628587,54.5491638,2.1186187,39.9508972,57.2529106,16.1959743,0.0194808,0,0.5839068,3.5137224,0.1064851,99.485527,9.1173658,33.632309,5.1557546,0.714314,18.3069916,0.0233704,3.2991233,15.7490807,0,0.0324836,2.2553928,47.7602386,22.9242058,0.8307545,479.6712341,0.7121384,1.5470122,16.0376148,16.2691135,516.041687,20.4293804,105.8648834,0.0162656,0.3853623,10.0235195,0.2,3.2892461,194.9089813,0.1,19.1541557,0.3940497,0.6027175,2.5987751,59.1542015,3.1998241,31.4210281,5.2869954,0,0,0.0928553,0,1.4369254,0.3540853,0,0.1285737,35.2747116,0,7.228663,1.668151,4.8006387,36.3659172,14.5070391,1,5.9585223,3.7689691,723.3823242,2.4404182,0.2664587,2.008328,0.1225685,105.5674286,9.2133837,43.7860985,5.9520378,14.541707,4.4617524,15.760601,0.0273068,0.0740934,2.5042939,48.4799347,18.3882408,0.7358078,556.6560059,0.8007672,1.5998335,22.8955154,15.6726961,687.5899048,25.3864117,110.2931595,0.0132758,0.4537562,9.7379646,0.2,4.2501864,188.2286682,0.1,24.7595196,0.4535343,0.6145885,3.6437385,71.1064072,3.1599231,38.2796783,60.6387634,0,170.9960022,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,TRUE,TRUE,"C1"
646,"U","Dissolved",1010,152941,5287.28,"12",18.6585999,0.1432421,0,0.0639078,2.2793915,0.8075122,0.5117896,0.3273517,51.6139908,7.782074,22.3690948,5.4359059,15.326808,0,1.9168288,10.4087954,0,0,0.253208,0,0.018567,0,1.6394539,2.0044305,25.1175022,26.6707821,0.4526555,592.4090576,1.1097205,0.5489559,8.9351139,10.3479118,0,494.7906799,23.6035862,0,0,56.3484688,73.981842,0.0278686,0.4827266,5.527576,0.2523477,0,1.4048007,134.3076782,0.0588703,0.1009278,8.3830986,0.2290606,0.5097823,7.7196488,0.2918715,0.5262339,9.9006596,13.8899059,6.4589219,7.3830018,0.1435067,2.1389771,50.2291222,0.909215,14.2527781,53.453968,17.9027748,0,0,0.3856345,1.8338864,0.204611,54.2995682,7.6098499,23.2308331,5.2652578,1.6878483,14.2716789,0.3697062,1.82226,10.7695904,0,0.0178478,1.5578645,25.9734554,31.1806202,0.5821044,519.7930298,0.8989982,0.5250993,8.5285902,11.780673,365.1384888,21.310791,71.0795059,0.084639,0.640055,5.6365871,0.2605309,1.2424672,144.073822,0.1,8.1176987,0.2297163,0.4486453,2.0850306,51.2350197,1.1616222,15.0076504,2.7340736,0,0.3498634,0.0463184,0,0,2.6563621,0,0,55.2650604,0,7.0977063,1.6240399,3.2094045,11.7612524,6.2003999,0.8230581,3.865608,6.0833049,510.6699524,1.1142389,0.2151456,0.6763836,0.354227,54.8311577,8.4157019,19.8626308,5.4634233,14.5610218,1.7556288,10.5032291,0.0208877,0.0388042,1.5608037,26.4228592,24.0893974,0.4202981,527.8066406,1.0704291,0.5324695,9.4582405,9.4844751,479.5908203,24.3272133,75.0211716,0.0298064,0.6496423,5.143652,0.2380445,3.089268,134.4705658,0.0975298,9.0358133,0.2090198,0.4771665,2.1476753,42.8377609,0.9762983,16.7482529,32.7165108,600,316.1109924,49,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,FALSE,FALSE,"C3"
153,"U","Dissolved",0.044776119402985,155414,NA,"NULL",19.8493652,0,0,0.8092148,2.9435194,3.5702312,4.7638197,0.1946515,55.310482,5.8902564,22.4449692,6.148901,28.0785637,1.8134005,1.8090563,12.6692467,0,2.0074139,0.0685613,0,0.0209352,0,1.8763912,1.8020165,27.4476986,28.5112762,0.7489166,450.4588013,1.343202,1.0357769,23.8007851,12.2601624,0,480.8189697,17.2303085,0,0,40.7714539,90.3708496,0.4136062,0.6167089,5.4969945,0.2907421,0,1.791231,170.703537,0,0.1,8.4037485,0.2153518,0.4246784,6.7545843,1.040741,6.5708895,9.2458801,25.8300896,8.3850775,15.4654808,0,2.2158623,43.146492,1.3666582,17.5213108,89.3564758,18.0881958,0,0,0.8971939,3.0662258,0.1501341,58.1957855,5.7436662,22.9900017,6.4260702,1.6743585,11.0697441,2.2025249,1.8726293,15.779603,0,0.0206201,2.0269678,28.2775974,28.7725258,0.7329568,364.0137939,1.5582999,1.2599145,36.0341454,11.1701336,402.8448792,17.8637085,105.0218506,0.1314777,0.6738864,5.3237104,0.3007593,1.8259407,149.2994843,0.1,10.6447306,0.2045494,0.5413333,2.7593188,44.3623924,1.7993311,19.7931099,5.1913738,0,0.9318296,0.1189499,0,0,1.8463247,0,0,43.2397881,0,6.7633147,1.8604838,7.3442245,25.0084133,7.8596249,1,4.8269949,5.5700941,487.1306152,2.0754061,0.1502427,3.2550914,0.158408,51.1274643,5.7878709,22.5842419,6.0911536,12.0160799,1.755513,13.2842398,0.0221308,0.0360957,1.838038,26.3872871,27.3428459,0.7092907,468.9081726,1.3851323,1.0579561,24.2351322,11.6192493,496.7293396,17.9099369,81.6599121,0.3333942,0.6199079,5.5102372,0.2791009,1.6660725,174.6301575,0.1,8.2372713,0.2101004,0.4447457,2.2156954,41.5791359,1.1583023,16.1793251,57.1723213,0,304.1799927,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,TRUE,"C1"
16,"U","Dissolved",3.9,271191,7071,"NULL",18.3652267,0,0.0532407,0.2243506,1.14577,2.23189,1.289642,0.1536915,55.501339,11.1502714,38.1506844,5.4695525,16.6021805,0.527287,2.6458139,13.7901459,0,0,0.3598629,0,0.0153626,0.1057114,1.9087936,1.6607097,28.036787,20.6459312,1.0558463,509.9887085,0.6512863,1.316164,11.7046719,27.9472561,0.8434747,524.9853516,16.3434467,0,1.8503013,39.9125366,78.2498322,0.0213539,0.632678,8.2420464,0.2,0,1.4674213,352.8016357,0,0.1,8.5941067,0.3512981,0.3920038,6.0208421,0.3119884,1.8714881,7.9630909,31.3237057,10.1472015,21.6843281,0,1.6845939,67.4545135,0.7576574,17.5886555,61.8779945,21.759079,0,0,0.2268026,2.2705994,0.1135282,56.8252983,11.96523,46.2203064,7.6779919,0.7741959,14.5792141,0,2.9083993,15.6234064,0,0.0224432,1.804857,29.6242104,24.0996494,0.9850089,431.5328064,0.8414477,1.2092476,12.8209209,26.0255241,472.0654602,16.3978996,76.7677383,0.0325901,0.7185099,8.4300489,0.2411564,1.6145682,386.6642151,0.1,9.0817871,0.3543384,0.4432151,1.8419671,70.4291,1.1620091,20.1071911,1.9167156,0.0604404,0,0.1207831,0,0.5218272,0.967084,0,1.9106503,35.6022568,0,5.3491583,3.7124047,1.915897,25.3221703,8.189414,1,5.5614862,4.5460305,665.1103516,1.3503342,0.18112,1.5906477,0.1510394,55.0730782,11.003005,38.3130493,5.4690309,14.8774614,2.4200366,12.7566957,0.018035,0.0386276,1.7977988,28.3117142,19.5517311,0.8630208,486.9167175,0.6684938,1.2933369,12.4636946,25.2893734,476.0102539,16.5637779,75.0763397,0.0213662,0.6201671,7.4675298,0.2,1.428739,346.7854004,0.1,8.8707724,0.3377667,0.402213,1.7904087,62.3467293,0.8638459,17.4484043,47.7430191,0,301.2070007,36,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,FALSE,TRUE,"C1"
622,"U","Dissolved",5.82,265146,5045,"620",19.1854725,0,0.0870141,0.5256555,2.3240762,2.2690225,2.9376571,0.2109532,59.0912323,11.1207542,34.0745926,5.3316593,18.0272694,0.9774377,2.2250674,10.7581005,0,0,0.1514947,1.2904544,0.016857,0.3147395,1.6861142,2.1605883,29.153677,25.2067814,0.7576131,597.9266968,0.852861,0.5895991,7.9165688,14.5094709,0.2290753,671.8688354,17.0961628,0,0,50.3940201,75.9267654,0.0330409,0.5659201,7.1965852,0.2061825,0,1.2276158,182.6469421,0,0.1,8.4586649,0.2396522,0.4294728,5.1667829,0.0403092,4.2883096,6.5018158,16.6678982,6.7127824,10.515523,1.1980004,1.9980627,64.6875229,0.8460544,14.5471926,52.9306679,20.434145,0,0,0.6832368,2.8068736,0.1333074,57.2757034,11.549017,32.089283,5.9489441,1.2666709,18.6983604,1.3791333,2.312268,11.6955109,0,0.0159631,1.6185355,29.0425663,30.7143993,0.9755377,541.5576782,0.7115583,0.5549429,8.492383,16.4407177,427.8685913,15.7578821,77.1671143,0.1490661,0.6476436,7.8626189,0.2,1.2939411,185.7885895,0.1,8.9949903,0.2333734,0.4884332,2.2673967,64.7939224,1.0482888,14.7962503,4.6245856,0,0.7263189,0.1292959,1.3065667,0.1534165,2.0578794,0,0,48.065464,0,7.6475687,1.3727885,5.4765272,12.2801628,4.7766328,1,3.8274572,5.1579986,463.7361755,1.3306879,0.1647238,2.4415283,0.1877528,52.8225098,9.5658064,28.7072315,5.0626602,13.9710722,2.0018468,9.7773552,0.0159179,0.0307264,1.6442542,26.0524845,22.3347836,0.8594694,556.8609009,0.7283217,0.6248678,7.3593616,13.3491764,572.5846558,16.6074371,71.9101105,0.0224738,0.4737045,6.4237084,0.2212898,1.0491925,165.7571869,0.1,7.9587798,0.2030919,0.4092544,1.8858675,57.9030113,0.7770039,12.9878588,46.22575,0,393.6138916,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,TRUE,FALSE,"C1"
