"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier-2","OrganizationFormalName","MonitoringLocationIdentifier-2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName-2"
"3468690","USGS-NM","nwisnm.01.97603000","Sample-Routine","Water","Groundwater","1976-01-05 00:00:00",NULL,NULL,"USGS-355425107314401",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NULL,"U","Dissolved","0.2","ug/l","NWIS","268980","USGS-NM","USGS New Mexico Water Science Center","USGS-355425107314401","19N.07W.01.4112,RATONWELL","Well",NULL,"35.90696354","-107.5294947","Interpolated from MAP.","NAD83",NULL,NULL,NULL,"US","35","31",NULL,NULL,NULL,NULL,NULL,"NWIS"
"3468777","USGS-NM","nwisnm.01.97602998","Sample-Routine","Water","Groundwater","1976-01-15 00:00:00",NULL,NULL,"USGS-355415107252801",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NULL,"U","Dissolved","0.3","ug/l","NWIS","268978","USGS-NM","USGS New Mexico Water Science Center","USGS-355415107252801","19N.06W.01.3242 CCK-23","Well",NULL,"35.9041858","-107.4250478","Interpolated from MAP.","NAD83",NULL,NULL,NULL,"US","35","31",NULL,NULL,NULL,NULL,NULL,"NWIS"
"3468870","USGS-NM","nwisnm.01.97602979","Sample-Routine","Water","Groundwater","1976-09-16 00:00:00",NULL,NULL,"USGS-354514108190601",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NULL,"U","Dissolved","0.06","ug/l","NWIS","268778","USGS-NM","USGS New Mexico Water Science Center","USGS-354514108190601","18N.14W.34.1211","Well",NULL,"35.753908","-108.3189617","Interpolated from MAP.","NAD83","6743","feet","Interpolated from topographic map.","US","35","31","1969","1292","feet",NULL,NULL,"NWIS"
"3468941","USGS-NM","nwisnm.01.97702439","Sample-Routine","Water","Groundwater","1977-01-08 00:00:00",NULL,NULL,"USGS-354342108184001",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","U","Dissolved",NULL,NULL,"NWIS","268761","USGS-NM","USGS New Mexico Water Science Center","USGS-354342108184001","17N.14W.03.432","Well",NULL,"35.7283333","-108.3111111","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","6845","feet","Interpolated from topographic map.","US","35","31",NULL,"1154","feet",NULL,NULL,"NWIS"
"3469104","USGS-NM","nwisnm.01.97902184","Sample-Routine","Water","Groundwater","1979-08-20 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-355734107535301",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","U","Dissolved",NULL,NULL,"NWIS","269027","USGS-NM","USGS New Mexico Water Science Center","USGS-355734107535301","20N.10W.16.4413","Well",NULL,"35.9594618","-107.898672","Interpolated from MAP.","NAD83","6330","feet","Interpolated from topographic map.","US","35","31","1978","3988","feet","4450","feet","NWIS"
"3469192","USGS-NM","nwisnm.01.97902301","Sample-Routine","Water","Groundwater","1979-07-25 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-355400107224201",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","U","Dissolved",NULL,NULL,"NWIS","268974","USGS-NM","USGS New Mexico Water Science Center","USGS-355400107224201","19N.05W.04.3333","Well",NULL,"35.9000192","-107.3789357","Interpolated from MAP.","NAD83","6640","feet","Interpolated from topographic map.","US","35","31","1978","233","feet","270.5","feet","NWIS"
"3469286","USGS-NM","nwisnm.01.97902299","Sample-Routine","Water","Groundwater","1979-07-24 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-355446107204801",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","U","Dissolved",NULL,NULL,"NWIS","268992","USGS-NM","USGS New Mexico Water Science Center","USGS-355446107204801","19N.05W.03.2214","Well",NULL,"35.9127967","-107.3472683","Interpolated from MAP.","NAD83","6620","feet","Interpolated from topographic map.","US","35","31","1978","55","feet","250","feet","NWIS"
"3469487","USGS-NM","nwisnm.01.97902300","Sample-Routine","Water","Groundwater","1979-07-25 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-355447107224301",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","U","Dissolved",NULL,NULL,"NWIS","268993","USGS-NM","USGS New Mexico Water Science Center","USGS-355447107224301","19N.05W.05.221","Well",NULL,"35.9130745","-107.3792134","Interpolated from MAP.","NAD83","6670","feet","Interpolated from topographic map.","US","35","31","1978","182","feet","240","feet","NWIS"
"3469633","USGS-NM","nwisnm.01.98001773","Sample-Routine","Water","Groundwater","1980-07-30 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-350344108510001",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NULL,"U","Dissolved","5.0","ug/l","NWIS","266564","USGS-NM","USGS New Mexico Water Science Center","USGS-350344108510001","10N.19W.28.343 ZUNI F-1","Well",NULL,"35.06225478","-108.850639","Interpolated from MAP.","NAD83","6294","feet","Interpolated from Digital Elevation Model","US","35","31",NULL,"1500","feet",NULL,NULL,"NWIS"
"3469698","USGS-NM","nwisnm.01.98001782","Sample-Routine","Water","Groundwater","1980-02-27 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-350730108471301",NULL,"Not determined","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","U","Dissolved",NULL,NULL,"NWIS","266611","USGS-NM","USGS New Mexico Water Science Center","USGS-350730108471301","10N.19W.13.444 BLACKROCK PHS WELL","Well",NULL,"35.1250315","-108.7875829","Interpolated from MAP.","NAD83",NULL,NULL,NULL,"US","35","31",NULL,NULL,NULL,NULL,NULL,"NWIS"
