"welldpth","latitude","longitude","u_dn_ppb","u_fl_ppb","state"
NA,38.9919,-105.7558,NA,1.78,"CO"
NA,38.9919,-105.7558,NA,1.99,"CO"
NA,38.9919,-105.7558,NA,2.3,"CO"
NA,38.7744,-105.2877,NA,5.4,"CO"
NA,38.7744,-105.2877,NA,4.92,"CO"
NA,38.7744,-105.2877,NA,6.87,"CO"
NA,38.8091,-105.6097,NA,2.9,"CO"
NA,38.8091,-105.6097,NA,2.69,"CO"
NA,38.8091,-105.6097,NA,2.32,"CO"
NA,38.8044,-105.6047,NA,3.03,"CO"
NA,38.8044,-105.6047,NA,2.73,"CO"
NA,38.8044,-105.6047,NA,2.16,"CO"
NA,38.7866,-105.5844,NA,3.66,"CO"
NA,38.7866,-105.5844,NA,3.75,"CO"
NA,38.7866,-105.5844,NA,2.9,"CO"
NA,38.7866,-105.5844,NA,3.72,"CO"
NA,38.7675,-105.5647,NA,5.64,"CO"
NA,38.7675,-105.5647,NA,5.11,"CO"
NA,38.7675,-105.5647,NA,4.11,"CO"
NA,38.7511,-105.5497,NA,5.35,"CO"
NA,38.7511,-105.5497,NA,3.7,"CO"
NA,38.7511,-105.5497,NA,4.31,"CO"
NA,38.7391,-105.5433,NA,4.61,"CO"
NA,38.7391,-105.5433,NA,5.16,"CO"
NA,38.7391,-105.5433,NA,4.94,"CO"
NA,38.7291,-105.5233,NA,7.53,"CO"
NA,38.7291,-105.5233,NA,8.88,"CO"
NA,38.7291,-105.5233,NA,7.35,"CO"
NA,38.7219,-105.5169,NA,5.82,"CO"
NA,38.7219,-105.5169,NA,7.18,"CO"
NA,38.7219,-105.5169,NA,7.8,"CO"
NA,38.9102,-105.7208,NA,3.83,"CO"
NA,38.9102,-105.7208,NA,0.9,"CO"
NA,38.9102,-105.7208,NA,4.24,"CO"
NA,38.9172,-105.7213,NA,3.04,"CO"
NA,38.9172,-105.7213,NA,3,"CO"
NA,38.9172,-105.7213,NA,4.13,"CO"
NA,38.9255,-105.7216,NA,2.62,"CO"
NA,38.9255,-105.7216,NA,1.57,"CO"
NA,38.9255,-105.7216,NA,4.17,"CO"
NA,38.9311,-105.7175,NA,3.25,"CO"
NA,40.9581,-109.1178,NA,2.21,"UT"
NA,38.9311,-105.7175,NA,2.23,"CO"
NA,38.9311,-105.7175,NA,2.92,"CO"
NA,38.8263,-105.7738,NA,3.43,"CO"
NA,40.9836,-109.3792,NA,7.75,"UT"
NA,38.8263,-105.7738,NA,2.66,"CO"
NA,38.8263,-105.7738,NA,3.98,"CO"
NA,38.8263,-105.7738,NA,3.67,"CO"
NA,38.9558,-105.8363,9.2,9.2,"CO"
NA,38.9558,-105.8363,8.7,8.7,"CO"
NA,40.9903,-109.4003,NA,2.63,"UT"
NA,38.9458,-105.8555,18.6,18.6,"CO"
NA,38.9458,-105.8555,17.4,17.4,"CO"
NA,37.4686,-107.5461,NA,1.46,"CO"
NA,38.9458,-105.8555,17.8,17.8,"CO"
NA,38.6966,-105.8283,NA,5.95,"CO"
NA,38.6966,-105.8283,NA,6.59,"CO"
NA,38.6966,-105.8283,NA,4.58,"CO"
NA,38.7141,-105.8458,NA,6.54,"CO"
NA,38.7141,-105.8458,NA,4.49,"CO"
NA,38.7141,-105.8458,NA,2.62,"CO"
NA,38.7397,-105.8502,NA,4.59,"CO"
NA,38.7397,-105.8502,NA,4.41,"CO"
NA,38.7397,-105.8502,NA,3.63,"CO"
NA,38.7752,-105.7955,NA,5.13,"CO"
NA,38.7752,-105.7955,NA,3.95,"CO"
NA,38.7752,-105.7955,NA,3.53,"CO"
NA,38.815,-105.7702,NA,4,"CO"
NA,38.815,-105.7702,NA,3.31,"CO"
NA,38.815,-105.7702,NA,2.59,"CO"
NA,38.97,-105.6133,NA,3.88,"CO"
NA,38.97,-105.6133,NA,2.79,"CO"
NA,38.97,-105.6133,NA,1.24,"CO"
NA,38.9677,-105.5819,NA,2.94,"CO"
NA,38.9677,-105.5819,NA,3.73,"CO"
NA,37.6206,-107.5153,NA,-0.1,"CO"
NA,38.9677,-105.5819,NA,1.56,"CO"
NA,38.9958,-105.8786,NA,3.69,"CO"
NA,38.9958,-105.8786,NA,3.89,"CO"
NA,38.9958,-105.8786,NA,3.9,"CO"
NA,38.9958,-105.8786,NA,2.8,"CO"
NA,38.9994,-105.8636,NA,4.53,"CO"
NA,38.9994,-105.8636,NA,3.19,"CO"
NA,37.6206,-107.5153,NA,0.32,"CO"
NA,38.9994,-105.8636,NA,4.97,"CO"
NA,38.9927,-105.6825,NA,2.34,"CO"
NA,38.9927,-105.6825,NA,2.7,"CO"
