"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier-2","OrganizationFormalName","MonitoringLocationIdentifier-2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName-2"
"187464","USGS-AZ","nwisaz.01.00900143","Sample-Routine","Water","Groundwater","2009-06-03 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-360632111131101","L-1578502 Received June 06, 2009","Not applicable","Routine sample","50","USGS parameter code 82398","Point sample","Grab sample",NULL,"U","Dissolved","0.55","pCi/L","NWIS","51383","USGS-AZ","USGS Arizona Water Science Center","USGS-360632111131101","MOENKOPI SCH SP.","Spring",NULL,"36.10888208","-111.2204179","Interpolated from MAP.","NAD83","4740","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187465","USGS-AZ","nwisaz.01.00900143","Sample-Routine","Water","Groundwater","2009-06-03 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-360632111131101","L-1578502 Received June 06, 2009","Not applicable","Routine sample","50","USGS parameter code 82398","Point sample","Grab sample",NULL,"Uranium-234","Dissolved","1.73","pCi/L","NWIS","51383","USGS-AZ","USGS Arizona Water Science Center","USGS-360632111131101","MOENKOPI SCH SP.","Spring",NULL,"36.10888208","-111.2204179","Interpolated from MAP.","NAD83","4740","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187466","USGS-AZ","nwisaz.01.00900143","Sample-Routine","Water","Groundwater","2009-06-03 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-360632111131101","L-1578502 Received June 06, 2009","Not applicable","Routine sample","50","USGS parameter code 82398","Point sample","Grab sample",NULL,"Uranium-235","Dissolved","0.055","pCi/L","NWIS","51383","USGS-AZ","USGS Arizona Water Science Center","USGS-360632111131101","MOENKOPI SCH SP.","Spring",NULL,"36.10888208","-111.2204179","Interpolated from MAP.","NAD83","4740","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187591","USGS-AZ","nwisaz.01.00900356","Quality Control Sample-Field Replicate","Water","Groundwater","2009-08-20 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-363123111503101",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"U","Dissolved","1.5","ug/l","NWIS","51999","USGS-AZ","USGS Arizona Water Science Center","USGS-363123111503101","A-36-05 15ACD1 [FENCE SPRING]","Spring",NULL,"36.5199","-111.846775","Interpolated from Digital MAP.","NAD83","2890","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187592","USGS-AZ","nwisaz.01.00900356","Quality Control Sample-Field Replicate","Water","Groundwater","2009-08-20 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-363123111503101",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"Uranium-234/uranium-238","Dissolved","2.56","ratio","NWIS","51999","USGS-AZ","USGS Arizona Water Science Center","USGS-363123111503101","A-36-05 15ACD1 [FENCE SPRING]","Spring",NULL,"36.5199","-111.846775","Interpolated from Digital MAP.","NAD83","2890","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187639","USGS-AZ","nwisaz.01.00900369","Sample-Routine","Water","Groundwater","2009-08-27 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-363922112334501",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"U","Dissolved","2.9","ug/l","NWIS","52143","USGS-AZ","USGS Arizona Water Science Center","USGS-363922112334501","B-38-03 36ABB1 [SLIDE SPRING]","Spring",NULL,"36.6567972","-112.5636222","Interpolated from Digital MAP.","NAD83","4590","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187640","USGS-AZ","nwisaz.01.00900369","Sample-Routine","Water","Groundwater","2009-08-27 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-363922112334501",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"Uranium-234/uranium-238","Dissolved","5.59","ratio","NWIS","52143","USGS-AZ","USGS Arizona Water Science Center","USGS-363922112334501","B-38-03 36ABB1 [SLIDE SPRING]","Spring",NULL,"36.6567972","-112.5636222","Interpolated from Digital MAP.","NAD83","4590","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187715","USGS-AZ","nwisaz.01.00900179","Sample-Routine","Water","Groundwater","2009-08-22 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-362837111504201","A-2458707 Uranium Study.  Samples must be processed ASAP.  Uranium Study. Samples must be processed ASAP. L-2458707 X = FA sample missing date & time","Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"U","Dissolved","0.608","ug/l","NWIS","51935","USGS-AZ","USGS Arizona Water Science Center","USGS-362837111504201","A-36-05 34DBA1 UNSURV","Spring",NULL,"36.4740695","-111.8456093","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","2885","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187775","USGS-AZ","nwisaz.01.00900504","Quality Control Sample-Field Replicate","Water","Groundwater","2009-08-27 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-363922112334501",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"U","Dissolved","2.8","ug/l","NWIS","52143","USGS-AZ","USGS Arizona Water Science Center","USGS-363922112334501","B-38-03 36ABB1 [SLIDE SPRING]","Spring",NULL,"36.6567972","-112.5636222","Interpolated from Digital MAP.","NAD83","4590","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187852","USGS-AZ","nwisaz.01.00900506","Quality Control Sample-Field Replicate","Water","Groundwater","2009-08-28 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-363209112350801",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"U","Dissolved","7.7","ug/l","NWIS","52018","USGS-AZ","USGS Arizona Water Science Center","USGS-363209112350801","B-36-03 11CAC1 [LOWER JUMPUP SPRING]","Spring",NULL,"36.53598438","-112.5862451","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","4075","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187903","USGS-AZ","nwisaz.01.00900365","Sample-Routine","Water","Groundwater","2009-08-28 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-363209112350801",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"U","Dissolved","7.9","ug/l","NWIS","52018","USGS-AZ","USGS Arizona Water Science Center","USGS-363209112350801","B-36-03 11CAC1 [LOWER JUMPUP SPRING]","Spring",NULL,"36.53598438","-112.5862451","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","4075","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
"187904","USGS-AZ","nwisaz.01.00900365","Sample-Routine","Water","Groundwater","2009-08-28 00:00:00",NULL,"U.S. Geological Survey-Water Resources Discipline","USGS-363209112350801",NULL,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NULL,"Uranium-234/uranium-238","Dissolved","2.594","ratio","NWIS","52018","USGS-AZ","USGS Arizona Water Science Center","USGS-363209112350801","B-36-03 11CAC1 [LOWER JUMPUP SPRING]","Spring",NULL,"36.53598438","-112.5862451","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","4075","feet","Interpolated from topographic map.","US","4","5",NULL,NULL,NULL,NULL,NULL,"NWIS"
