"welldpth","latitude","longitude","u_ppb","state"
NA,38.9919,-105.7558,1.78,"CO"
NA,38.9919,-105.7558,1.99,"CO"
NA,38.9919,-105.7558,2.3,"CO"
NA,38.7744,-105.2877,5.4,"CO"
NA,38.7744,-105.2877,4.92,"CO"
NA,38.7744,-105.2877,6.87,"CO"
NA,38.8091,-105.6097,2.9,"CO"
NA,38.8091,-105.6097,2.69,"CO"
NA,38.8091,-105.6097,2.32,"CO"
NA,38.8044,-105.6047,3.03,"CO"
NA,38.8044,-105.6047,2.73,"CO"
NA,38.8044,-105.6047,2.16,"CO"
NA,38.7866,-105.5844,3.66,"CO"
NA,38.7866,-105.5844,3.75,"CO"
NA,38.7866,-105.5844,2.9,"CO"
NA,38.7866,-105.5844,3.72,"CO"
NA,38.7675,-105.5647,5.64,"CO"
NA,38.7675,-105.5647,5.11,"CO"
NA,38.7675,-105.5647,4.11,"CO"
NA,38.7511,-105.5497,5.35,"CO"
NA,38.7511,-105.5497,3.7,"CO"
NA,38.7511,-105.5497,4.31,"CO"
NA,38.7391,-105.5433,4.61,"CO"
NA,38.7391,-105.5433,5.16,"CO"
NA,38.7391,-105.5433,4.94,"CO"
NA,38.7291,-105.5233,7.53,"CO"
NA,38.7291,-105.5233,8.88,"CO"
NA,38.7291,-105.5233,7.35,"CO"
NA,38.7219,-105.5169,5.82,"CO"
NA,38.7219,-105.5169,7.18,"CO"
NA,38.7219,-105.5169,7.8,"CO"
NA,38.9102,-105.7208,3.83,"CO"
NA,38.9102,-105.7208,0.9,"CO"
NA,38.9102,-105.7208,4.24,"CO"
NA,38.9172,-105.7213,3.04,"CO"
NA,38.9172,-105.7213,3,"CO"
NA,38.9172,-105.7213,4.13,"CO"
NA,38.9255,-105.7216,2.62,"CO"
NA,38.9255,-105.7216,1.57,"CO"
NA,38.9255,-105.7216,4.17,"CO"
NA,38.9311,-105.7175,3.25,"CO"
NA,40.9581,-109.1178,2.21,"UT"
NA,38.9311,-105.7175,2.23,"CO"
NA,38.9311,-105.7175,2.92,"CO"
NA,38.8263,-105.7738,3.43,"CO"
NA,40.9836,-109.3792,7.75,"UT"
NA,38.8263,-105.7738,2.66,"CO"
NA,38.8263,-105.7738,3.98,"CO"
NA,38.8263,-105.7738,3.67,"CO"
NA,38.9558,-105.8363,9.2,"CO"
NA,38.9558,-105.8363,8.7,"CO"
NA,40.9903,-109.4003,2.63,"UT"
NA,38.9458,-105.8555,18.6,"CO"
NA,38.9458,-105.8555,17.4,"CO"
NA,37.4686,-107.5461,1.46,"CO"
NA,38.9458,-105.8555,17.8,"CO"
NA,38.6966,-105.8283,5.95,"CO"
NA,38.6966,-105.8283,6.59,"CO"
NA,38.6966,-105.8283,4.58,"CO"
NA,38.7141,-105.8458,6.54,"CO"
NA,38.7141,-105.8458,4.49,"CO"
NA,38.7141,-105.8458,2.62,"CO"
NA,38.7397,-105.8502,4.59,"CO"
NA,38.7397,-105.8502,4.41,"CO"
NA,38.7397,-105.8502,3.63,"CO"
NA,38.7752,-105.7955,5.13,"CO"
NA,38.7752,-105.7955,3.95,"CO"
NA,38.7752,-105.7955,3.53,"CO"
NA,38.815,-105.7702,4,"CO"
NA,38.815,-105.7702,3.31,"CO"
NA,38.815,-105.7702,2.59,"CO"
NA,38.97,-105.6133,3.88,"CO"
NA,38.97,-105.6133,2.79,"CO"
NA,38.97,-105.6133,1.24,"CO"
NA,38.9677,-105.5819,2.94,"CO"
NA,38.9677,-105.5819,3.73,"CO"
NA,37.6206,-107.5153,0.1,"CO"
NA,38.9677,-105.5819,1.56,"CO"
NA,38.9958,-105.8786,3.69,"CO"
NA,38.9958,-105.8786,3.89,"CO"
NA,38.9958,-105.8786,3.9,"CO"
NA,38.9958,-105.8786,2.8,"CO"
NA,38.9994,-105.8636,4.53,"CO"
NA,38.9994,-105.8636,3.19,"CO"
NA,37.6206,-107.5153,0.32,"CO"
NA,38.9994,-105.8636,4.97,"CO"
NA,38.9927,-105.6825,2.34,"CO"
NA,38.9927,-105.6825,2.7,"CO"
NA,38.9927,-105.6825,3.13,"CO"
NA,38.8183,-105.6944,0.73,"CO"
NA,38.8183,-105.6944,7.07,"CO"
NA,38.8183,-105.6944,0.93,"CO"
NA,39.0894,-105.7355,8.1,"CO"
NA,39.1188,-105.7358,296,"CO"
NA,37.6331,-107.5078,0.1,"CO"
NA,39.1188,-105.7358,292,"CO"
NA,39.1188,-105.7358,316,"CO"
NA,39.1838,-105.7594,12.6,"CO"
NA,39.1838,-105.7594,13,"CO"
NA,37.6331,-107.5078,0.35,"CO"
NA,39.1838,-105.7594,13.9,"CO"
NA,39.1786,-105.7369,5.38,"CO"
NA,39.1786,-105.7369,5.94,"CO"
NA,39.1786,-105.7369,6.31,"CO"
NA,39.1644,-105.77,2.06,"CO"
NA,39.1644,-105.77,6.16,"CO"
