"well_id","U","As","Fl_combined"
4,2.5,0.5,0.996
6,2.5,0.5,1.39
11,2.5,0.5,0.58
17,1.5,3.65666666666667,0.939333333333333
18,2.5,0.5,0.49
29,0.88,0.5,0.565666666666667
39,2.5,0.5,0.38
43,0.38,0.71,0.738
49,NA,NA,3.2
53,NA,NA,0.4
55,NA,NA,0.45
63,1.28,2.1,0.4825
75,2.5,0.5,0.386
81,31,1,NA
84,3.3,0.91,0.174
86,2.5,0.5,0.275
87,260,0.58,0.931
88,2.5,0.88,0.05
93,54,2.2,1.71
96,366.916666666667,8.7,0.88775
98,25,7.5,1.88
99,23,1.2,0.608
100,2.5,0.5,1.22
105,0.59,0.6,2.44
106,2.5,0.5,0.939
107,2.5,0.5,1.35
108,34,24.6666666666667,1.4175
109,63,55,2.25
110,9.1,0.5,0.683
112,2.5,0.833333333333333,0.26
113,2.4,0.5,0.51
115,2.5,0.5,2.3
123,300,3,NA
140,NA,NA,NA
144,110,0.53,0.58
148,26,2,0.374
156,5.2,2.4,1.48
157,NA,1,0.8
163,NA,0.791666666666667,1.57625
173,NA,NA,1.6
174,4.1,1.1,0.46
175,29,6.65,1.19
198,11,0.5,0.3
226,2.5,0.5,0.29
227,2.5,0.5,1.1
228,2.2,1.4,0.23
232,10,4.15,0.695
259,0.15,NA,NA
273,2.2,4.515,0.4815
275,7.4188899464,5.70192913866667,NA
276,NA,8.2,NA
277,NA,4,NA
278,NA,10,NA
279,NA,2.8,NA
280,1.648062879,2.70386633975,NA
281,NA,6.6,NA
282,NA,10,NA
283,NA,10,NA
284,NA,7.2,NA
285,NA,10,NA
286,9.506066597,2.899226559,NA
287,16.4475965485714,1.7707649068,NA
288,9.572638217,4.11575960133333,NA
289,20.473783195,3.499776491,NA
290,NA,10,NA
291,8.70120514036364,1.97599746793333,NA
292,1,7.35,NA
293,NA,5,0.425
294,NA,10,NA
295,NA,10,NA
296,NA,10,NA
297,NA,10,NA
298,NA,2.6,NA
299,41.6823818075,4.9670019484,0.191
300,4,5.85,NA
301,NA,10,NA
302,2,8.4,NA
303,NA,10,NA
304,NA,0.41,NA
305,39,7.425,1.6
306,NA,8.4,NA
307,3.8,6.3,NA
308,8.719476163,57.8938199385714,NA
309,9.57634468323529,25.1312897185263,NA
310,9.210529199,14.6308779597778,NA
311,2.8,10.05,NA
312,NA,3.2,NA
313,NA,3.4048676165,NA
314,NA,10,NA
