"","x"
"1","OID_"
"2","well_id"
"3","welldpth"
"4","code"
"5","baseflow"
"6","prism30yr"
"7","U"
"8","As"
"9","Fl"
"10","US_L3CODE"
"11","US_L3NAME"
"12","UNIT_CODE"
"13","UNIT_NAME"
"14","Best_Guess"
"15","ORIG_LABEL"
"16","GENERALIZE"
"17","AM_A_Amorp"
"18","AM_A_Analc"
"19","AM_A_Arago"
"20","AM_A_C_Ino"
"21","AM_A_C_Tot"
"22","AM_A_Ca_7_"
"23","AM_A_Calci"
"24","AM_A_Cd_7_"
"25","AM_A_Ce_7_"
"26","AM_A_Co_7_"
"27","AM_A_Cr_7_"
"28","AM_A_Cs_7_"
"29","AM_A_Cu_7_"
"30","AM_A_Dolom"
"31","AM_A_Fe_7_"
"32","AM_A_Ga_7_"
"33","AM_A_Goeth"
"34","AM_A_Gypsu"
"35","AM_A_Hemat"
"36","AM_A_Heula"
"37","AM_A_Hg_7_"
"38","AM_A_Hornb"
"39","AM_A_K_7_1"
"40","AM_A_Kaoli"
"41","AM_A_La_7_"
"42","AM_A_Li_7_"
"43","AM_A_Mg_7_"
"44","AM_A_Mn_7_"
"45","AM_A_Mo_7_"
"46","AM_A_Na_7_"
"47","AM_A_Nb_7_"
"48","AM_A_Ni_7_"
"49","AM_A_Other"
"50","AM_A_P_7_1"
"51","AM_A_Pb_7_"
"52","AM_A_Pyrit"
"53","AM_A_Pyrox"
"54","AM_A_Quart"
"55","AM_A_Rb_7_"
"56","AM_A_S_7_1"
"57","AM_A_Sb_7_"
"58","AM_A_Sc_7_"
"59","AM_A_Se_7_"
"60","AM_A_Serpe"
"61","AM_A_Sn_7_"
"62","AM_A_Sr_7_"
"63","AM_A_Talc_"
"64","AM_A_Te_7_"
"65","AM_A_Th_7_"
"66","AM_A_Ti_7_"
"67","AM_A_Tl_7_"
"68","AM_A_Tot_1"
"69","AM_A_Tot_2"
"70","AM_A_Tot_C"
"71","AM_A_Tot_3"
"72","AM_A_Tot_F"
"73","AM_A_Tot_K"
"74","AM_A_Tot_P"
"75","AM_A_Tot_Z"
"76","AM_A_U_7_1"
"77","AM_A_V_7_1"
"78","AM_A_W_7_1"
"79","AM_A_Y_7_1"
"80","AM_A_Zn_7_"
"81","LM_C_Amorp"
"82","LM_C_Analc"
"83","LM_C_arago"
"84","LM_C_C_Ino"
"85","LM_C_Ca_7_"
"86","LM_C_Cd_7_"
"87","LM_C_Ce_7_"
"88","LM_C_Co_7_"
"89","LM_C_Cr_7_"
"90","LM_C_Cs_7_"
"91","LM_C_CTot_"
"92","LM_C_Cu_7_"
"93","LM_C_Dolom"
"94","LM_C_Fe_7_"
"95","LM_C_Ga_7_"
"96","LM_C_Gibbs"
"97","LM_C_Hg_7_"
"98","LM_C_K_7_1"
"99","LM_C_La_7_"
"100","LM_C_Li_7_"
"101","LM_C_Mg_7_"
"102","LM_C_Mn_7_"
"103","LM_C_Mo_7_"
"104","LM_C_Na_7_"
"105","LM_C_Nb_7_"
"106","LM_C_Ni_7_"
"107","LM_C_P_7_1"
"108","LM_C_Pb_7_"
"109","LM_C_Rb_7_"
"110","LM_C_S_7_1"
"111","LM_C_Sb_7_"
"112","LM_C_Sc_7_"
"113","LM_C_Se_7_"
"114","LM_C_Sn_7_"
"115","LM_C_Sr_7_"
"116","LM_C_Te_7_"
"117","LM_C_Th_7_"
"118","LM_C_Ti_7_"
"119","LM_C_Tl_7_"
"120","LM_C_U_7_1"
"121","LM_C_V_7_1"
"122","LM_C_W_7_1"
"123","LM_C_Y_7_1"
"124","AN_C_Calci"
"125","AN_C_Goeth"
"126","AN_C_Gypsu"
"127","AN_C_Hemat"
"128","AN_C_Heula"
"129","AN_C_Hornb"
"130","AN_C_Kaoli"
"131","AN_C_Pyrit"
"132","AN_C_Pyrox"
"133","AN_C_Quart"
"134","AN_C_Talc_"
"135","AN_C_Tot_1"
"136","AN_C_Tot_2"
"137","AN_C_Tot_C"
"138","AN_C_Tot_F"
"139","AN_C_Tot_K"
"140","AN_Top5_Ag"
"141","AN_Top5_Al"
"142","AN_Top5_As"
"143","AN_Top5_Ba"
"144","AN_Top5_Be"
"145","AN_Top5_Bi"
"146","AN_Top5_Ca"
"147","AN_Top5_Cd"
"148","AN_Top5_Ce"
"149","AN_Top5_Co"
"150","AN_Top5_Cr"
"151","AN_Top5_Cs"
"152","AN_Top5_Cu"
"153","AN_Top5_Fe"
"154","AN_Top5_Ga"
"155","AN_Top5_Hg"
"156","AN_Top5_In"
"157","AN_Top5_K_"
"158","AN_Top5_La"
"159","AN_Top5_Li"
"160","AN_Top5_Mg"
"161","AN_Top5_Mn"
"162","AN_Top5_Mo"
"163","AN_Top5_Na"
"164","AN_Top5_Nb"
"165","An_Top5_Ni"
"166","AN_Top5_P_"
"167","AN_Top5_Pb"
"168","AN_Top5_Rb"
"169","AN_Top5_S_"
"170","AN_Top5_Sb"
"171","AN_Top5_Sc"
"172","AN_Top5_Se"
"173","AN_Top5_Sn"
"174","AN_Top5_Sr"
"175","AN_Top5_Te"
"176","AN_Top5_Th"
"177","AN_Top5_Ti"
"178","AN_Top5_Tl"
"179","AN_Top5_U_"
"180","AN_Top5_V_"
"181","AN_Top5_W_"
"182","AN_Top5_Y_"
"183","AN_Top5_Zn"
"184","F30mElevat"
"185","SiteID"
