"","x"
"1","OID_"
"2","rec_no"
"3","welldpth"
"4","u_dn_ppb"
"5","U"
"6","ORIG_LABEL"
"7","GENERALIZE"
"8","baseflow"
"9","prism30yr"
"10","AM_A_Amorph_7_16"
"11","AM_A_Analcime_7_16"
"12","AM_A_Aragon_7_16"
"13","AM_A_C_Inorg_7_16"
"14","AM_A_C_Tot_7_16"
"15","AM_A_Ca_7_16"
"16","AM_A_Calcite_7_16"
"17","AM_A_Cd_7_16"
"18","AM_A_Ce_7_16"
"19","AM_A_Co_7_17"
"20","AM_A_Cr_7_17"
"21","AM_A_Cs_7_17"
"22","AM_A_Cu_7_17"
"23","AM_A_Dolomite_7_16"
"24","AM_A_Fe_7_17"
"25","AM_A_Ga_7_17"
"26","AM_A_Goethite_7_16"
"27","AM_A_Gypsum_7_16"
"28","AM_A_Hematite_7_16"
"29","AM_A_Heuland_7_16"
"30","AM_A_Hg_7_17"
"31","AM_A_Hornbl_7_16"
"32","AM_A_K_7_17"
"33","AM_A_Kaolinit_7_16"
"34","AM_A_La_7_17"
"35","AM_A_Li_7_17"
"36","AM_A_Mg_7_17"
"37","AM_A_Mn_7_17"
"38","AM_A_Mo_7_17"
"39","AM_A_Na_7_17"
"40","AM_A_Nb_7_17"
"41","AM_A_Ni_7_17"
"42","AM_A_Other_7_16"
"43","AM_A_P_7_17"
"44","AM_A_Pb_7_17"
"45","AM_A_Pyrite_7_16"
"46","AM_A_Pyroxene_7_16"
"47","AM_A_Quartz_7_16"
"48","AM_A_Rb_7_17"
"49","AM_A_S_7_17"
"50","AM_A_Sb_7_17"
"51","AM_A_Sc_7_17"
"52","AM_A_Se_7_18"
"53","AM_A_Serpent_7_16"
"54","AM_A_Sn_7_18"
"55","AM_A_Sr_7_18"
"56","AM_A_Talc_7_16"
"57","AM_A_Te_7_18"
"58","AM_A_Th_7_18"
"59","AM_A_Ti_7_18"
"60","AM_A_Tl_7_18"
"61","AM_A_Tot_10A_7_16"
"62","AM_A_Tot_14A_7_16"
"63","AM_A_Tot_Carb_7_16"
"64","AM_A_Tot_Clay_7_16"
"65","AM_A_Tot_Flds_7_16"
"66","AM_A_Tot_K_fs_7_16"
"67","AM_A_Tot_Plag_7_16"
"68","AM_A_Tot_Zeol_7_16"
"69","AM_A_U_7_18"
"70","AM_A_V_7_18"
"71","AM_A_W_7_18"
"72","AM_A_Y_7_18"
"73","AM_A_Zn_7_18"
"74","LM_C_Amorph_7_19"
"75","LM_C_Analcime_7_19"
"76","LM_C_aragon_7_19"
"77","LM_C_C_Inorg_7_19"
"78","LM_C_Ca_7_17"
"79","LM_C_Cd_7_17"
"80","LM_C_Ce_7_18"
"81","LM_C_Co_7_18"
"82","LM_C_Cr_7_18"
"83","LM_C_Cs_7_18"
"84","LM_C_CTot_7_15"
"85","LM_C_Cu_7_18"
"86","LM_C_Dolomite_7_19"
"87","LM_C_Fe_7_18"
"88","LM_C_Ga_7_18"
"89","LM_C_Gibbsite_7_19"
"90","LM_C_Hg_7_18"
"91","LM_C_K_7_18"
"92","LM_C_La_7_18"
"93","LM_C_Li_7_18"
"94","LM_C_Mg_7_18"
"95","LM_C_Mn_7_18"
"96","LM_C_Mo_7_18"
"97","LM_C_Na_7_18"
"98","LM_C_Nb_7_18"
"99","LM_C_Ni_7_18"
"100","LM_C_P_7_18"
"101","LM_C_Pb_7_18"
"102","LM_C_Rb_7_18"
"103","LM_C_S_7_18"
"104","LM_C_Sb_7_18"
"105","LM_C_Sc_7_18"
"106","LM_C_Se_7_18"
"107","LM_C_Sn_7_18"
"108","LM_C_Sr_7_18"
"109","LM_C_Te_7_18"
"110","LM_C_Th_7_18"
"111","LM_C_Ti_7_18"
"112","LM_C_Tl_7_18"
"113","LM_C_U_7_15"
"114","LM_C_V_7_18"
"115","LM_C_W_7_18"
"116","LM_C_Y_7_18"
"117","AN_C_Calcite_7_22"
"118","AN_C_Goethite_7_19"
"119","AN_C_Gypsum_7_22"
"120","AN_C_Hematite_7_22"
"121","AN_C_Heuland_7_19"
"122","AN_C_Hornbl_7_19"
"123","AN_C_Kaolinit_7_19"
"124","AN_C_Pyrite_7_19"
"125","AN_C_Pyroxene_7_19"
"126","AN_C_Quartz_7_19"
"127","AN_C_Talc_7_19"
"128","AN_C_Tot_10A_7_19"
"129","AN_C_Tot_14A_7_19"
"130","AN_C_Tot_Carb_7_19"
"131","AN_C_Tot_Flds_7_19"
"132","AN_C_Tot_K_fs_7_19"
"133","AN_Top5_Ag_7_17"
"134","AN_Top5_Al_7_17"
"135","AN_Top5_As_7_17"
"136","AN_Top5_Ba_7_17"
"137","AN_Top5_Be_7_17"
"138","AN_Top5_Bi_7_17"
"139","AN_Top5_Ca_7_17"
"140","AN_Top5_Cd_7_17"
"141","AN_Top5_Ce_7_17"
"142","AN_Top5_Co_7_17"
"143","AN_Top5_Cr_7_17"
"144","AN_Top5_Cs_7_17"
"145","AN_Top5_Cu_7_17"
"146","AN_Top5_Fe_7_17"
"147","AN_Top5_Ga_7_17"
"148","AN_Top5_Hg_7_17"
"149","AN_Top5_In_7_17"
"150","AN_Top5_K_7_17"
"151","AN_Top5_La_7_17"
"152","AN_Top5_Li_7_17"
"153","AN_Top5_Mg_7_17"
"154","AN_Top5_Mn_7_17"
"155","AN_Top5_Mo_7_18"
"156","AN_Top5_Na_7_18"
"157","AN_Top5_Nb_7_18"
"158","An_Top5_Ni_7_18"
"159","AN_Top5_P_7_18"
"160","AN_Top5_Pb_7_18"
"161","AN_Top5_Rb_7_18"
"162","AN_Top5_S_7_18"
"163","AN_Top5_Sb_7_18"
"164","AN_Top5_Sc_7_18"
"165","AN_Top5_Se_7_18"
"166","AN_Top5_Sn_7_18"
"167","AN_Top5_Sr_7_18"
"168","AN_Top5_Te_7_18"
"169","AN_Top5_Th_7_18"
"170","AN_Top5_Ti_7_18"
"171","AN_Top5_Tl_7_18"
"172","AN_Top5_U_7_18"
"173","AN_Top5_V_7_18"
"174","AN_Top5_W_7_18"
"175","AN_Top5_Y_7_18"
"176","AN_Top5_Zn_7_18"
"177","US_L3CODE"
"178","US_L3NAME"
"179","UNIT_CODE"
"180","UNIT_NAME"
"181","Best_Guess__ac_"
"182","F30mElevationFoCo"
"183","SiteID"
