"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","Accuracy","Kappa","AccuracySD","KappaSD"
"1",0.005,2,0,0.25,1,0.25,250,0.8221629445823,0.0903133275289801,0.00627494441825989,0.0502735375127224
"5",0.005,2,0,0.25,1,0.5,250,0.82474358974359,0.120051585601411,0.00947989393273414,0.0753490361161661
"9",0.005,2,0,0.25,1,0.75,250,0.824102564102564,0.11831187682801,0.00733991472515102,0.0719637611411492
"13",0.005,2,0,0.5,1,0.25,250,0.823457402812242,0.103895328102344,0.0068076578473504,0.0574710949715327
"17",0.005,2,0,0.5,1,0.5,250,0.825388751033912,0.128943280441086,0.00765219179354683,0.0646810681575765
"21",0.005,2,0,0.5,1,0.75,250,0.825392886683209,0.131067537227605,0.00813386418094614,0.0774794248405363
"25",0.005,2,0,0.75,1,0.25,250,0.822816377171216,0.0986655688763237,0.00739242218567106,0.0621297233646388
"29",0.005,2,0,0.75,1,0.5,250,0.826038047973532,0.126095791777433,0.0103881422297653,0.0841615881467466
"33",0.005,2,0,0.75,1,0.75,250,0.82474358974359,0.129345406916867,0.00844802583494265,0.0813400631047981
"253",0.0075,2,0,0.25,1,0.25,250,0.823457402812242,0.104219520704368,0.00745612698393791,0.0548672570046013
"257",0.0075,2,0,0.25,1,0.5,250,0.823457402812242,0.113406406081621,0.00805254331466914,0.0728574287362636
"261",0.0075,2,0,0.25,1,0.75,250,0.824747725392887,0.119754962297062,0.00939299745858749,0.0782813702894476
"265",0.0075,2,0,0.5,1,0.25,250,0.823461538461538,0.105879971367584,0.00903306870461128,0.0802391251453718
"269",0.0075,2,0,0.5,1,0.5,250,0.822167080231596,0.104238973167608,0.00614480729710931,0.0596833623729196
"273",0.0075,2,0,0.5,1,0.75,250,0.82474358974359,0.130100510019611,0.0089787952834372,0.0776179689862284
"277",0.0075,2,0,0.75,1,0.25,250,0.82732423490488,0.130828270092904,0.00779840253430116,0.0570658736429345
"281",0.0075,2,0,0.75,1,0.5,250,0.82474358974359,0.126735708907614,0.00844802583494265,0.0758100073765618
"285",0.0075,2,0,0.75,1,0.75,250,0.82732423490488,0.138549429321496,0.00890585933838087,0.0861123437401389
"505",0.01,2,0,0.25,1,0.25,250,0.823457402812242,0.104102126734563,0.00608082036294364,0.0510438250384406
"509",0.01,2,0,0.25,1,0.5,250,0.826033912324235,0.130451527211474,0.00795721207630047,0.0661332773106215
"513",0.01,2,0,0.25,1,0.75,250,0.825388751033912,0.128178794376667,0.0102373903127361,0.0816659856596586
"517",0.01,2,0,0.5,1,0.25,250,0.826033912324235,0.12341357581341,0.0109002279531813,0.0782487133903148
"521",0.01,2,0,0.5,1,0.5,250,0.826033912324235,0.12968037516143,0.00851861774358009,0.0764559009376846
"525",0.01,2,0,0.5,1,0.75,250,0.826033912324235,0.135836003801572,0.00851861774358009,0.081411038559397
"529",0.01,2,0,0.75,1,0.25,250,0.827328370554177,0.13567723552846,0.0107074330624578,0.0882059499080182
"533",0.01,2,0,0.75,1,0.5,250,0.827965260545906,0.14790278097617,0.00742314936270138,0.0737051331852306
"537",0.01,2,0,0.75,1,0.75,250,0.826038047973532,0.136096022287761,0.0103881422297653,0.0848743333745624
"757",0.0125,2,0,0.25,1,0.25,250,0.826683209263854,0.13450191431644,0.0086455361408106,0.0767680552429924
"761",0.0125,2,0,0.25,1,0.5,250,0.826033912324235,0.133043585299688,0.0109002279531813,0.0846030760342778
"765",0.0125,2,0,0.25,1,0.75,250,0.826033912324235,0.133480457328027,0.00795721207630047,0.069536969558847
"769",0.0125,2,0,0.5,1,0.25,250,0.829909015715467,0.151201654766108,0.013134632340216,0.101551875590926
"773",0.0125,2,0,0.5,1,0.5,250,0.830545905707196,0.161421814037737,0.0104556288506925,0.0751747204780677
"777",0.0125,2,0,0.5,1,0.75,250,0.830545905707196,0.162840230259739,0.00953000137436522,0.0877588687863502
"781",0.0125,2,0,0.75,1,0.25,250,0.825392886683209,0.128940289777377,0.0101508639338706,0.076685841367583
"785",0.0125,2,0,0.75,1,0.5,250,0.827961124896609,0.144790112336087,0.00867594103618763,0.0724925838548894
"789",0.0125,2,0,0.75,1,0.75,250,0.827965260545906,0.150617109246973,0.0105166958625353,0.0872037027126146
"37",0.005,4,0,0.25,1,0.25,250,0.832477253928867,0.183195887393605,0.0051343548867307,0.0445864355520516
"41",0.005,4,0,0.25,1,0.5,250,0.833771712158809,0.191873997452919,0.00769915292606904,0.0633076857826359
"45",0.005,4,0,0.25,1,0.75,250,0.831199338296112,0.192664413015195,0.00814915792329739,0.0565774958162328
"49",0.005,4,0,0.5,1,0.25,250,0.83247311827957,0.189291822610508,0.00432490412301029,0.043328638364658
"53",0.005,4,0,0.5,1,0.5,250,0.831840363937138,0.200172487557008,0.00743605767716367,0.055984106384924
"57",0.005,4,0,0.5,1,0.75,250,0.831195202646816,0.198703045483558,0.00767192484365705,0.0542888686810338
"61",0.005,4,0,0.75,1,0.25,250,0.83505376344086,0.208293511574101,0.00685216061871679,0.0484968627381394
"65",0.005,4,0,0.75,1,0.5,250,0.832485525227461,0.210472307070105,0.00832500827591881,0.0599146221138171
"69",0.005,4,0,0.75,1,0.75,250,0.831195202646816,0.204475140231194,0.00704335194156211,0.0529028215107853
"289",0.0075,4,0,0.25,1,0.25,250,0.833763440860215,0.195348465521895,0.0072963501935481,0.0565759069467176
"293",0.0075,4,0,0.25,1,0.5,250,0.835707196029777,0.215266394416059,0.00728772390413346,0.0601643614081353
"297",0.0075,4,0,0.25,1,0.75,250,0.831836228287841,0.200195396468093,0.00754201036542185,0.0553280632606941
"301",0.0075,4,0,0.5,1,0.25,250,0.834408602150538,0.216152397100709,0.0074244600174967,0.042132846416817
"305",0.0075,4,0,0.5,1,0.5,250,0.832485525227461,0.207522748735356,0.00712786884882751,0.0580718959005414
"309",0.0075,4,0,0.5,1,0.75,250,0.832485525227461,0.218757446104101,0.00832500827591878,0.0652255794620838
"313",0.0075,4,0,0.75,1,0.25,250,0.833763440860215,0.208190059338715,0.00663227727955292,0.0456931968582224
"317",0.0075,4,0,0.75,1,0.5,250,0.833771712158809,0.220224901625623,0.00707300017990823,0.0477797828060699
"321",0.0075,4,0,0.75,1,0.75,250,0.831844499586435,0.220894384275212,0.00951157381508336,0.0599604112627927
"541",0.01,4,0,0.25,1,0.25,250,0.83570306038048,0.212717604940199,0.00739021101867547,0.0533765983122505
"545",0.01,4,0,0.25,1,0.5,250,0.833779983457403,0.216931473660842,0.00914220280647985,0.0593199289981988
"549",0.01,4,0,0.25,1,0.75,250,0.836348221670802,0.235043038397153,0.0100161379032637,0.0582814668965374
"553",0.01,4,0,0.5,1,0.25,250,0.832481389578164,0.214505886896801,0.00657784088881647,0.0397282692648193
"557",0.01,4,0,0.5,1,0.5,250,0.831848635235732,0.223167190081874,0.0127578126211241,0.0792695387509296
"561",0.01,4,0,0.5,1,0.75,250,0.834412737799835,0.23897782376973,0.00951991075537955,0.0540704486316371
"565",0.01,4,0,0.75,1,0.25,250,0.836348221670802,0.232012492876639,0.00851904606133513,0.0556375482184003
"569",0.01,4,0,0.75,1,0.5,250,0.833138957816377,0.237967326924877,0.0150531328547519,0.0804217752994063
"573",0.01,4,0,0.75,1,0.75,250,0.833126550868486,0.239035899190756,0.00864527675782244,0.0483897756283979
"793",0.0125,4,0,0.25,1,0.25,250,0.83505376344086,0.220471226156729,0.00686078056717157,0.0410563904439583
"797",0.0125,4,0,0.25,1,0.5,250,0.833767576509512,0.231400434323758,0.0116137274789823,0.0646985319078738
"801",0.0125,4,0,0.25,1,0.75,250,0.835062034739454,0.240827382476194,0.0120608813994559,0.0635013164373719
"805",0.0125,4,0,0.5,1,0.25,250,0.833118279569892,0.230920964522583,0.0102861763487157,0.0468896581099869
"809",0.0125,4,0,0.5,1,0.5,250,0.833130686517783,0.245099609466538,0.0121203370139804,0.0520570029857967
"813",0.0125,4,0,0.5,1,0.75,250,0.833779983457403,0.254455219743436,0.014260160160821,0.0646597856413702
"817",0.0125,4,0,0.75,1,0.25,250,0.836344086021505,0.243854809842022,0.00962817685469867,0.0535699864365431
"821",0.0125,4,0,0.75,1,0.5,250,0.835711331679074,0.261150151633258,0.0159606923755518,0.0785639460804455
"825",0.0125,4,0,0.75,1,0.75,250,0.834421009098428,0.255606703369026,0.0115455999545895,0.0556972291028091
"73",0.005,6,0,0.25,1,0.25,250,0.836339950372208,0.223403698708488,0.00756395696955588,0.0498583232645456
"77",0.005,6,0,0.25,1,0.5,250,0.833130686517783,0.221873668007375,0.0104947835655993,0.0558430325606
"81",0.005,6,0,0.25,1,0.75,250,0.836352357320099,0.249463187552443,0.0138229021084938,0.0689415013668239
"85",0.005,6,0,0.5,1,0.25,250,0.834408602150538,0.222353079547215,0.00606148190870531,0.0340972761771258
"89",0.005,6,0,0.5,1,0.5,250,0.835057899090157,0.240823793395726,0.00799706331532662,0.0442072633691739
"93",0.005,6,0,0.5,1,0.75,250,0.836356492969396,0.267663258241597,0.0123373110836363,0.0674406462302766
"97",0.005,6,0,0.75,1,0.25,250,0.834412737799835,0.22525258209393,0.00666187508291128,0.0301347602213498
"101",0.005,6,0,0.75,1,0.5,250,0.832489660876758,0.24022168755214,0.0126340036043616,0.0625057082558279
"105",0.005,6,0,0.75,1,0.75,250,0.835070306038048,0.264628114904333,0.011506126544051,0.0609497910508507
