"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteID"
"18",0,"0",0.854,0.146,"18"
"81",0,"0",0.69,0.31,"81"
"84",0,"0",0.924,0.076,"84"
"88",0,"0",0.964,0.036,"88"
"96",1,"0",0.672,0.328,"96"
"100",0,"1",0.376,0.624,"100"
"108",1,"1",0.394,0.606,"108"
"110",0,"0",0.62,0.38,"110"
"115",0,"0",0.65,0.35,"115"
"157",0,"0",0.97,0.03,"157"
"174",0,"0",0.752,0.248,"174"
"227",0,"0",0.636,0.364,"227"
"228",0,"0",0.778,0.222,"228"
"232",0,"0",0.866,0.134,"232"
"277",0,"1",0.35,0.65,"277"
"278",1,"0",0.578,0.422,"278"
"285",1,"0",0.616,0.384,"285"
"287",0,"0",0.716,0.284,"287"
"289",0,"0",0.646,0.354,"289"
"297",1,"1",0.432,0.568,"297"
"299",0,"0",0.804,0.196,"299"
"302",1,"1",0.382,0.618,"302"
"307",1,"1",0.238,0.762,"307"
"310",1,"0",0.604,0.396,"310"
"315",0,"0",0.564,0.436,"315"
"318",0,"1",0.378,0.622,"318"
"319",0,"1",0.366,0.634,"319"
"324",1,"1",0.452,0.548,"324"
"325",1,"1",0.374,0.626,"325"
"343",1,"0",0.548,0.452,"343"
"346",1,"1",0.322,0.678,"346"
"348",1,"0",0.82,0.18,"348"
"350",0,"1",0.264,0.736,"350"
"357",0,"0",0.634,0.366,"357"
"358",1,"0",0.738,0.262,"358"
"359",0,"1",0.49,0.51,"359"
"361",1,"0",0.808,0.192,"361"
"363",1,"1",0.178,0.822,"363"
"365",1,"1",0.26,0.74,"365"
"366",0,"1",0.36,0.64,"366"
"368",1,"1",0.31,0.69,"368"
"372",1,"0",0.504,0.496,"372"
"373",1,"0",0.872,0.128,"373"
"375",1,"0",0.644,0.356,"375"
"380",1,"0",0.872,0.128,"380"
"392",1,"0",0.568,0.432,"392"
"398",1,"0",0.816,0.184,"398"
"400",1,"0",0.654,0.346,"400"
"402",0,"0",0.652,0.348,"402"
"405",0,"0",0.614,0.386,"405"
"410",0,"0",0.772,0.228,"410"
"411",0,"0",0.934,0.066,"411"
"414",1,"1",0.48,0.52,"414"
"419",1,"0",0.56,0.44,"419"
"420",0,"0",0.778,0.222,"420"
"422",1,"0",0.544,0.456,"422"
"426",0,"0",0.648,0.352,"426"
"434",1,"1",0.146,0.854,"434"
"439",1,"0",0.708,0.292,"439"
"441",1,"0",0.608,0.392,"441"
"447",1,"1",0.08,0.92,"447"
"449",1,"1",0.334,0.666,"449"
"459",1,"0",0.57,0.43,"459"
"463",1,"0",0.55,0.45,"463"
"464",1,"1",0.434,0.566,"464"
"469",1,"0",0.662,0.338,"469"
"472",1,"1",0.328,0.672,"472"
"473",1,"1",0.296,0.704,"473"
"475",0,"1",0.362,0.638,"475"
"476",1,"1",0.426,0.574,"476"
"478",0,"0",0.676,0.324,"478"
"485",0,"0",0.624,0.376,"485"
"486",0,"1",0.464,0.536,"486"
"496",1,"1",0.228,0.772,"496"
"497",1,"1",0.326,0.674,"497"
"524",0,"0",0.988,0.012,"524"
"542",0,"0",0.554,0.446,"542"
"546",0,"0",0.824,0.176,"546"
"552",1,"1",0.196,0.804,"552"
"553",0,"0",0.732,0.268,"553"
"557",1,"0",0.6,0.4,"557"
"567",1,"0",0.798,0.202,"567"
"569",0,"0",0.76,0.24,"569"
"587",0,"0",0.916,0.084,"587"
"594",0,"0",0.736,0.264,"594"
"595",0,"1",0.46,0.54,"595"
"597",0,"0",0.924,0.076,"597"
"600",0,"0",0.778,0.222,"600"
"601",0,"0",0.958,0.042,"601"
"603",1,"0",0.818,0.182,"603"
"605",1,"0",0.822,0.178,"605"
"610",0,"0",0.856,0.144,"610"
"611",0,"0",0.826,0.174,"611"
"615",0,"0",0.572,0.428,"615"
"624",1,"1",0.342,0.658,"624"
"625",1,"1",0.12,0.88,"625"
"629",0,"0",0.964,0.036,"629"
"634",0,"0",0.782,0.218,"634"
"640",0,"0",0.532,0.468,"640"
"645",1,"0",0.676,0.324,"645"
"649",0,"0",0.606,0.394,"649"
"654",1,"1",0.248,0.752,"654"
"659",0,"1",0.356,0.644,"659"
"661",0,"1",0.422,0.578,"661"
"664",0,"0",0.79,0.21,"664"
"671",0,"0",0.668,0.332,"671"
