"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteInfo","DataSource","SiteID","outcomeClass"
"18_NNWells",0,"0",0.854,0.146,"18_NNWells","NNWells",18,0
"81_NNWells",0,"0",0.69,0.31,"81_NNWells","NNWells",81,0
"84_NNWells",0,"0",0.924,0.076,"84_NNWells","NNWells",84,0
"88_NNWells",0,"0",0.964,0.036,"88_NNWells","NNWells",88,0
"96_NNWells",1,"0",0.672,0.328,"96_NNWells","NNWells",96,2
"100_NNWells",0,"1",0.376,0.624,"100_NNWells","NNWells",100,3
"108_NNWells",1,"1",0.394,0.606,"108_NNWells","NNWells",108,1
"110_NNWells",0,"0",0.62,0.38,"110_NNWells","NNWells",110,0
"115_NNWells",0,"0",0.65,0.35,"115_NNWells","NNWells",115,0
"157_NNWells",0,"0",0.97,0.03,"157_NNWells","NNWells",157,0
"174_NNWells",0,"0",0.752,0.248,"174_NNWells","NNWells",174,0
"227_NNWells",0,"0",0.636,0.364,"227_NNWells","NNWells",227,0
"228_NNWells",0,"0",0.778,0.222,"228_NNWells","NNWells",228,0
"232_NNWells",0,"0",0.866,0.134,"232_NNWells","NNWells",232,0
"277_NNWells",0,"1",0.35,0.65,"277_NNWells","NNWells",277,3
"278_NNWells",1,"0",0.578,0.422,"278_NNWells","NNWells",278,2
"285_NNWells",1,"0",0.616,0.384,"285_NNWells","NNWells",285,2
"287_NNWells",0,"0",0.716,0.284,"287_NNWells","NNWells",287,0
"289_NNWells",0,"0",0.646,0.354,"289_NNWells","NNWells",289,0
"297_NNWells",1,"1",0.432,0.568,"297_NNWells","NNWells",297,1
"299_NNWells",0,"0",0.804,0.196,"299_NNWells","NNWells",299,0
"302_NNWells",1,"1",0.382,0.618,"302_NNWells","NNWells",302,1
"307_NNWells",1,"1",0.238,0.762,"307_NNWells","NNWells",307,1
"310_NNWells",1,"0",0.604,0.396,"310_NNWells","NNWells",310,2
"315_NNWells",0,"0",0.564,0.436,"315_NNWells","NNWells",315,0
"318_NNWells",0,"1",0.378,0.622,"318_NNWells","NNWells",318,3
"319_NNWells",0,"1",0.366,0.634,"319_NNWells","NNWells",319,3
"324_NNWells",1,"1",0.452,0.548,"324_NNWells","NNWells",324,1
"325_NNWells",1,"1",0.374,0.626,"325_NNWells","NNWells",325,1
"343_NNWells",1,"0",0.548,0.452,"343_NNWells","NNWells",343,2
"346_NNWells",1,"1",0.322,0.678,"346_NNWells","NNWells",346,1
"348_NNWells",1,"0",0.82,0.18,"348_NNWells","NNWells",348,2
"350_NNWells",0,"1",0.264,0.736,"350_NNWells","NNWells",350,3
"357_NNWells",0,"0",0.634,0.366,"357_NNWells","NNWells",357,0
"358_NNWells",1,"0",0.738,0.262,"358_NNWells","NNWells",358,2
"359_NNWells",0,"1",0.49,0.51,"359_NNWells","NNWells",359,3
"361_NNWells",1,"0",0.808,0.192,"361_NNWells","NNWells",361,2
"363_NNWells",1,"1",0.178,0.822,"363_NNWells","NNWells",363,1
"365_NNWells",1,"1",0.26,0.74,"365_NNWells","NNWells",365,1
"366_NNWells",0,"1",0.36,0.64,"366_NNWells","NNWells",366,3
"368_NNWells",1,"1",0.31,0.69,"368_NNWells","NNWells",368,1
"372_NNWells",1,"0",0.504,0.496,"372_NNWells","NNWells",372,2
"373_NNWells",1,"0",0.872,0.128,"373_NNWells","NNWells",373,2
"375_NNWells",1,"0",0.644,0.356,"375_NNWells","NNWells",375,2
"380_NNWells",1,"0",0.872,0.128,"380_NNWells","NNWells",380,2
"392_NNWells",1,"0",0.568,0.432,"392_NNWells","NNWells",392,2
"398_NNWells",1,"0",0.816,0.184,"398_NNWells","NNWells",398,2
"400_NNWells",1,"0",0.654,0.346,"400_NNWells","NNWells",400,2
"402_NNWells",0,"0",0.652,0.348,"402_NNWells","NNWells",402,0
"405_NNWells",0,"0",0.614,0.386,"405_NNWells","NNWells",405,0
"410_NNWells",0,"0",0.772,0.228,"410_NNWells","NNWells",410,0
"411_NNWells",0,"0",0.934,0.066,"411_NNWells","NNWells",411,0
"414_NNWells",1,"1",0.48,0.52,"414_NNWells","NNWells",414,1
"419_NNWells",1,"0",0.56,0.44,"419_NNWells","NNWells",419,2
"420_NNWells",0,"0",0.778,0.222,"420_NNWells","NNWells",420,0
"422_NNWells",1,"0",0.544,0.456,"422_NNWells","NNWells",422,2
"426_NNWells",0,"0",0.648,0.352,"426_NNWells","NNWells",426,0
"434_NNWells",1,"1",0.146,0.854,"434_NNWells","NNWells",434,1
"439_NNWells",1,"0",0.708,0.292,"439_NNWells","NNWells",439,2
"441_NNWells",1,"0",0.608,0.392,"441_NNWells","NNWells",441,2
"447_NNWells",1,"1",0.08,0.92,"447_NNWells","NNWells",447,1
"449_NNWells",1,"1",0.334,0.666,"449_NNWells","NNWells",449,1
"459_NNWells",1,"0",0.57,0.43,"459_NNWells","NNWells",459,2
"463_NNWells",1,"0",0.55,0.45,"463_NNWells","NNWells",463,2
"464_NNWells",1,"1",0.434,0.566,"464_NNWells","NNWells",464,1
"469_NNWells",1,"0",0.662,0.338,"469_NNWells","NNWells",469,2
"472_NNWells",1,"1",0.328,0.672,"472_NNWells","NNWells",472,1
"473_NNWells",1,"1",0.296,0.704,"473_NNWells","NNWells",473,1
"475_NNWells",0,"1",0.362,0.638,"475_NNWells","NNWells",475,3
"476_NNWells",1,"1",0.426,0.574,"476_NNWells","NNWells",476,1
"478_NNWells",0,"0",0.676,0.324,"478_NNWells","NNWells",478,0
