+ Fold01: shrinkage=0.004, interaction.depth= 2, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0040    0.0096
     2        1.0932            -nan     0.0040    0.0090
     3        1.0880            -nan     0.0040    0.0086
     4        1.0830            -nan     0.0040    0.0088
     5        1.0780            -nan     0.0040    0.0083
     6        1.0730            -nan     0.0040    0.0086
     7        1.0684            -nan     0.0040    0.0083
     8        1.0636            -nan     0.0040    0.0081
     9        1.0586            -nan     0.0040    0.0079
    10        1.0542            -nan     0.0040    0.0071
    20        1.0105            -nan     0.0040    0.0073
    40        0.9376            -nan     0.0040    0.0052
    60        0.8781            -nan     0.0040    0.0039
    80        0.8303            -nan     0.0040    0.0033
   100        0.7918            -nan     0.0040    0.0025
   120        0.7597            -nan     0.0040    0.0020
   140        0.7328            -nan     0.0040    0.0017
   160        0.7106            -nan     0.0040    0.0012
   180        0.6912            -nan     0.0040    0.0010
   200        0.6744            -nan     0.0040    0.0007
   220        0.6600            -nan     0.0040    0.0006
   240        0.6475            -nan     0.0040    0.0004
   260        0.6361            -nan     0.0040    0.0003
   280        0.6261            -nan     0.0040    0.0002
   300        0.6165            -nan     0.0040   -0.0000
   320        0.6080            -nan     0.0040   -0.0002
   340        0.6001            -nan     0.0040    0.0001
   360        0.5925            -nan     0.0040   -0.0000
   380        0.5857            -nan     0.0040   -0.0002
   400        0.5790            -nan     0.0040   -0.0002
   420        0.5726            -nan     0.0040   -0.0002
   440        0.5668            -nan     0.0040    0.0001
   460        0.5611            -nan     0.0040   -0.0004
   480        0.5559            -nan     0.0040    0.0000
   500        0.5510            -nan     0.0040   -0.0002

- Fold01: shrinkage=0.004, interaction.depth= 2, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.004, interaction.depth= 4, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0040    0.0095
     2        1.0929            -nan     0.0040    0.0089
     3        1.0874            -nan     0.0040    0.0086
     4        1.0821            -nan     0.0040    0.0087
     5        1.0769            -nan     0.0040    0.0084
     6        1.0715            -nan     0.0040    0.0083
     7        1.0663            -nan     0.0040    0.0082
     8        1.0611            -nan     0.0040    0.0084
     9        1.0558            -nan     0.0040    0.0087
