"","well_id","Alkalinity","As","B","Bicarbonate","Ca","Carbonate","Fe","pH","Si","SO4-","SpecificConductance","U"
"1",4,NA,0.5,65,NA,241.6,NA,320,6.8,NA,NA,NA,2.5
"2",6,NA,0.5,210,NA,1.6,NA,95,8.865,NA,25.5,NA,2.5
"3",11,NA,0.5,120,NA,54.4,NA,1100,7.505,NA,30,NA,2.5
"4",17,NA,5,100,NA,270,NA,482,7.1,NA,1345,NA,1.5
"5",18,NA,0.5,89,NA,4.8,NA,50,9.1,NA,37.9,NA,2.5
"6",29,NA,0.5,120,213,14.4,0,390,8.25,22,400,975,0.07
"7",39,NA,0.5,210,NA,36,NA,930,8.48,NA,554,NA,2.5
"8",43,NA,0.71,110,NA,324,NA,1000,6.87,NA,NA,NA,0.38
"9",49,NA,NA,20,600,4.25,33,110,8.75,NA,NA,2570,NA
"10",53,NA,NA,NA,340,120,0,NA,7.6,NA,NA,2750,NA
"11",55,NA,NA,120,225,109,8,150005,7.7,NA,NA,1300,NA
"12",63,176,1.1,133,210.5,28.6,1,948,8.2,NA,494,1340,1.28
"13",75,NA,0.5,50,NA,54,NA,820,8.1,NA,213,NA,2.5
"14",81,NA,1,NA,NA,67,NA,60,7.61,NA,NA,NA,31
"15",84,NA,0.91,50,NA,54,NA,420,7.325,NA,51.5,NA,3.3
"16",86,NA,0.5,51,NA,0,NA,420,8.91,NA,34.7,NA,2.5
"17",87,NA,0.58,50,NA,78,NA,580,7.965,NA,54,NA,260
"18",88,NA,0.88,50,NA,29,NA,910,7.47,NA,8.46,NA,2.5
"19",93,NA,2.2,450,NA,9.6,NA,87,8.69,NA,142,NA,54
"20",96,NA,10,190,635,74,NA,2720,8.6,NA,138,NA,400
"21",98,NA,7.5,610,NA,3.2,NA,720,8.945,NA,73,NA,25
"22",99,NA,1.2,260,NA,99,NA,140,7.59,NA,114,NA,23
"23",100,NA,0.5,430,NA,4,NA,10000,9.17,NA,380,NA,2.5
"24",105,NA,0.6,880,NA,212.8,NA,470,9.065,NA,254,NA,0.59
"25",106,NA,0.5,260,NA,210,NA,1900,7.07,NA,825,NA,2.5
"26",107,NA,0.5,200,NA,4.6,NA,720,8.12,NA,141,NA,2.5
"27",108,NA,30,1000,225,4.6,10,560,9.47,NA,94.75,810,34
"28",109,NA,55,730,NA,4.8,NA,1700,9.29,NA,140,NA,63
"29",110,NA,0.5,170,NA,30.4,NA,3300,6.645,NA,61.2,NA,9.1
"30",112,282,1,120,344,51,0,680,7.8,15,290,1070,2.5
"31",113,NA,0.5,400,250,18.8,14,135,8.49,14,30.35,540,2.4
"32",115,NA,0.5,2600,NA,82,NA,50,8.26,NA,2550,NA,2.5
"33",123,NA,3,NA,NA,NA,NA,10100,NA,NA,NA,NA,300
"34",140,NA,NA,NA,210,94,0,NA,7.4,NA,NA,682,NA
"35",144,NA,0.53,220,NA,170,NA,50,7.755,NA,775,NA,110
"36",148,NA,2,260,NA,27,NA,50,7.985,NA,129,NA,26
"37",156,NA,2.4,88,NA,17.6,NA,1300,7.735,NA,33.6,NA,5.2
"38",157,NA,1,45,443,27,0,10,8.2,NA,NA,920,NA
"39",163,296,1,152.5,375,10.9,5.9,280,8.3,16.5,1005,2800,NA
"40",173,NA,NA,NA,450,5,0,NA,NA,NA,NA,NA,NA
"41",174,NA,1.1,150,NA,26,NA,110,9.31,NA,124,NA,4.1
"42",175,NA,6.65,1300,NA,4.57,NA,302,8.87,NA,43.9,NA,29
"43",198,NA,0.5,200,NA,137.6,NA,50,7.59,NA,98.9,NA,11
"44",226,NA,0.5,270,NA,132.8,NA,1500,8.35,NA,1020,NA,2.5
"45",227,NA,0.5,170,NA,4.8,NA,310,8.995,NA,388,NA,2.5
"46",228,NA,1.4,69,NA,188,NA,50,7.42,NA,448,NA,2.2
"47",232,NA,4.15,700,NA,18.4,NA,49,7.78,NA,26.1,NA,10
"48",259,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.15
"49",273,NA,4.515,170,NA,115,NA,129.5,7.895,NA,394,NA,2.2
"50",275,NA,5.0961300755,NA,NA,6.76,NA,100,8.73,NA,NA,NA,7.6854995
"51",276,NA,8.2,NA,NA,4.02,NA,4050,10.62,NA,NA,NA,NA
"52",277,NA,4,NA,NA,43.5,NA,1270,7.71,NA,NA,NA,NA
"53",278,NA,10,NA,NA,16.5,NA,20.6,8.03,NA,NA,NA,NA
"54",279,NA,2.8,NA,NA,35.2,NA,56.7,8.09,NA,NA,NA,NA
"55",280,NA,0.365112407,NA,NA,28.4,NA,329,8.17,NA,NA,NA,1.784631695
"56",281,NA,6.6,NA,NA,46.8,NA,95.3,8.09,NA,NA,NA,NA
"57",282,NA,10,NA,NA,50.4,NA,197,9.04,NA,NA,NA,NA
"58",283,NA,10,NA,NA,35.2,NA,100,7.69,NA,NA,NA,NA
"59",284,NA,7.2,NA,NA,33.8,NA,43.1,8.62,NA,NA,NA,NA
"60",285,NA,10,NA,NA,35.3,NA,100,7.48,NA,NA,NA,NA
"61",286,NA,0.9156203385,NA,NA,28.9,NA,325,9.13,NA,NA,NA,9.506066597
"62",287,NA,1.746000132,NA,NA,529,NA,139,7.98,NA,NA,NA,16.35751854
"63",288,NA,1.24,NA,NA,59.5,NA,118,7.63,NA,NA,NA,9.572638217
"64",289,NA,0.29,NA,NA,31.1,NA,651,8.2,NA,NA,NA,20.473783195
"65",290,NA,10,NA,NA,32.4,NA,100,7.85,NA,NA,NA,NA
"66",291,NA,1.425337637,NA,NA,20.7,NA,185,8.61,NA,NA,NA,3.448317611
"67",292,NA,7.35,NA,NA,37.35,NA,146,8.75,NA,NA,NA,1
"68",293,269,5,NA,295,27.6,18.5,145,8.1,8.2,87,642,NA
"69",294,NA,10,NA,NA,62.7,NA,100,8.28,NA,NA,NA,NA
"70",295,NA,10,NA,NA,22.4,NA,100,7.68,NA,NA,NA,NA
"71",296,NA,10,NA,NA,12.4,NA,163,7.47,NA,NA,NA,NA
"72",297,NA,10,NA,NA,47.1,NA,100,8.28,NA,NA,NA,NA
"73",298,NA,2.6,NA,NA,40.8,NA,436,7.67,NA,NA,NA,NA
"74",299,NA,4.928624087,50,NA,5.015,NA,745,9.06,NA,17.7,NA,53.621512265
"75",300,NA,5.85,NA,NA,2.565,NA,755,10.255,NA,NA,NA,4
"76",301,NA,10,NA,NA,60.4,NA,100,7.56,NA,NA,NA,NA
"77",302,NA,8.4,NA,NA,2.395,NA,313,9.545,NA,NA,NA,2
"78",303,NA,10,NA,NA,54.2,NA,100,7.37,NA,NA,NA,NA
