SiteID,Fe,pH,As,prism30yr,baseflow,Top5_Al,Top5_As,Top5_Ba,Top5_Be,Top5_Ca,Top5_Cs,Top5_In,Top5_K,Top5_Ni,Top5_Pb,Top5_S,Top5_Se,Top5_Sn,Top5_Te,Top5_Ti,Top5_Zn,A_Amorph,A_Analcime,A_Aragon,A_C_Tot,A_Calcite,A_Cd,A_Cs,A_Cu,A_Dolomite,A_Goethite,A_Gypsum,A_Hematite,A_Heuland,A_Hg,A_K,A_Kaolinit,A_Li,A_Mn,A_Mo,A_Other,A_P,A_Pb,A_Pyrite,A_Pyroxene,A_Quartz,A_S,A_Sb,A_Se,A_Serpent,A_Sr,A_Talc,A_Te,A_Th,A_Tl,A_Tot_10A,A_Tot_14A,A_Tot_Clay,A_Tot_Flds,A_Tot_K_fs,A_Tot_Zeol,A_U,A_W,C_Amorph,C_Analcime,C_aragon,C_Ca,C_Cd,C_Co,C_Cr,C_Cs,C_CTot,C_Cu,C_Gibbsite,C_Hg,C_K,C_Li,C_Mg,C_Mo,C_Na,C_Nb,C_Ni,C_Pb,C_Rb,C_S,C_Sb,C_Se,C_Sn,C_Sr,C_Te,C_Tl,C_U,C_V,C_W,C_Y,C_Goethite,C_Gypsum,C_Hematite,C_Heuland,C_Hornbl,C_Kaolinit,C_Pyroxene,C_Talc,C_Tot_10A,C_Tot_14A,C_Tot_K_fs,DepthToGW,GENERALIZE,UNIT_NAME,US_L3NAME,Data_Source,US_L3NAME_Arizona/New_Mexico_Plateau,US_L3NAME_Colorado_Plateaus,US_L3NAME_Arizona/New_Mexico_Mountains,US_L3NAME_Southern_Rockies,US_L3NAME_Wyoming_Basin,US_L3NAME_Central_Basin_and_Range,US_L3NAME_Wasatch_and_Uinta_Mountains,US_L3NAME_Mojave_Basin_and_Range,US_L3NAME_Sonoran_Basin_and_Range,UNIT_NAME_Residual_materials_developed_in_sediment,UNIT_NAME_Eolian_sediments_mostly_dune_sand_thin,UNIT_NAME_Residual_materials_developed_in_fine-gra,UNIT_NAME_Alluvial_sediments_thin,UNIT_NAME_Eolian_sediments_mostly_loess_thin,UNIT_NAME_Residual_materials_developed_in_igneous_,UNIT_NAME_Residual_materials_developed_in_carbonat,UNIT_NAME_Basaltic_and_andesitic_volcanic_rocks,UNIT_NAME_Residual_materials_developed_in_fine-grained_sedimentary_rocks,UNIT_NAME_Residual_materials_developed_in_sedimentary_rocks_discontinuous,UNIT_NAME_Glacial_till_sediments_mostly_sandy_thin,UNIT_NAME_Residual_materials_developed_in_igneous_and_metamorphic_rocks,UNIT_NAME_Colluvial_sediments_thin,UNIT_NAME_Residual_materials_developed_in_carbonate_rocks_discontinuous,UNIT_NAME_Alluvial_sediments_thick,UNIT_NAME_Lacustrine_sediments,UNIT_NAME_Water,UNIT_NAME_Playa_sediments,UNIT_NAME_Rhyolitic_volcanic_rocks,GENERALIZE_Sedime,GENERALIZE_Uncons,GENERALIZE_Igneou,GENERALIZE_Unconsolidated_undifferentiated,GENERALIZE_Sedimentary_clastic,GENERALIZE_Water,GENERALIZE_Igneous_volcanic,GENERALIZE_Sedimentary_undifferentiated,GENERALIZE_Igneous_intrusive,GENERALIZE_Sedimentary_carbonate,GENERALIZE_Metamorphic_undifferentiated,GENERALIZE_Unconsolidated_and_Sedimentary_undifferentiated,GENERALIZE_Igneous_and_Sedimentary_undifferentiated,GENERALIZE_Metamorphic_and_Sedimentary_undifferentiated,GENERALIZE_Metamorphic_volcanic,GENERALIZE_Metamorphic_sedimentary_clastic,ClassLTE1,ClassLTE2,ClassLTE3,ClassLTE5,ClassLTE10,ClassGT10,trainClassLTE1_splt,trainClassLTE2_splt,trainClassLTE3_splt,trainClassLTE5_splt,trainClassLTE10_splt,trainClassGT10_splt
4,320,6.8,0.5,309.964,33,4.8574948,4.5391536,569.3557129,1.4507587,0.8110139,5.5403485,0.0290095,1.6889915,8.8083611,16.9642811,0.0187211,0.2,1.2678463,0.1,0.2355999,48.5811005,16,0,0,0.8120435,1.0455581,0.1655396,5.3292661,9.8832159,0.4415833,0,0,0.1149122,0,0.0193791,1.7367444,2.3282402,20.853569,271.1038513,0.5892053,0,362.516571,16.0921326,0,0,58.7663345,0.0216862,0.7896543,0.254719,0,109.0478134,0,0.1,7.7717276,0.4367828,7.0804353,1.7811476,11.3740978,14.5760355,7.1114058,0,2.1425111,0.8021987,21.1614437,0,0,1.4891249,0.1544156,6.7900658,20.9824524,6.9373145,0.808088,10.9988518,0,0.0251277,1.6077559,24.1227417,0.5983236,0.6261089,0.577193,9.6504669,10.6629257,15.1233301,78.1933136,0.0266914,0.9238215,0.2814994,1.2688571,113.8240891,0.1266882,0.4600742,2.5452716,48.8409309,1.0280917,18.5691605,0,0,0.1665263,0,0,2.9900179,0,0,6.4877162,4.1351662,5.5031023,0.2255832,Sedime,Residual materials developed in sediment,Arizona/New Mexico Plateau,NNWells,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
6,95,8.865,0.5,220.419,33,4.9235597,4.66505,615.1593018,1.4308399,0.8187461,5.4059739,0.0293811,1.7280886,8.8358603,16.4576874,0.0193464,0.2,1.2110832,0.1,0.2326181,49.5566788,16,0,0,0.7255319,0.9996206,0.1665213,5.1996212,11.6582642,0.4453534,0,0,0.0691742,0,0.0181192,1.7405778,2.1210072,19.9723015,279.1419983,0.6076364,0,357.9395447,15.7364807,0,0,56.0939026,0.0219027,0.8002312,0.2390402,0,116.4887848,0,0.1,8.1306343,0.4461824,6.7456737,1.8281434,10.9589729,15.8036499,7.7705269,0,2.0183666,0.8377265,19.7248821,0,0,1.7005394,0.154764,7.1596875,19.6525879,5.2666159,0.8667805,11.8750563,0,0.0233768,1.6498611,22.2049828,0.5926038,0.6649773,0.6626598,10.0171652,10.4896984,15.1079855,82.4055023,0.0287226,0.9194041,0.2796228,1.2576946,124.4141617,0.126568,0.4551852,2.4793799,46.2755203,1.0281353,18.9871616,0,0,0.1291099,0,0,2.5159755,0,0,6.6333523,3.4940917,5.7697906,14.4606714,Sedime,"Eolian sediments, mostly dune sand, thin",Arizona/New Mexico Plateau,NNWells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
11,1100,7.505,0.5,290.445,33,4.8947792,4.592649,588.0241089,1.4408327,0.832922,5.5360637,0.0291058,1.7209554,8.8003216,16.9036903,0.0186994,0.2,1.2475433,0.1,0.2343837,50.4085426,16,0,0,0.7763754,1.0172955,0.1658827,5.330142,10.4932318,0.4430222,0,0,0.0934058,0,0.018726,1.7540795,2.097913,20.4368496,273.099823,0.5949367,0,358.6047363,15.985301,0,0,57.5829086,0.0212033,0.8017309,0.2469828,0,114.6572342,0,0.1,7.9393773,0.4412792,7.0187492,1.797575,11.1656008,15.1813326,7.4617872,0,2.0806694,0.8053188,20.9701195,0,0,1.5266535,0.154558,6.941339,20.5054684,7.0222692,0.814986,11.3507843,0,0.0250675,1.6336862,23.7901249,0.6031302,0.6463836,0.6198426,9.8288832,10.6262226,15.1494837,80.4442902,0.0267079,0.9328717,0.2810086,1.2713608,121.5236053,0.1266321,0.4657978,2.527056,48.2515068,1.0356095,18.7390518,0,0,0.1511859,0,0,2.8119535,0,0,6.7729735,3.9165566,5.6910677,74.5897598,Sedime,Residual materials developed in sediment,Arizona/New Mexico Plateau,NNWells,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
17,482,7.1,5,305.024,33,4.7702575,4.4854932,559.4224854,1.4220537,0.820418,5.5370293,0.0284096,1.6977009,8.5427923,16.7462559,0.0187,0.2,1.2461336,0.1,0.2300884,49.8379707,16,0,0,0.8057979,1.0710511,0.1656484,5.3307014,9.406354,0.4618149,0,0,0.1145716,0,0.0187236,1.7491742,2.1334383,20.4064407,261.8100586,0.5861012,0,361.7649841,15.8951387,0,0,59.8271751,0.0211858,0.7944872,0.2541072,0,112.2006531,0,0.1,7.6102738,0.4327453,7.0374274,1.7551844,11.0682411,14.533433,7.2163467,0,2.0930665,0.7680904,20.9941177,0,0,1.482342,0.1539732,6.6131806,20.5811291,7.0338497,0.8091807,10.6565752,0,0.0247695,1.6144509,23.8191032,0.5906478,0.6438404,0.5682191,9.4572792,10.3976765,15.0032921,77.8641663,0.0266475,0.925575,0.2820461,1.2510264,120.6991119,0.1267267,0.4602324,2.5478675,48.5113525,1.0267776,18.1615162,0,0,0.1716478,0,0,3.0907218,0,0,6.7697573,3.8977916,5.6799793,15.9358559,Sedime,Residual materials developed in sediment,Arizona/New Mexico Plateau,NNWells,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0
18,50,9.1,0.5,204.453,33,4.9964094,4.7993393,628.9379883,1.4615819,0.7992941,5.410161,0.0303049,1.7218115,9.1522455,16.7223034,0.019359,0.2,1.2331542,0.1,0.2407666,47.9194756,17,0,0,0.754987,0.9574848,0.1667974,5.1989527,12.7343016,0.4208394,0,0,0.0747138,0,0.018787,1.727731,2.2884607,20.4236717,288.850708,0.6163461,0,356.8821106,16.0458317,0,0,54.9046288,0.0224747,0.8093068,0.2368387,0,113.1049271,0,0.1,8.4057322,0.4531882,6.7246113,1.8655406,11.1844196,15.9820108,7.7311893,0,2.0532277,0.8789796,19.9839325,0,0,1.7064558,0.1551352,7.3610001,20.1553535,5.2717099,0.8634797,12.2578297,0,0.0237275,1.6454008,22.5309353,0.6041454,0.6456714,0.6729403,10.244997,10.8204861,15.3130283,82.9229126,0.0287518,0.9189901,0.2805499,1.2931113,117.8560257,0.1265129,0.4558801,2.4673042,46.6945724,1.0330517,19.3709049,0,0,0.1227065,0,0,2.3179414,0,0,6.3510599,3.7888815,5.5716338,1.7321833,Sedime,"Eolian sediments, mostly dune sand, thin",Arizona/New Mexico Plateau,NNWells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
29,390,8.25,0.5,247.689,34,4.4582334,4.7478437,537.7233276,1.2413585,0.7067909,5.4004416,0.0283078,1.7281188,8.0379419,15.840663,0.0213272,0.2,1.1455373,0.1,0.2125836,45.5953712,15,0,0,0.9011456,0.9655865,0.1727843,5.2664084,11.1185942,0.6888387,0,0,0.0868166,0,0.019208,1.7904006,2.0539975,18.9730549,267.8891907,0.6253666,0,370.3035583,15.9431238,0,0.0119259,58.528595,0.0233166,0.8170375,0.2352273,0,119.2551651,0,0.1,7.9414992,0.4333613,6.4718738,1.3973531,9.9226618,15.127038,7.8430047,0,2.0551383,0.7416111,20.0839653,0,0,1.4846835,0.1526596,6.916925,20.9802551,7.126801,0.781548,11.23209,0,0.0234788,1.6991774,23.022234,0.5679657,0.7331517,0.6142021,9.6383219,10.6543894,15.2368097,79.7731628,0.030673,0.9522191,0.2868452,1.2620319,129.3948517,0.127099,0.4713522,2.4021318,47.9265251,1.0826324,17.6258564,0,0,0.1351656,0,0,3.17994,0,0,6.3652902,3.5546854,6.263998,2.5681477,Sedime,Residual materials developed in fine-gra,Arizona/New Mexico Plateau,NNWells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
39,930,8.48,0.5,243.487,36,4.196909,4.5982895,512.0179443,1.1665577,0.6760948,5.3978486,0.0287294,1.7370353,8.7117443,16.1890373,0.0206886,0.2,1.1270169,0.1,0.213247,43.327507,16,0,0,0.9872005,0.9170517,0.1777711,5.2653794,10.2319698,0.7300359,0,0,0.0555674,0,0.0196497,1.7983603,2.4289117,20.0366421,254.7487335,0.608398,0,369.7058716,16.1244717,0,0.0120009,59.6970444,0.022021,0.8287933,0.2277038,0,117.02948,0,0.1,7.8763666,0.4284213,6.987309,1.3300023,10.4633341,15.0557833,7.7206373,0,2.0807621,0.6659212,20.966938,0,0,1.3139768,0.1510562,6.9530511,22.1675415,7.2561603,0.6726026,11.06075,0,0.0240304,1.7425612,24.2522221,0.570552,0.7407327,0.5841129,9.7614918,11.5403709,15.5784893,79.3803024,0.0286671,0.9677674,0.2846035,1.2998341,129.9356384,0.1274547,0.4825647,2.3025401,48.5114822,1.1425184,17.3985996,0,0,0.1036482,0,0,3.1599567,0,0,6.4706283,3.6765425,6.5653844,-0.0603987,Sedime,Residual materials developed in sediment,Arizona/New Mexico Plateau,NNWells,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
43,1000,6.87,0.71,255.552,36,4.2754798,4.6001692,515.5165405,1.1902517,0.6761672,5.398613,0.0288707,1.740416,8.7378492,16.2908745,0.0206817,0.2,1.1481211,0.1,0.2162226,44.1646614,16,0,0,1.0000255,0.9316522,0.1781112,5.2656722,10.5352154,0.7170185,0,0,0.0690581,0,0.0197199,1.8030404,2.4413812,20.0822201,260.6960144,0.6178281,0,370.0732117,16.2096367,0,0.0117706,59.0479355,0.0220143,0.8305215,0.2296593,0,118.0955505,0,0.1,7.959352,0.4305638,7.0348549,1.3512959,10.6068602,14.9538975,7.6571989,0,2.0890553,0.6879665,21.1745987,0,0,1.2983404,0.1515788,7.0228324,22.2850227,7.2570944,0.6702306,11.1802073,0,0.0243755,1.7355852,24.2650414,0.5697587,0.741222,0.5877987,9.8710861,11.5729227,15.6546354,79.6399231,0.0286713,0.972688,0.2863219,1.3107452,129.9258575,0.1273979,0.4843224,2.3419039,48.9522705,1.1451784,17.5929909,0,0,0.114502,0,0,3.2457964,0,0,6.4694586,3.7594237,6.5234013,27.0676212,Sedime,Residual materials developed in sediment,Arizona/New Mexico Plateau,NNWells,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
63,948,8.2,1.1,244.787,34,4.5516133,4.7787037,552.6904907,1.265497,0.7055821,5.4005914,0.0285074,1.7443829,8.0645552,15.8875084,0.0213306,0.2,1.1556967,0.1,0.2145379,46.5600471,15,0,0,0.8473051,0.9039987,0.1728012,5.2662416,11.1958218,0.6306396,0,0,0.0791035,0,0.0192002,1.7986445,2.0594409,18.9779053,270.752533,0.6265631,0,368.2718201,15.986517,0,0.0119556,58.0218124,0.0233166,0.8181429,0.2356444,0,120.3534927,0,0.1,8.0060139,0.4367478,6.46035,1.417294,10.0045309,15.3275919,7.9232049,0,2.0589213,0.7570685,20.0981045,0,0,1.4787179,0.1529939,6.955935,20.759655,7.1231618,0.7797561,11.404067,0,0.0235555,1.7078265,22.9899769,0.5633493,0.7327296,0.6407223,9.756731,10.5733242,15.3071938,80.7089767,0.030717,0.9553551,0.2848992,1.2532045,129.7085114,0.1269778,0.4737426,2.428107,47.8383217,1.0780748,17.8304119,0,0,0.1306887,0,0,3.0893817,0,0,6.3638682,3.5758948,6.319222,19.9252033,Sedime,Residual materials developed in sediment,Arizona/New Mexico Plateau,NNWells,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
75,820,8.1,0.5,244.505,34,4.4291005,4.7595825,538.2131958,1.2230533,0.7090519,5.3998718,0.0282396,1.729912,7.9717379,15.7639532,0.0213363,0.2,1.1300893,0.1,0.2099276,45.228363,15,0,0,0.8970562,0.9591179,0.1726255,5.2662568,11.2640381,0.6970074,0,0,0.0773194,0,0.0191487,1.7916583,2.0308933,18.9313316,267.5724182,0.6240485,0,370.3221741,15.9028311,0,0.0123307,58.4360924,0.0233259,0.8159121,0.2331005,0,120.3513794,0,0.1,7.9379964,0.4335365,6.4542108,1.3851569,9.8278532,15.3395023,7.9087591,0,2.0489058,0.7318537,19.8637924,0,0,1.4989382,0.152255,6.8945012,20.7893963,7.1254587,0.7829767,11.2231245,0,0.0231606,1.7068096,22.9976501,0.5678983,0.7347683,0.6248589,9.5900297,10.5856552,15.1738272,79.9655685,0.0306909,0.9481824,0.2859938,1.2526429,129.5891418,0.1271414,0.4702443,2.3698094,47.4674797,1.0814823,17.4782982,0,0,0.1252308,0,0,3.1303709,0,0,6.3666687,3.4745655,6.3020077,33.5493469,Sedime,Residual materials developed in fine-gra,Arizona/New Mexico Plateau,NNWells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
