#
#
# US Geological Survey
# retrieved: 2025-10-17 19:08:03 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#
#
# query started 2025-10-17 19:08:03 EDT
#
# there are 66 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm
5s	15s	50s
USGS	371627112202401	R(C-41- 4) 6daa-S1
USGS	371651112254701	 (C-41- 5) 5aaa- 1
USGS	372236112513601	 (C-39- 9)33cba- 1
USGS	372236112513602	 (C-39- 9)33cba- 2
USGS	372334112494301	 (C-39- 9)27daa- 1
USGS	372334112494302	 (C-39- 9)27daa- 2
USGS	373256110404601	 (D-37-11)34acd-S1
USGS	373503109390300	 (D-37-21) 7ca
USGS	374041110360601	 (D-36-12) 8aaa-S1
USGS	374045110361001	 (D-36-12) 5ddd-S1
USGS	374118110360601	 (D-35-12)33ccb-S1
USGS	374206110344800	 (D-35-12)27cca-S1
USGS	380417110291001	 (D-31-13)33bad-S1
USGS	380420110291301	 (D-31-13)33bad-S2
USGS	381623110391001	 (D-29-12)19bcd- 1
USGS	382136110222001	 (D-28-14)22cad-S1
USGS	382139110164701	 (D-28-15)21dbb-S1
USGS	382448110415401	 (D-27-11)34dca- 1
USGS	382821111005301	 (D-27- 8)11dca-S1
USGS	382821111005302	 (D-27- 8)11dca-S2
USGS	382822111001501	 (D-27- 8)12cca-S1
USGS	382823111001501	 (D-27- 8)12cbd-S1
USGS	382824111004401	 (D-27- 8)11dac-S1
USGS	382839111123401	 (D-27- 7) 7bcc- 1
USGS	382938110243301	 (D-27-14) 5acc- 1
USGS	383000109480000	JOBIN (BULL 1124) NO. 12
USGS	383217110554600	 (D-26- 9)22bcb- 1
USGS	383243111110801	 (D-26- 7)17cda- 1
USGS	383253111112501	 (D-26- 7)17cba- 1
USGS	383305111111801	 (D-26- 7)17bdb- 1
USGS	383305111111901	 (D-26- 7)17bca- 1
USGS	383318111114801	 (D-26- 7)18aab- 1
USGS	383342111121201	 (D-26- 7) 7cad- 1
USGS	383353110215701	 (D-26-14)10acd-S1
USGS	383408111135401	 (D-26- 6)11aad- 1
USGS	383638110215201	 (D-25-14)28ada-S1
USGS	383748110335801	 (D-25-12)14ccc- 1
USGS	384008110310401	 (D-25-13) 6aca-S1
USGS	384012110352101	 (D-25-12) 4aac-S1
USGS	384051110313901	 (D-24-13)31daa-S1
USGS	384138110090301	 (D-24-16)27cbb-S1
USGS	384148110254601	 (D-24-14)30bca-S1
USGS	384208110111801	 (D-24-16)19ddd-S1
USGS	384221110312001	 (D-24-13)20cca-S1
USGS	384331110173601	 (D-24-15)17acc-S1
USGS	384353110145201	 (D-24-15)15aad-S1
USGS	384453110293101	 (D-24-13) 4ddb-S1
USGS	384608110195801	 (D-23-14)36bdd- 1
USGS	384659111044201	 (D-23- 8)30bdb-S1
USGS	384741111005201	 (D-23- 8)22dab- 1
USGS	384745111023601	 (D-23- 8)21bdc-S1
USGS	384749111020801	 (D-23- 8)21   -S1 Carmel Seep
USGS	384757111055701	 (D-23- 7)24bca-S1
USGS	385052111012501	 (D-23- 8) 3bab- 1
USGS	385104110250401	 (D-22-14)31ddb- 1
USGS	385335110585401	 (D-22- 8)23aad-S1
USGS	385511110555801	 (D-22- 9) 8aca-S1
USGS	390050110232901	 (D-21-14) 4cbd- 1
USGS	390150110235501	 (D-21-14) 5aab-S1
USGS	390158110530301	 (D-20- 9)35ccd-S1
USGS	390202110234701	 (D-20-14)31ccd- 1
USGS	390210110235101	 (D-20-14)31cbd- 1
USGS	390333110244501	 (D-20-13)25bac- 1
USGS	391027110472101	 (D-19-10)15bac- 1
USGS	391033110425502	 (D-19-11)17bba- 2
USGS	391319110283201	 (D-18-13)29dda-S1
