#
#
# US Geological Survey
# retrieved: 2025-10-20 13:24:22 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  lat_va          -- DMS latitude
#  long_va         -- DMS longitude
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_meth_cd   -- Latitude-longitude method
#  coord_acy_cd    -- Latitude-longitude accuracy
#  coord_datum_cd  -- Latitude-longitude datum
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  district_cd     -- District code
#  state_cd        -- State code
#  county_cd       -- County code
#  country_cd      -- Country code
#  land_net_ds     -- Land net location description
#  map_nm          -- Name of location map
#  map_scale_fc    -- Scale of location map
#  alt_va          -- Altitude of Gage/land surface
#  alt_meth_cd     -- Method altitude determined
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  basin_cd        -- Drainage basin code
#  topo_cd         -- Topographic setting code
#  data_types_cd   -- Flags for the type of data collected
#  instruments_cd  -- Flags for instruments at site
#  construction_dt -- Date of first construction
#  inventory_dt    -- Date site established or inventoried
#  drain_area_va   -- Drainage area
#  contrib_drain_area_va -- Contributing drainage area
#  tz_cd           -- Mean Greenwich time offset
#  local_time_fg   -- Local standard time flag
#  reliability_cd  -- Data reliability code
#  gw_file_cd      -- Data-other GW files
#  nat_aqfr_cd     -- National aquifer code
#  aqfr_cd         -- Local aquifer code
#  aqfr_type_cd    -- Local aquifer type code
#  well_depth_va   -- Well depth
#  hole_depth_va   -- Hole depth
#  depth_src_cd    -- Source of depth data
#  project_no      -- Project number
#  rt_bol          -- Real-time data flag
#  peak_begin_date -- Peak-streamflow data begin date
#  peak_end_date   -- Peak-streamflow data end date
#  peak_count_nu   -- Peak-streamflow data count
#  qw_begin_date   -- Water-quality data begin date
#  qw_end_date     -- Water-quality data end date
#  qw_count_nu     -- Water-quality data count
#  gw_begin_date   -- Field water-level measurements begin date
#  gw_end_date     -- Field water-level measurements end date
#  gw_count_nu     -- Field water-level measurements count
#  sv_begin_date   -- Site-visit data begin date
#  sv_end_date     -- Site-visit data end date
#  sv_count_nu     -- Site-visit data count
#
#
# query started 2025-10-20 13:24:22 EDT
#
# there are 202 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	lat_va	long_va	dec_lat_va	dec_long_va	coord_meth_cd	coord_acy_cd	coord_datum_cd	dec_coord_datum_cd	district_cd	state_cd	county_cd	country_cd	land_net_ds	map_nm	map_scale_fc	alt_va	alt_meth_cd	alt_acy_va	alt_datum_cd	huc_cd	basin_cd	topo_cd	data_types_cd	instruments_cd	construction_dt	inventory_dt	drain_area_va	contrib_drain_area_va	tz_cd	local_time_fg	reliability_cd	gw_file_cd	nat_aqfr_cd	aqfr_cd	aqfr_type_cd	well_depth_va	hole_depth_va	depth_src_cd	project_no	rt_bol	peak_begin_date	peak_end_date	peak_count_nu	qw_begin_date	qw_end_date	qw_count_nu	gw_begin_date	gw_end_date	gw_count_nu	sv_begin_date	sv_end_date	sv_count_nu
5s	15s	50s	7s	11s	12s	18n	18n	1s	1s	10s	10s	3s	2s	3s	2s	23s	32s	7s	8s	1s	5s	10s	16s	2s	1s	30s	30s	8s	8s	8s	8s	6s	1s	1s	30s	10s	8s	1s	8s	8s	1s	12s	3n	10d	10d	8n	10d	10d	8n	10d	10d	8n	10d	10d	8n
USGS	342707109050501	A-12-31 08DBC	GW	342707	1090505	34.45198700	-109.08536260	M	S	NAD27	NAD83	04	04	001	US	SWNWSES08 T12N  R31E  G	MESA PARADA	  24000	 6280.	M	 10	NGVD29	15020003		C	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNO	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					MST	N	C	YYNYNNNN		231SRMP		280.	280.		STJ	0	--	--	0	1975-03-20	1975-05-20	2	1975-03-20	1975-03-20	1	--	--	0
USGS	345852110025601	A-18-22 07BAA	GW	345852	1100256	34.98113556	-110.04956390	M	F	NAD27	NAD83	04	04	017	US	NENENWS07 T18N  R22E  G	SUN VALLEY	  24000	 5290.	M	  5	NGVD29	15020007		T	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					MST	N	C	NNNYNNNN		231SRMP					PRZ													
USGS	350006110243001	A-19-18 35CBD	GW	350006	1102430	35.00168950	-110.40901540	M	T	NAD27	NAD83	04	04	017	US	SENWSWS35 T19N  R18E  G	HUMPY CAMP	  24000	 5080.	M	 10	NGVD29	15020011		F	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNO	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	1969				MST	N	C	YYNYNYNN		231SRMP		410.	410.		HOP	0	--	--	0	--	--	0	1969-01-01	1969-01-01	1	--	--	0
USGS	350638110445501	A-20-15 27BBA	SP	350638	1104455	35.11057307	-110.74930340	M	F	NAD27	NAD83	04	04	017	US	NWNWNES27 T20N  R15E  G	WINSLOW	  62500	 4890.	M	 20	NGVD29	15020008		S	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNO	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					MST	N	C	YYYYNNNN		231SRMP					CDI	0	--	--	0	--	--	0	--	--	0	1979-02-08	1979-02-08	1
USGS	351229109195101	A-21-28 24BBC	GW	351229	1091951	35.20808047	-109.33148940	M	F	NAD27	NAD83	04	04	001	US	SWNWNWS24 T21N  R28E  G	SANDERS	  24000	 5830.	M	 10	NGVD29	15020007		V	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNO	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	19670625				MST	N	C	YYNYNYNN		231SRMP		256.	256.	D	PRZ	0	--	--	0	1975-11-20	1992-08-14	2	1967-07-24	1967-07-24	1	--	--	0
USGS	351420109181401	A-21-29 07ABB	GW	351420	1091814	35.23891370	-109.30454340	M	F	NAD27	NAD83	04	04	001	US	NWNWNES07 T21N  R29E  G	SANDERS	  24000	 5940.	M	 10	NGVD29	15020007		T	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	1963				MST	N	C	YYNYNNNN		231SRMP		272.	272.		PRZ	0	--	--	0	1975-11-18	1975-11-18	1	--	--	0	--	--	0
USGS	351503109175101	18 125-02.70X17.20	GW	351503	1091751	35.25085805	-109.29815400	M	T	NAD27	NAD83	04	04	001	US		BURNTWATER WASH	  24000	 5960.	M	 10	NGVD29	15020007		C	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNO	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					MST	N	C	YYNYNNNN		231SRMP		130.	130.		PRZRES	0	--	--	0	1955-09-15	1955-09-15	1	1955-09-15	1955-09-15	1	--	--	0
USGS	351639109125801	18 124-12.25X15.43	GW	351639	1091258	35.27752477	-109.21676160	M	S	NAD27	NAD83	04	04	001	US		HOUCK	  24000	 6020.	M	 10	NGVD29	15020006		S	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNO	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					MST	N	C	YYNYNNNN		231SRMP	U	380.	380.		PRZRES	0	--	--	0	1954-12-01	1954-12-02	2	1954-12-02	1954-12-02	1	--	--	0
USGS	351707109161001	18 125-01.10X14.80	GW	351707	1091610	35.28530216	-109.27009690	M	M	NAD27	NAD83	04	04	001	US		BURNTWATER WASH	  24000	 6180.	M	 10	NGVD29	15020007		S	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNO	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN					MST	N	C	YYNYNNNN		231SRMP		135.	135.		PRZRES	0	--	--	0	1955-09-15	1955-09-15	1	1955-09-15	1955-09-15	1	--	--	0
