#
#
# US Geological Survey
# retrieved: 2025-10-17 19:18:47 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#
#
# query started 2025-10-17 19:18:47 EDT
#
# there are 1117 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm
5s	15s	50s
USGS	320330103100601	26S.37E.09.32230
USGS	320419103302201	26S.34E.06.21414
USGS	320419103302202	26S.34E.06.21414A
USGS	320434103163501	25S.36E.33.33323
USGS	320449103360101	25S.33E.31.44424
USGS	320528103113301	25S.37E.29.33134
USGS	320611103133901	25S.36E.26.222224
USGS	320631103351401	25S.33E.20.443313
USGS	320638103110201	25S.37E.20.41131
USGS	320640103135000	25S.36E.24.31214
USGS	320644103104701	25S.37E.20.24322
USGS	320701103113901	25S.37E.19.22241
USGS	320715103193101	25S.35E.13.332133
USGS	320934103253901	25S.34E.01.13424
USGS	321005103402301	24S.32E.33.42241
USGS	321039103243401	24S.35E.30.34233
USGS	321039103243402	24S.35E.30.342331
USGS	321141103184701	24S.35E.24.42432
USGS	321525103184801	23S.35E.36.24234
USGS	321548103234601	23S.35E.29.33431
USGS	321609103321701	23S.33E.26.421342
USGS	321611103321601	23S.33E.26.42100
USGS	321619103315801	23S.33E.26.42424
USGS	321627103321601	23S.33E.26.421A
USGS	321706103052501	23S.38E.19.44224
USGS	321734103290001	23S.34E.16.333312
USGS	321830103060001	23S.38E.07.34444
USGS	321901103185101	23S.35E.12.24142
USGS	321906103195501	23S.35E.11.22343
USGS	321912103044501	23S.38E.08.21423
USGS	321918103484301	23S.31E.07.21424
USGS	321918103484302	23S.31E.07.21424 A
USGS	321927103483201	23S.31E.06.44434
USGS	321927103483501	23S.31E.07.22211
USGS	321946103492001	23S.31E.06.312333
USGS	321949103090701	23S.37E.03.323444
USGS	321950103400601	23S.32E.03.31110
USGS	321954103045101	23S.38E.05.23322
USGS	322003103090301	23S.37E.03.124441
USGS	322010103095701	23S.37E.04.21144 DUP
USGS	322159103060601	22S.38E.19.34344
USGS	322257103092301	22S.37E.22.111434
USGS	322325103313301	22S.33E.13.23131
USGS	322331103312701	22S.33E.13.14242
USGS	322338103313101	22S.33E.13.231
USGS	322343103123901	22S.36E.13.22222
USGS	322517103103801	22S.37E.05.224411
USGS	322531103153401	21S.36E.34.33341
USGS	322551103075001	21S.37E.35.412223
USGS	322551103081401	21S.37E.35.321114
USGS	322630103104001	21S.37E.29.44214
USGS	322632103103602	21S.37E.29.442221A
USGS	322649103165501	21S.36E.29.23444
USGS	322655103170601	21S.36E.29.23134
USGS	322702103344001	21S.33E.28.12443
USGS	322702103344002	21S.33E.28.12443A
USGS	322752103184801	21S.35E.24.24141
