#
#
# US Geological Survey
# retrieved: 2025-10-17 19:19:23 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#
#
# query started 2025-10-17 19:19:23 EDT
#
# there are 202 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm
5s	15s	50s
USGS	342707109050501	A-12-31 08DBC
USGS	345852110025601	A-18-22 07BAA
USGS	350006110243001	A-19-18 35CBD
USGS	350638110445501	A-20-15 27BBA
USGS	351229109195101	A-21-28 24BBC
USGS	351420109181401	A-21-29 07ABB
USGS	351503109175101	18 125-02.70X17.20
USGS	351639109125801	18 124-12.25X15.43
USGS	351707109161001	18 125-01.10X14.80
USGS	351727109125001	18 124-12.10X14.50
USGS	351846109160301	18 125-01.00X12.93
USGS	352002109041301	18 124-03.98X11.54
USGS	352027109042101	18 124-04.12X11.07
USGS	352501109301401	17 126-00.22X05.74
USGS	352506109301701	17 126-00.26X05.66
USGS	353522109055901	18 108-05.63X10.76
USGS	353531109061601	18 108-05.91X10.91
USGS	353639109073601	18 108-07.15X09.60
USGS	353815109051201	18 108-04.90X07.75
USGS	353838106532701	16N.01W.01.410 DUP
USGS	353848109054301	18 108-05.35X07.11
USGS	353859109040901	18 108-03.90X06.90
USGS	353900109044701	18 108-04.50X06.90
USGS	353919109054701	18 108-05.43X06.53
USGS	353923109055201	18 108-05.51X06.46
USGS	353941109042401	18 108-04.13X06.12
USGS	353944109043001	18 108-04.23X06.05
USGS	353958111174901	03-117 2.63X 5.77
USGS	354047109054201	18 108-05.35X04.85
USGS	354518111215801	A-27-10 06ABC
USGS	354716109291001	17 090-13.28X14.61
USGS	355018111212801	03 098-06.07X11.16
USGS	355141111234301	03-098 08.13X09.52
USGS	355152111221201	03 098-06.72X09.34
USGS	355336109265601	10 090-11.15X07.35
USGS	355349111240401	03 098-08.50X07.10
USGS	355627111234101	03 098-08.11X04.09
USGS	355640109144001	10 089-13.70X03.85
USGS	355820112072001	A-30-02 24ACC2
USGS	360232109431801	10 071-12.45X14.40
USGS	360407111231401	03 078-07.66X12.47
USGS	360742111265301	03 078-11.10X08.40
USGS	360845109331001	10 071-02.95X07.20
USGS	360851109321701	10 071-02.11X07.09
USGS	361046109170701	11 070-01.95X04.86
USGS	361410109073201	11 069-07.00X00.95
USGS	361714109111401	11 051-10.43X14.66
USGS	361731109123201	11 051-11.68X14.36
USGS	361817109115801	11 051-11.17X13.47
USGS	361833111275301	03 060-11.97X13.15
USGS	362117109363501	10 053-06.11X09.99
USGS	362135109370001	10 053-06.50X09.68
USGS	362148109373401	10 053-07.03X09.42
USGS	362200109375201	10 053-07.30X09.19
USGS	362302109394101	10 053-09.00X08.01
USGS	362430109141401	11 051-13.23X06.30
