#
#
# US Geological Survey
# retrieved: 2025-10-17 19:11:04 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#
#
# query started 2025-10-17 19:11:04 EDT
#
# there are 146 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm
5s	15s	50s
USGS	341654109212001	A-10-28 11BCB
USGS	341703109212101	A-10-28 11BBB
USGS	342240109240001	A-11-28 05DBC
USGS	342759109365201	A-12-26 05DCB
USGS	342830109273201	A-12-27S02BBA
USGS	342923109235601	A-13-28 32CBA
USGS	342938109273201	A-13-27 34ABA
USGS	342947109270101	A-13-27 26CCD
USGS	343011109251501	A-13-27 25DBB1
USGS	343018109252201	A-13-27 25ADC
USGS	343019109253001	A-13-27 25ACD
USGS	343026109243701	A-13-28 30BDA
USGS	343027109255801	A-13-27 25BBD
USGS	343032109255101	A-13-27 25BAC
USGS	343043109242801	A-13-28 19DCC
USGS	343240109285501	A-13-27 09CAD
USGS	343351109303001	A-13-27 06ADA
USGS	343713109282001	A-14-27 15BDC
USGS	343837109344701	A-14-26 03CBC
USGS	343922109374501	A-14-27 03ABD
USGS	343942109304501	A-15-27 31DDB
USGS	344207109374101	A-15-23 14BDA
USGS	344509109543401	A-16-23 28DCA
USGS	344556109551601	A-16-23 21CCB
USGS	345533110091301	A-18-21 30DCB
USGS	345605110080001	A-18-21 29ABD
USGS	345757111182001	A-18-10 02CDD
USGS	345934111432601	A-19-06 34ABC
USGS	350746110585801	A-20-13 17DCA1
USGS	351424111394401	A-22-07 33CCD2
USGS	351430111395001	A-22-07 33CCA2
USGS	351432111381801	A-22-07 34DCB1
USGS	351434111400101	A-22-07 32DDA
USGS	351435111381201	A-22-07 34DCA1
USGS	351435111403401	A-22-07 32CDA
USGS	351518111443801	A-22-06 27DCC2
USGS	351528111424201	A-22-06 25CAD1
USGS	351529111424901	A-22-06 25CAC2
USGS	351532111424901	A-22-06 25CAC3
USGS	351538111424801	A-22-06 25CAB2
USGS	351620111433201	A-22-06 23DBC3
USGS	351845109160301	18 125-01.00X12.95
USGS	352500111172401	A-23-10 02AAA
USGS	352700111165701	A-24-10 24CDA
USGS	352913111213401	A-24-10 08BBC
USGS	352956111212201	A-25-10 32CCA
USGS	353012111142001	05-116 13.40X16.97
USGS	353021111211401	A-25-10 32BDB
USGS	353118111223101	A-25-10 30BBC
USGS	353345111174201	A-25-10 11ACC
USGS	353539111174301	03 117-02.55X10.72
USGS	355030111274701	03 098-11.95X10.89
USGS	355112111265601	03 098-11.17X10.05
USGS	355129111263301	03-098 10.79X09.72
USGS	355227111244801	03 098-09.15X08.69
USGS	360938113312001	B-32-12 24ACA
USGS	361128113304201	B-32-11 07BAC
USGS	362326111303001	03 061-00.48X07.58
USGS	362331113114501	B-35-08 31BCD
USGS	362343111305001	03 061-00.80X07.22
USGS	362405113131501	B-35-09 26DAC
USGS	363817111375001	03 044-07.23X07.69
USGS	363853113004001	B-38-07 35DBD1 [CUNNINGHAM SPRING]
USGS	363900113195601	B-38-10 35ADD
USGS	363902112522001	B-38-05 31
USGS	363902113022601	B-38-07 34CBB
USGS	363930111384501	03 044-08.12X06.27
USGS	364019113040201	B-38-07 29ABB
USGS	364117113043401	B-38-07 17CCC
USGS	364327113040601	B-38-07 05ACC2
USGS	364328113040501	B-38-07 05ACC1
USGS	364328113040801	B-38-07 05BDD
USGS	364344113441701	B-38-13 06BAD1 [IDE VALLEY SPRING]
USGS	364358113395101	B-39-13 35CD
USGS	364503112482301	B-39-05 26CBB
USGS	364528113080901	B-39-08 27AAB1
USGS	364528113081001	B-39-08 27AAB2 [NORTH RIM WINDMILL]
USGS	364747113070101	B-39-08 11ADC
USGS	364812112451501	B-39-04 05CCC
USGS	364837113101801	B-39-08 05DBA
USGS	364843113101801	B-39-08 05ADB
USGS	364951112570601	B-40-06 33BBB
USGS	365001113093801	B-40-08 28CDA
USGS	365046112582001	B-40-06 30AAA
USGS	365047112394201	B-40-03 19CCD1 [TWO MILE SEEP]
USGS	365105113042501	B-40-07 20CAC
USGS	365120113132701	B-40-09 23ADA1
USGS	365120113132702	B-40-09 23ADA2
USGS	365142112344901	B-40-03 14DAC1 [QUICKWATER SPRING]
USGS	365150113103201	B-40-08 17DCB
USGS	365200111345001	A-40-08 18CAB
USGS	365204111353801	A-40-07 13ACC
USGS	365220113072201	B-40-08 14ABC
USGS	365256113220501	B-40-10 09DAB2
USGS	365310112422801	B-40-04 10ACB1
USGS	365327113033501	B-40-07 04CCC
USGS	365338112394501	B-40-03 06CBC
USGS	365504113110001	B-41-08 32BAB
USGS	365508112270001	B-41-02 25DDD
USGS	365637113143801	B-41-09 23BCB
USGS	365713112233401	B-41-01 15CBA
USGS	365752112310001	B-41-02 09CDB
USGS	365832113383201	B-41-12 06CCD
USGS	365845113381101	B-41-12 06DBC
USGS	370000112320201	B-42-02 32BDB
USGS	370001112313701	B-42-02 32ACA
USGS	370255113315001	 (C-43-15)16aad- 1
USGS	370306113371301	 (C-43-16)14bbb- 1
USGS	370308113292201	 (C-43-15)12ccd- 2
USGS	370308113293501	 (C-43-15)12ccc- 1
USGS	370322113364401	 (C-43-16)11dbc- 1
USGS	370333113323901	 (C-43-15) 9cba- 1
USGS	370338113311601	 (C-43-15)10acc- 1
USGS	370338113315001	 (C-43-15) 9add- 1
USGS	370342113311201	 (C-43-15)10acb- 1
USGS	370345113310201	 (C-43-15)10aca- 1
USGS	370346113315501	 (C-43-15) 9ada- 1
USGS	370532113374501	 (C-42-16)34abc- 1
USGS	370730113262801	 (C-42-14)20abc- 1
USGS	370739113073801	 (C-42-11)18ddd- 1
USGS	370939113094101	 (C-42-12) 1cbc-S1
USGS	371004113234601	 (C-42-14) 2bac-S1
USGS	371122113162101	 (C-41-13)25cbc- 2
USGS	371217113041501	 (C-42-11) 3aad- 1
USGS	374200110252401	MM.0950X0344
USGS	374246110271101	MM.1113X0256
USGS	374249110275001	MM.1172X0251
USGS	374251110271201	MM.1114X0247
USGS	374255110274201	MM.1160X0240
USGS	374810110254501	BR.0980X1360
USGS	375907110154601	 (D-32-15)33aba- 1
USGS	381441110362801	 (D-29-12)33acd- 1
USGS	381441110362802	 (D-29-12)33acd- 2
USGS	381654111145001	 (D-29- 6)23bbb-S1
USGS	381659111292101	 (D-29- 4)11cab- 1
USGS	381836111255401	 (D-29- 4) 2ddd- 1
USGS	384113110584801	 (D-24- 8)36aba-S1 formerly (D-24- 8)25dcd-S1
USGS	384412110572902	 (D-24- 9) 7dab- 2
USGS	384507110275101	 (D-24-13) 2cab- 1
USGS	384931110443001	 (D-23-10)12ddd- 1
USGS	385220110404801	 (D-22-11)27cab- 1
USGS	385235110502101	 (D-22-10)30aca- 1
USGS	385525110355601	 (D-22-12)10bbb- 1
USGS	385819110265701	 (D-21-13)24cbb-S1
USGS	393112110285801	 (D-15-13)17db - 1
USGS	403954109202801	 (D- 2-23) 9bad- 1
